Cycle,Time,Iso,Sr88,Microns,Fish_id,Watershed,Year
161,84.364,7.1247307922330716e-001,0.17264053974931495,168.728,2019_kk_120,Kusko,2019
162,84.888,7.1133465914521465e-001,0.21199343115631664,169.776,2019_kk_120,Kusko,2019
163,85.412,7.0927698171184761e-001,0.256164845876924,170.824,2019_kk_120,Kusko,2019
164,85.936,7.0790547178439789e-001,0.3014313830901165,171.872,2019_kk_120,Kusko,2019
165,86.46000000000001,7.0750157935734792e-001,0.33626074757752455,172.92000000000002,2019_kk_120,Kusko,2019
166,86.98400000000001,7.1128144684825878e-001,0.3635507408495269,173.96800000000002,2019_kk_120,Kusko,2019
167,87.50800000000001,7.1041663218335449e-001,0.38965747866035205,175.01600000000002,2019_kk_120,Kusko,2019
168,88.03200000000001,7.0858591236763702e-001,0.4138176891602481,176.06400000000002,2019_kk_120,Kusko,2019
169,88.55600000000001,7.1083691732665921e-001,0.4306639971285009,177.11200000000002,2019_kk_120,Kusko,2019
170,89.08,7.0903203194379727e-001,0.4382411121861864,178.16,2019_kk_120,Kusko,2019
171,89.604,7.1017488193114731e-001,0.4390198613521952,179.208,2019_kk_120,Kusko,2019
172,90.128,7.0981891673259512e-001,0.4442543529295812,180.256,2019_kk_120,Kusko,2019
173,90.652,7.0980231459484466e-001,0.4471535296849168,181.304,2019_kk_120,Kusko,2019
174,91.176,7.1103643327650401e-001,0.4606973100477328,182.352,2019_kk_120,Kusko,2019
175,91.7,7.1122023012315028e-001,0.4566978727564441,183.4,2019_kk_120,Kusko,2019
176,92.224,7.1049797900606648e-001,0.47297209167187704,184.448,2019_kk_120,Kusko,2019
177,92.748,7.0934488041380561e-001,0.4710996266020091,185.496,2019_kk_120,Kusko,2019
178,93.272,7.0762102954893391e-001,0.48464876070992946,186.544,2019_kk_120,Kusko,2019
179,93.796,7.0982170410201939e-001,0.4915206846871142,187.592,2019_kk_120,Kusko,2019
180,94.32000000000001,7.1086333146668879e-001,0.5007162386356347,188.64000000000001,2019_kk_120,Kusko,2019
181,94.84400000000001,7.0999617964740214e-001,0.5090974513254052,189.68800000000002,2019_kk_120,Kusko,2019
