"Cycle","Time","Iso","Sr88","Microns","Fish_id","Watershed","Year","Iso_MA","natal_iso"
522,273.528,0.710049559894806,0.739328613428442,547.056,"2014_nk_33B","Nush",2014,0.708212259278827,0.708193392910484
523,274.052,0.707601069356378,0.735702875169585,548.104,"2014_nk_33B","Nush",2014,0.708218303199076,0.708193392910484
524,274.576,0.709864672196235,0.744544526725708,549.152,"2014_nk_33B","Nush",2014,0.708185293462381,0.708193392910484
525,275.1,0.707360233561012,0.763124685241446,550.2,"2014_nk_33B","Nush",2014,0.708143084099605,0.708193392910484
526,275.624,0.710050355732696,0.76411498001021,551.248,"2014_nk_33B","Nush",2014,0.708107232221753,0.708193392910484
527,276.148,0.708599058643193,0.766551984463854,552.296,"2014_nk_33B","Nush",2014,0.708117159431333,0.708193392910484
528,276.672,0.7091243478977,0.777285351085178,553.344,"2014_nk_33B","Nush",2014,0.708152344412166,0.708193392910484
529,277.196,0.708252624336491,0.76427676194552,554.392,"2014_nk_33B","Nush",2014,0.708161378070502,0.708193392910484
530,277.72,0.708295609222911,0.763151901444659,555.44,"2014_nk_33B","Nush",2014,0.708187314931498,0.708193392910484
531,278.244,0.707484263237081,0.745005844353429,556.488,"2014_nk_33B","Nush",2014,0.708169273479238,0.708193392910484
532,278.768,0.708336952715893,0.749838704098517,557.536,"2014_nk_33B","Nush",2014,0.708180116690126,0.708193392910484
533,279.292,0.70758836896463,0.74383526142182,558.584,"2014_nk_33B","Nush",2014,0.70820458379739,0.708193392910484
534,279.816,0.708584167883359,0.731967476266673,559.632,"2014_nk_33B","Nush",2014,0.708184347522877,0.708193392910484
535,280.34,0.70680191668668,0.729536232747966,560.68,"2014_nk_33B","Nush",2014,0.708160302604078,0.708193392910484
536,280.864,0.70788877980949,0.731461661453414,561.728,"2014_nk_33B","Nush",2014,0.708138929553703,0.708193392910484
537,281.388,0.708246273216255,0.727708678544048,562.776,"2014_nk_33B","Nush",2014,0.708165118078465,0.708193392910484
538,281.912,0.708504583061591,0.740761390507221,563.824,"2014_nk_33B","Nush",2014,0.708160574572123,0.708193392910484
539,282.436,0.708380759768547,0.741748986486074,564.872,"2014_nk_33B","Nush",2014,0.708189049732405,0.708193392910484
540,282.96,0.708453699081951,0.724164648218773,565.92,"2014_nk_33B","Nush",2014,0.708193606450382,0.708193392910484
541,283.484,0.708842732258341,0.720148206510923,566.968,"2014_nk_33B","Nush",2014,0.708166813888384,0.708193392910484
542,284.008,0.707260833619415,0.710457465982746,568.016,"2014_nk_33B","Nush",2014,0.708176269194979,0.708193392910484
543,284.532,0.708520713410537,0.692770758468027,569.064,"2014_nk_33B","Nush",2014,0.70814545176431,0.708193392910484
544,285.056,0.707683256034927,0.711964575390918,570.112,"2014_nk_33B","Nush",2014,0.708154475063835,0.708193392910484
545,285.58,0.708297593189469,0.70676314689845,571.16,"2014_nk_33B","Nush",2014,0.708135400068819,0.708193392910484
546,286.104,0.707313203929681,0.698984165426889,572.208,"2014_nk_33B","Nush",2014,0.708116523462704,0.708193392910484
547,286.628,0.707968407853175,0.696657388459287,573.256,"2014_nk_33B","Nush",2014,0.708137820589216,0.708193392910484
548,287.152,0.70805786982897,0.71051858616201,574.304,"2014_nk_33B","Nush",2014,0.70812910648078,0.708193392910484
549,287.676,0.708337378862427,0.703024929261288,575.352,"2014_nk_33B","Nush",2014,0.708157135303388,0.708193392910484
550,288.2,0.708806130143042,0.705869727356976,576.4,"2014_nk_33B","Nush",2014,0.708134405761035,0.708193392910484
551,288.724,0.709381180374014,0.70941466756818,577.448,"2014_nk_33B","Nush",2014,0.708140697263391,0.708193392910484
552,289.248,0.708800029668893,0.703949180271962,578.496,"2014_nk_33B","Nush",2014,0.708116619258246,0.708193392910484
553,289.772,0.708848404314811,0.711349451639498,579.544,"2014_nk_33B","Nush",2014,0.70813435422417,0.708193392910484
554,290.296,0.706768718453236,0.711453104344944,580.592,"2014_nk_33B","Nush",2014,0.70810476288756,0.708193392910484
555,290.82,0.706688070316142,0.715414764260069,581.64,"2014_nk_33B","Nush",2014,0.708117064157434,0.708193392910484
556,291.344,0.706444743655516,0.716097646958228,582.688,"2014_nk_33B","Nush",2014,0.70807177169012,0.708193392910484
557,291.868,0.708081886353275,0.719926899160599,583.736,"2014_nk_33B","Nush",2014,0.708055833372396,0.708193392910484
558,292.392,0.709333799213414,0.70812538746339,584.784,"2014_nk_33B","Nush",2014,0.708060131588229,0.708193392910484
559,292.916,0.708500620377869,0.697489199547021,585.832,"2014_nk_33B","Nush",2014,0.708050681482095,0.708193392910484
560,293.44,0.708757202648257,0.7079934505484,586.88,"2014_nk_33B","Nush",2014,0.708032979825883,0.708193392910484
561,293.964,0.707677141258554,0.696154133529716,587.928,"2014_nk_33B","Nush",2014,0.708050645204002,0.708193392910484
