"","Prediction","Reference","Freq"
"1","Kusko","Kusko",85
"2","Nush","Kusko",33
"3","Yukon","Kusko",11
"4","Kusko","Nush",39
"5","Nush","Nush",87
"6","Yukon","Nush",1
"7","Kusko","Yukon",18
"8","Nush","Yukon",12
"9","Yukon","Yukon",149
