"","Prediction","Reference","Freq"
"1","Kusko","Kusko",94
"2","Nush","Kusko",33
"3","Yukon","Kusko",2
"4","Kusko","Nush",20
"5","Nush","Nush",107
"6","Yukon","Nush",0
"7","Kusko","Yukon",14
"8","Nush","Yukon",7
"9","Yukon","Yukon",158
