Cycle,Time,Iso,Sr88,Microns,FishID,Watershed,Year
61,31.964000000000002,7.1458864377672116e-001,0.14038641921831996,63.928000000000004,2019_yk_206a,Yukon,2019
62,32.488,7.0991930346569720e-001,0.17027347654504338,64.976,2019_yk_206a,Yukon,2019
63,33.012,7.1748249392960772e-001,0.17574810817461003,66.024,2019_yk_206a,Yukon,2019
64,33.536,7.1864927894321873e-001,0.17069698836281114,67.072,2019_yk_206a,Yukon,2019
65,34.06,7.1872001458297008e-001,0.16866585118703267,68.12,2019_yk_206a,Yukon,2019
66,34.584,7.2028225720371986e-001,0.16588263291454125,69.168,2019_yk_206a,Yukon,2019
67,35.108000000000004,7.1435779485215356e-001,0.16059886667921078,70.21600000000001,2019_yk_206a,Yukon,2019
68,35.632000000000005,7.1599911674805250e-001,0.1630834557647589,71.26400000000001,2019_yk_206a,Yukon,2019
69,36.156000000000006,7.1767932256949507e-001,0.1792239858700742,72.31200000000001,2019_yk_206a,Yukon,2019
70,36.68,7.1149690952960842e-001,0.182701159929346,73.36,2019_yk_206a,Yukon,2019
71,37.204,7.1486593276470034e-001,0.18537783943355152,74.408,2019_yk_206a,Yukon,2019
72,37.728,7.1021475269405521e-001,0.18518228536426315,75.456,2019_yk_206a,Yukon,2019
73,38.252,7.1098147610186713e-001,0.18179046851436276,76.504,2019_yk_206a,Yukon,2019
74,38.776,7.1251210720542835e-001,0.1775441039894,77.552,2019_yk_206a,Yukon,2019
75,39.300000000000004,7.1647811675532769e-001,0.17789023668381446,78.60000000000001,2019_yk_206a,Yukon,2019
76,39.824000000000005,7.1762306633930484e-001,0.18174753624554635,79.64800000000001,2019_yk_206a,Yukon,2019
77,40.348,7.1702991339948430e-001,0.18187013047675013,80.696,2019_yk_206a,Yukon,2019
78,40.872,7.1030914932701339e-001,0.18456244319096832,81.744,2019_yk_206a,Yukon,2019
79,41.396,7.1055713107787177e-001,0.18663569641561617,82.792,2019_yk_206a,Yukon,2019
80,41.92,7.2244688528614509e-001,0.18892922306547608,83.84,2019_yk_206a,Yukon,2019
81,42.444,7.1779748681280064e-001,0.19355182753983136,84.888,2019_yk_206a,Yukon,2019
82,42.968,7.1362326007670884e-001,0.196616757082249,85.936,2019_yk_206a,Yukon,2019
83,43.492000000000004,7.1229653202207399e-001,0.19374924431324633,86.98400000000001,2019_yk_206a,Yukon,2019
84,44.016000000000005,7.1194280036322044e-001,0.1911542085745755,88.03200000000001,2019_yk_206a,Yukon,2019
85,44.540000000000006,7.0965510257934050e-001,0.18778081884382536,89.08000000000001,2019_yk_206a,Yukon,2019
86,45.064,7.1434339999858776e-001,0.18746029103368783,90.128,2019_yk_206a,Yukon,2019
87,45.588,7.1338494087875959e-001,0.18790236943750913,91.176,2019_yk_206a,Yukon,2019
88,46.112,7.1068974959157971e-001,0.1846540767785171,92.224,2019_yk_206a,Yukon,2019
89,46.636,7.1535179249375735e-001,0.18422393186768243,93.272,2019_yk_206a,Yukon,2019
90,47.160000000000004,7.2222640009571648e-001,0.18200670744754027,94.32000000000001,2019_yk_206a,Yukon,2019
91,47.684000000000005,7.1192172982161972e-001,0.1810929003120063,95.36800000000001,2019_yk_206a,Yukon,2019
92,48.208000000000006,7.2276418247718932e-001,0.17954836793876428,96.41600000000001,2019_yk_206a,Yukon,2019
93,48.732,7.1775441539842644e-001,0.18239428644879593,97.464,2019_yk_206a,Yukon,2019
94,49.256,7.1466860930131804e-001,0.18026302183382464,98.512,2019_yk_206a,Yukon,2019
95,49.78,7.1108779917263032e-001,0.18497019430514816,99.56,2019_yk_206a,Yukon,2019
96,50.304,7.1121052074398572e-001,0.1806218172631778,100.608,2019_yk_206a,Yukon,2019
97,50.828,7.1370775226800964e-001,0.18220953526933825,101.656,2019_yk_206a,Yukon,2019
98,51.352000000000004,7.1928628232901159e-001,0.18016333446006563,102.70400000000001,2019_yk_206a,Yukon,2019
99,51.876000000000005,7.1010717080269670e-001,0.18036013544521184,103.75200000000001,2019_yk_206a,Yukon,2019
100,52.400000000000006,7.1401424747230235e-001,0.1834437907501761,104.80000000000001,2019_yk_206a,Yukon,2019
101,52.92400000000001,7.1212297142970893e-001,0.18498443599805625,105.84800000000001,2019_yk_206a,Yukon,2019
102,53.448,7.1836605921012764e-001,0.1894017454602818,106.896,2019_yk_206a,Yukon,2019
103,53.972,7.1130348921935571e-001,0.1881475853018136,107.944,2019_yk_206a,Yukon,2019
104,54.496,7.1476250644079042e-001,0.19091237545421263,108.992,2019_yk_206a,Yukon,2019
105,55.02,7.1783177020859257e-001,0.18806800073572036,110.04,2019_yk_206a,Yukon,2019
106,55.544000000000004,7.1296241528825355e-001,0.18871210279835257,111.08800000000001,2019_yk_206a,Yukon,2019
107,56.068000000000005,7.1612959110176655e-001,0.1908677511730124,112.13600000000001,2019_yk_206a,Yukon,2019
108,56.592000000000006,7.1269840844798593e-001,0.19046206538686436,113.18400000000001,2019_yk_206a,Yukon,2019
109,57.116,7.1225457261609837e-001,0.1965287605779018,114.232,2019_yk_206a,Yukon,2019
110,57.64,7.1228990263897041e-001,0.19917854070275084,115.28,2019_yk_206a,Yukon,2019
111,58.164,7.1367127852311141e-001,0.19947139644248513,116.328,2019_yk_206a,Yukon,2019
112,58.688,7.1592479811826837e-001,0.20138313649326736,117.376,2019_yk_206a,Yukon,2019
113,59.212,7.1285994165333599e-001,0.1983774963291327,118.424,2019_yk_206a,Yukon,2019
114,59.736000000000004,7.0968372967985827e-001,0.19910273406497592,119.47200000000001,2019_yk_206a,Yukon,2019
115,60.260000000000005,7.1163089164836402e-001,0.19648840952161145,120.52000000000001,2019_yk_206a,Yukon,2019
116,60.784000000000006,7.1822334001483479e-001,0.19368993749734953,121.56800000000001,2019_yk_206a,Yukon,2019
117,61.30800000000001,7.1540794301324817e-001,0.1953578844333985,122.61600000000001,2019_yk_206a,Yukon,2019
118,61.832,7.1585675997731879e-001,0.1933500259711842,123.664,2019_yk_206a,Yukon,2019
119,62.356,7.0984800442294338e-001,0.1954613913362079,124.712,2019_yk_206a,Yukon,2019
120,62.88,7.1365223120498300e-001,0.19562863553200063,125.76,2019_yk_206a,Yukon,2019
121,63.404,7.1679858088046655e-001,0.19539065188897609,126.808,2019_yk_206a,Yukon,2019
122,63.928000000000004,7.1678148385790463e-001,0.19279890264119412,127.85600000000001,2019_yk_206a,Yukon,2019
123,64.452,7.1889634717037965e-001,0.1922298741311405,128.904,2019_yk_206a,Yukon,2019
124,64.976,7.1441444110608177e-001,0.19087086443565723,129.952,2019_yk_206a,Yukon,2019
125,65.5,7.1107767306132685e-001,0.19393059433497753,131,2019_yk_206a,Yukon,2019
126,66.024,7.1843761508640713e-001,0.19528039071312153,132.048,2019_yk_206a,Yukon,2019
127,66.548,7.1536440030882364e-001,0.20147868066471675,133.096,2019_yk_206a,Yukon,2019
128,67.072,7.1439945719249587e-001,0.1993718583835135,134.144,2019_yk_206a,Yukon,2019
129,67.596,7.1470184384812196e-001,0.2015792118770229,135.192,2019_yk_206a,Yukon,2019
130,68.12,7.1311855130520552e-001,0.20751178654477964,136.24,2019_yk_206a,Yukon,2019
131,68.644,7.1597944632402710e-001,0.20322921538159017,137.288,2019_yk_206a,Yukon,2019
132,69.168,7.1627670826376399e-001,0.2012761160372266,138.336,2019_yk_206a,Yukon,2019
133,69.69200000000001,7.1604662030931165e-001,0.20187220202102504,139.38400000000001,2019_yk_206a,Yukon,2019
134,70.21600000000001,7.1065379089480540e-001,0.1991001291192482,140.43200000000002,2019_yk_206a,Yukon,2019
135,70.74000000000001,7.1475332651560963e-001,0.19698365911625831,141.48000000000002,2019_yk_206a,Yukon,2019
136,71.26400000000001,7.1363707219182881e-001,0.19550638608958157,142.52800000000002,2019_yk_206a,Yukon,2019
137,71.78800000000001,7.1537167875919594e-001,0.19050096732192193,143.57600000000002,2019_yk_206a,Yukon,2019
138,72.312,7.1835591736634552e-001,0.19365118171456244,144.624,2019_yk_206a,Yukon,2019
139,72.836,7.1252735470365858e-001,0.19789262361701343,145.672,2019_yk_206a,Yukon,2019
140,73.36,7.1861917102708783e-001,0.19472509331875393,146.72,2019_yk_206a,Yukon,2019
141,73.884,7.1763905796836780e-001,0.19603111494813505,147.768,2019_yk_206a,Yukon,2019
142,74.408,7.1045027820591955e-001,0.19490600189857749,148.816,2019_yk_206a,Yukon,2019
143,74.932,7.1285189522315828e-001,0.19488676594129775,149.864,2019_yk_206a,Yukon,2019
144,75.456,7.1461941784219318e-001,0.19251928805906668,150.912,2019_yk_206a,Yukon,2019
145,75.98,7.1004499134377630e-001,0.19236651781417852,151.96,2019_yk_206a,Yukon,2019
146,76.504,7.1755022353554365e-001,0.1979987931330172,153.008,2019_yk_206a,Yukon,2019
147,77.028,7.1111663339308118e-001,0.19121233955611464,154.056,2019_yk_206a,Yukon,2019
148,77.552,7.1904374892112644e-001,0.19380257117636912,155.104,2019_yk_206a,Yukon,2019
149,78.07600000000001,7.1367205166625058e-001,0.1942620415828392,156.15200000000002,2019_yk_206a,Yukon,2019
150,78.60000000000001,7.1335958389227161e-001,0.19695995909555333,157.20000000000002,2019_yk_206a,Yukon,2019
151,79.12400000000001,7.1811405544064655e-001,0.19813516322578464,158.24800000000002,2019_yk_206a,Yukon,2019
152,79.64800000000001,7.1234353944134332e-001,0.19597907306148463,159.29600000000002,2019_yk_206a,Yukon,2019
153,80.172,7.1518619462234256e-001,0.19256527921175493,160.344,2019_yk_206a,Yukon,2019
154,80.696,7.1189438060622323e-001,0.1933292238081344,161.392,2019_yk_206a,Yukon,2019
155,81.22,7.0852350285510290e-001,0.1929039065559956,162.44,2019_yk_206a,Yukon,2019
156,81.744,7.1630112269025414e-001,0.191251008756634,163.488,2019_yk_206a,Yukon,2019
157,82.268,7.1416827195996535e-001,0.19159753563963233,164.536,2019_yk_206a,Yukon,2019
158,82.792,7.1997884946348090e-001,0.19190651766297767,165.584,2019_yk_206a,Yukon,2019
159,83.316,7.2059831155459753e-001,0.19079251669720015,166.632,2019_yk_206a,Yukon,2019
160,83.84,7.1665274284613856e-001,0.18958811215074609,167.68,2019_yk_206a,Yukon,2019
161,84.364,7.2013587236038179e-001,0.1879692410117869,168.728,2019_yk_206a,Yukon,2019
162,84.888,7.1891531749632120e-001,0.18664268626770383,169.776,2019_yk_206a,Yukon,2019
163,85.412,7.1350813217829090e-001,0.18461887200021576,170.824,2019_yk_206a,Yukon,2019
164,85.936,7.0991909604869330e-001,0.1833380388875968,171.872,2019_yk_206a,Yukon,2019
165,86.46000000000001,7.1859394963080536e-001,0.18419158730036153,172.92000000000002,2019_yk_206a,Yukon,2019
166,86.98400000000001,7.0766059219573429e-001,0.18754371763861297,173.96800000000002,2019_yk_206a,Yukon,2019
167,87.50800000000001,7.1058468447534640e-001,0.1877144771261472,175.01600000000002,2019_yk_206a,Yukon,2019
168,88.03200000000001,7.1539428966534746e-001,0.18780232894091703,176.06400000000002,2019_yk_206a,Yukon,2019
169,88.55600000000001,7.1477030795880692e-001,0.1862734342974164,177.11200000000002,2019_yk_206a,Yukon,2019
170,89.08,7.1488356094575356e-001,0.18587478274113697,178.16,2019_yk_206a,Yukon,2019
171,89.604,7.1404438367564216e-001,0.1898529219064302,179.208,2019_yk_206a,Yukon,2019
172,90.128,7.1606293528832921e-001,0.19124893252309305,180.256,2019_yk_206a,Yukon,2019
173,90.652,7.1889305268894654e-001,0.19309314705531896,181.304,2019_yk_206a,Yukon,2019
174,91.176,7.1370859294159439e-001,0.19146695864292512,182.352,2019_yk_206a,Yukon,2019
175,91.7,7.1544564281418976e-001,0.19203221271915005,183.4,2019_yk_206a,Yukon,2019
176,92.224,7.1264349508124614e-001,0.1927482236757005,184.448,2019_yk_206a,Yukon,2019
177,92.748,7.1280714854432103e-001,0.1931175843484731,185.496,2019_yk_206a,Yukon,2019
178,93.272,7.1087113274097269e-001,0.19160298750452007,186.544,2019_yk_206a,Yukon,2019
179,93.796,7.1403440795776196e-001,0.19218597513743296,187.592,2019_yk_206a,Yukon,2019
180,94.32000000000001,7.1580077346632709e-001,0.19283736824852363,188.64000000000001,2019_yk_206a,Yukon,2019
181,94.84400000000001,7.2011709047874739e-001,0.1953870110120198,189.68800000000002,2019_yk_206a,Yukon,2019
182,95.36800000000001,7.0811442291074389e-001,0.1979243693034544,190.73600000000002,2019_yk_206a,Yukon,2019
183,95.89200000000001,7.2065645246835885e-001,0.20380388290508705,191.78400000000002,2019_yk_206a,Yukon,2019
184,96.41600000000001,7.1577230407587944e-001,0.20451133861085913,192.83200000000002,2019_yk_206a,Yukon,2019
185,96.94,7.1862543059836881e-001,0.2062748866819764,193.88,2019_yk_206a,Yukon,2019
186,97.464,7.1243604621790024e-001,0.20447945670791856,194.928,2019_yk_206a,Yukon,2019
187,97.988,7.1691722756491583e-001,0.20908089594389448,195.976,2019_yk_206a,Yukon,2019
