"Sample","Fish_ID","File","Is_Specific"
1,"2021_yk_409","sample_01_2021_yk_409.png",FALSE
2,"2019_yk_052","sample_02_2019_yk_052.png",FALSE
3,"2017_yk_216","sample_03_2017_yk_216.png",FALSE
4,"2016_yk_010_redo","sample_04_2016_yk_010_redo.png",FALSE
5,"2021_yk_405","sample_05_2021_yk_405.png",FALSE
6,"2021_yk_128","sample_06_2021_yk_128.png",FALSE
7,"2021_yk_160","sample_07_2021_yk_160.png",FALSE
8,"2016_yk_068","sample_08_2016_yk_068.png",FALSE
9,"2016_yk_128","sample_09_2016_yk_128.png",FALSE
10,"2017_yk_140","sample_10_2017_yk_140.png",FALSE
11,"2016_yk_111","sample_11_2016_yk_111.png",FALSE
12,"2015_yk_066","sample_12_2015_yk_066.png",FALSE
13,"2015_yk_491","sample_13_2015_yk_491.png",FALSE
14,"2016_yk_112","sample_14_2016_yk_112.png",FALSE
15,"2021_yk_314","sample_15_2021_yk_314.png",FALSE
16,"2017_yk_008","sample_16_2017_yk_008.png",FALSE
17,"2021_yk_506","sample_17_2021_yk_506.png",FALSE
18,"2019_yk_119","sample_18_2019_yk_119.png",FALSE
19,"2016_yk_103b","sample_19_2016_yk_103b.png",FALSE
20,"2021_yk_057","sample_20_2021_yk_057.png",FALSE
