"Sample","Fish_ID","File","Is_Specific"
1,"2011_nk_37","SPECIFIC_sample_01_2011_nk_37.png",TRUE
2,"2015_nk_175","sample_02_2015_nk_175.png",FALSE
3,"2014_nk_228","sample_03_2014_nk_228.png",FALSE
4,"2011_nk_47","sample_04_2011_nk_47.png",FALSE
5,"2011_nk_187","sample_05_2011_nk_187.png",FALSE
6,"2014_nk_137","sample_06_2014_nk_137.png",FALSE
7,"2011_nk_36","sample_07_2011_nk_36.png",FALSE
8,"2015_nk_256","sample_08_2015_nk_256.png",FALSE
9,"2011_nk_159","sample_09_2011_nk_159.png",FALSE
10,"2011_nk_244","sample_10_2011_nk_244.png",FALSE
11,"2014_nk_210","sample_11_2014_nk_210.png",FALSE
12,"2011_nk_129","sample_12_2011_nk_129.png",FALSE
13,"2014_nk_263","sample_13_2014_nk_263.png",FALSE
14,"2015_nk_221","sample_14_2015_nk_221.png",FALSE
15,"2011_nk_60","sample_15_2011_nk_60.png",FALSE
16,"2015_nk_242","sample_16_2015_nk_242.png",FALSE
17,"2015_nk_139","sample_17_2015_nk_139.png",FALSE
18,"2014_nk_64","sample_18_2014_nk_64.png",FALSE
19,"2014_nk_205","sample_19_2014_nk_205.png",FALSE
20,"2015_nk_53_redo","sample_20_2015_nk_53_redo.png",FALSE
21,"2014_nk_191","sample_21_2014_nk_191.png",FALSE
