"Fish_id","Predicted","Actual","Confidence","Correct","Kusko","Nush","Yukon","File","filename_short","QC_Grade","Core_Status","Lower_gen","Middle_gen","Upper_gen","Year","Natal_microns_start","Natal_microns_end","Natal_origins_iso","Marine_Start","Core","likely_gen"
"2011_nk_100","Nush","Nush",0.846,TRUE,0.078,0.846,0.076,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_100_trimLocations.csv","2011_nk_100_trimLocations","Good","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_nk_100","Nush","Nush",0.846,TRUE,0.078,0.846,0.076,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_100_trimLocations.csv","2011_nk_100_trimLocations","Yes","Yes",NA,NA,NA,2011,897.392967338944,962.080007040175,0.708452709677419,1402.224,499.253972327145,NA
"2011_nk_101","Nush","Nush",0.792,TRUE,0.134,0.792,0.074,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_101_trimLocations.csv","2011_nk_101_trimLocations","Good","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_nk_101","Nush","Nush",0.792,TRUE,0.134,0.792,0.074,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_101_trimLocations.csv","2011_nk_101_trimLocations","Yes","Yes",NA,NA,NA,2011,436.320392471393,484.070200777049,0.707148064444444,752.464,196.899212417791,NA
"2011_nk_105","Kusko","Nush",0.394,FALSE,0.394,0.246,0.36,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_105_trimLocations.csv","2011_nk_105_trimLocations","Yes","Partial",NA,NA,NA,2011,954.396845529975,1070.23057859178,0.709058495495495,1604.488,604.680472113284,NA
"2011_nk_106","Nush","Nush",0.808,TRUE,0.13,0.808,0.062,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_106_trimLocations.csv","2011_nk_106_trimLocations","Yes","Yes",NA,NA,NA,2011,561.177257688211,631.313751609409,0.70628628358209,1021.8,375.45585848922,NA
"2011_nk_114b","Kusko","Nush",0.636,FALSE,0.636,0.096,0.268,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_114b_trimLocations.csv","2011_nk_114b_trimLocations","Yes","Yes",NA,NA,NA,2011,982.421802963471,1181.21670357089,0.70653792631579,2034.168,596.532179968775,NA
"2011_nk_116","Nush","Nush",0.682,TRUE,0.19,0.682,0.128,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_116_trimLocations.csv","2011_nk_116_trimLocations","Yes","Yes",NA,NA,NA,2011,541.689097128341,648.025238762229,0.705443725490196,1213.584,165.803547415296,NA
"2011_nk_121","Nush","Nush",0.65,TRUE,0.184,0.65,0.166,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_121_trimLocations.csv","2011_nk_121_trimLocations","Yes","Yes",NA,NA,NA,2011,823.110777165789,960.669858148321,0.705977022900763,1436.808,400.697132492209,NA
"2011_nk_122","Kusko","Nush",0.444,FALSE,0.444,0.196,0.36,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_122_trimLocations.csv","2011_nk_122_trimLocations","Yes","Yes",NA,NA,NA,2011,684.950350957821,738.86007644963,0.704939365384615,1239.784,399.385793263384,NA
"2011_nk_142","Yukon","Nush",0.44,FALSE,0.23,0.33,0.44,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_142_trimLocations.csv","2011_nk_142_trimLocations","Yes","Partial",NA,NA,NA,2011,624.872942894419,724.690351372908,0.705318694736842,1204.152,493.81048320616,NA
"2011_nk_146","Nush","Nush",0.604,TRUE,0.292,0.604,0.104,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_146_trimLocations.csv","2011_nk_146_trimLocations","Yes","Yes",NA,NA,NA,2011,537.373448824004,609.262990243748,0.705131565217391,926.432,284.299950691207,NA
"2011_nk_148","Nush","Nush",0.818,TRUE,0.146,0.818,0.036,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_148_trimLocations.csv","2011_nk_148_trimLocations","Yes","Yes",NA,NA,NA,2011,999.239847541354,1117.23400717912,0.708128060176991,1402.224,702.742111505034,NA
"2011_nk_15","Nush","Nush",0.434,TRUE,0.31,0.434,0.256,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_15_trimLocations.csv","2011_nk_15_trimLocations","Yes","Yes",NA,NA,NA,2011,956.543999192403,1092.41428069446,0.708424692307692,1409.56,802.402460712499,NA
"2011_nk_152","Nush","Nush",0.782,TRUE,0.182,0.782,0.036,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_152_trimLocations.csv","2011_nk_152_trimLocations","Yes","Yes",NA,NA,NA,2011,838.584316482421,951.578813686445,0.708397742990654,1273.32,465.334251403391,NA
"2011_nk_158","Nush","Nush",0.484,TRUE,0.222,0.484,0.294,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_158_trimLocations.csv","2011_nk_158_trimLocations","Yes","Yes",NA,NA,NA,2011,768.71437297097,894.795651000225,0.708279300833333,1263.888,514.739752738135,NA
"2011_nk_159","Nush","Nush",0.844,TRUE,0.13,0.844,0.026,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_159_trimLocations.csv","2011_nk_159_trimLocations","Yes","Yes",NA,NA,NA,2011,942.599529452415,1080.07831571878,0.704726132061069,1442.048,576.129886951945,NA
"2011_nk_16","Nush","Nush",0.418,TRUE,0.386,0.418,0.196,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_16_trimLocations.csv","2011_nk_16_trimLocations","Yes","Yes",NA,NA,NA,2011,757.303575680302,929.473441927403,0.70876962195122,1468.248,618.702463793999,NA
"2011_nk_161","Nush","Nush",0.51,TRUE,0.392,0.51,0.098,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_161_trimLocations.csv","2011_nk_161_trimLocations","Yes","Yes",NA,NA,NA,2011,708.967651893506,874.335053982072,0.707878101265823,1191.576,447.907978562956,NA
"2011_nk_172","Nush","Nush",0.832,TRUE,0.14,0.832,0.028,"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_172_trimLocations.csv","2011_nk_172_trimLocations","Yes","Partial",NA,NA,NA,2011,734.386101982274,850.6125533505,0.708522611711712,1272.272,442.337838470427,NA
