Cycle,Sr88,Iso,Time,Microns,Fish_id,Watershed,Year
30,0.808464082530033,0.707266637808875,15.72,31.44,2015_nk_202,Nush,2015
31,1.48183131378146,0.707037687113238,16.244,32.488,2015_nk_202,Nush,2015
32,1.77926214221326,0.708553593879714,16.768,33.536,2015_nk_202,Nush,2015
33,1.85362931565331,0.707545160985422,17.292,34.584,2015_nk_202,Nush,2015
34,1.88429540492091,0.706900350261384,17.816000000000003,35.632000000000005,2015_nk_202,Nush,2015
35,1.87561275686978,0.707620008513258,18.34,36.68,2015_nk_202,Nush,2015
36,1.86971323418839,0.707934614957071,18.864,37.728,2015_nk_202,Nush,2015
37,1.8608621419815,0.707458786768645,19.388,38.776,2015_nk_202,Nush,2015
38,1.86632602318215,0.707410085367544,19.912,39.824,2015_nk_202,Nush,2015
39,1.84643532442577,0.708419579634496,20.436,40.872,2015_nk_202,Nush,2015
40,1.80810921519199,0.707736636135026,20.96,41.92,2015_nk_202,Nush,2015
41,1.79123549034105,0.707785362791173,21.484,42.968,2015_nk_202,Nush,2015
42,1.79678985061007,0.708532068043427,22.008000000000003,44.016000000000005,2015_nk_202,Nush,2015
43,1.77876399412023,0.707546731715728,22.532,45.064,2015_nk_202,Nush,2015
44,1.77695218762444,0.707878634130075,23.056,46.112,2015_nk_202,Nush,2015
45,1.74541647170941,0.706397462843647,23.580000000000002,47.160000000000004,2015_nk_202,Nush,2015
46,1.70988304211524,0.707375625764082,24.104,48.208,2015_nk_202,Nush,2015
47,1.71440984972452,0.70720134443137606,24.628,49.256,2015_nk_202,Nush,2015
48,1.69377819288366,0.707714731584926,25.152,50.304,2015_nk_202,Nush,2015
49,1.73483545115222,0.707771026739505,25.676000000000002,51.352000000000004,2015_nk_202,Nush,2015
50,1.7414872348744,0.707889486670995,26.200000000000003,52.400000000000006,2015_nk_202,Nush,2015
51,1.73691151824304,0.708483518568429,26.724000000000004,53.44800000000001,2015_nk_202,Nush,2015
52,1.71851183506634,0.707320587900628,27.248,54.496,2015_nk_202,Nush,2015
53,1.70195082064255,0.708044313520938,27.772,55.544,2015_nk_202,Nush,2015
54,1.7326051194911,0.707481300615771,28.296,56.592,2015_nk_202,Nush,2015
55,1.7208752271658,0.707608449711533,28.82,57.64,2015_nk_202,Nush,2015
56,1.71513790493052,0.707299281000436,29.344,58.688,2015_nk_202,Nush,2015
57,1.73805809917962,0.707805632578088,29.868000000000002,59.736000000000004,2015_nk_202,Nush,2015
58,1.7497873138857,0.708491627609073,30.392000000000003,60.784000000000006,2015_nk_202,Nush,2015
59,1.78594864753074,0.707585055854053,30.916000000000004,61.83200000000001,2015_nk_202,Nush,2015
60,1.78152597127405,0.707996894183546,31.44,62.88,2015_nk_202,Nush,2015
61,1.75323787512391,0.707104417509351,31.964,63.928,2015_nk_202,Nush,2015
62,1.73548594292547,0.708182153103382,32.488,64.976,2015_nk_202,Nush,2015
63,1.73149388312262,0.708196486982002,33.012,66.024,2015_nk_202,Nush,2015
64,1.82617005817344,0.70810722276755,33.536,67.072,2015_nk_202,Nush,2015
65,1.80692675656571,0.708388156983171,34.06,68.12,2015_nk_202,Nush,2015
66,1.807655415025,0.708484739820431,34.584,69.168,2015_nk_202,Nush,2015
67,1.79783005612797,0.707563601168501,35.108000000000004,70.21600000000001,2015_nk_202,Nush,2015
68,1.78832125645249,0.708190767002723,35.632,71.264,2015_nk_202,Nush,2015
69,1.78519066162742,0.7075294208223,36.156,72.312,2015_nk_202,Nush,2015
70,1.7543958773592,0.707103035808213,36.68,73.36,2015_nk_202,Nush,2015
71,1.8677301139551,0.707761087677082,37.204,74.408,2015_nk_202,Nush,2015
72,1.86113189236945,0.707959638063066,37.728,75.456,2015_nk_202,Nush,2015
73,1.83248370085893,0.707876824890787,38.252,76.504,2015_nk_202,Nush,2015
74,1.79385482600106,0.707764667119399,38.776,77.552,2015_nk_202,Nush,2015
75,1.8022819389923,0.708189619895253,39.300000000000004,78.60000000000001,2015_nk_202,Nush,2015
76,1.766962592568,0.708429709756518,39.824,79.648,2015_nk_202,Nush,2015
77,1.78822764919056,0.708463472628984,40.348,80.696,2015_nk_202,Nush,2015
78,1.82091723484596,0.707782816141064,40.872,81.744,2015_nk_202,Nush,2015
79,1.81050109857896,0.707965124255358,41.396,82.792,2015_nk_202,Nush,2015
80,1.75955235912715,0.708272980790041,41.92,83.84,2015_nk_202,Nush,2015
81,1.69628558664837,0.70732465735971,42.444,84.888,2015_nk_202,Nush,2015
82,1.70478094103712,0.708173192591634,42.968,85.936,2015_nk_202,Nush,2015
83,1.72991395554018,0.708242217714367,43.492000000000004,86.98400000000001,2015_nk_202,Nush,2015
84,1.81967815239638,0.708269491155628,44.016,88.032,2015_nk_202,Nush,2015
85,1.84842734011368,0.707526853953565,44.54,89.08,2015_nk_202,Nush,2015
86,1.72536693284977,0.707586751565513,45.064,90.128,2015_nk_202,Nush,2015
87,1.67104402055291,0.707822120719597,45.588,91.176,2015_nk_202,Nush,2015
88,1.61299418634357,0.707809617570802,46.112,92.224,2015_nk_202,Nush,2015
89,1.54526384911437,0.708658616532101,46.636,93.272,2015_nk_202,Nush,2015
90,1.64780189569142,0.708480782313054,47.160000000000004,94.32000000000001,2015_nk_202,Nush,2015
91,1.67536917650287,0.708539838902967,47.684000000000005,95.36800000000001,2015_nk_202,Nush,2015
92,1.70000976637783,0.707712105774714,48.208,96.416,2015_nk_202,Nush,2015
93,1.71648762299263,0.707806045840888,48.732,97.464,2015_nk_202,Nush,2015
94,1.77101787164796,0.707981239224929,49.256,98.512,2015_nk_202,Nush,2015
95,1.70193322547877,0.707435055526916,49.78,99.56,2015_nk_202,Nush,2015
96,1.64514127297928,0.707705785642899,50.304,100.608,2015_nk_202,Nush,2015
97,1.6124613228827,0.708468324799778,50.828,101.656,2015_nk_202,Nush,2015
98,1.62288385845348,0.708006284460534,51.352000000000004,102.70400000000001,2015_nk_202,Nush,2015
99,1.62338078258607,0.708028631108643,51.876,103.752,2015_nk_202,Nush,2015
100,1.61777219471312,0.707771202171405,52.4,104.8,2015_nk_202,Nush,2015
101,1.67603441759418,0.707691080979698,52.924,105.848,2015_nk_202,Nush,2015
102,1.64499271295226,0.707731449992525,53.448,106.896,2015_nk_202,Nush,2015
103,1.5925612697066,0.708014187911658,53.972,107.944,2015_nk_202,Nush,2015
104,1.59086239403826,0.707583697669483,54.496,108.992,2015_nk_202,Nush,2015
105,1.59118744974377,0.707870012005194,55.02,110.04,2015_nk_202,Nush,2015
106,1.53215881310827,0.707620074012935,55.544,111.088,2015_nk_202,Nush,2015
107,1.49053851531139,0.707061278209745,56.068,112.136,2015_nk_202,Nush,2015
108,1.55026188087801,0.70845094147542,56.592,113.184,2015_nk_202,Nush,2015
109,1.54662667328092,0.709355586658945,57.116,114.232,2015_nk_202,Nush,2015
110,1.56453080002205,0.70793218036413,57.64,115.28,2015_nk_202,Nush,2015
111,1.5800005127469,0.708115396709017,58.164,116.328,2015_nk_202,Nush,2015
112,1.61238839892505,0.708255393041022,58.688,117.376,2015_nk_202,Nush,2015
113,1.63748386090644,0.708359862213235,59.212,118.424,2015_nk_202,Nush,2015
114,1.65622680145557,0.708235328882371,59.736000000000004,119.47200000000001,2015_nk_202,Nush,2015
115,1.61743097713957,0.708285181008544,60.26,120.52,2015_nk_202,Nush,2015
116,1.64577982954974,0.707988229262193,60.784,121.568,2015_nk_202,Nush,2015
117,1.64594102039925,0.707342797371963,61.308,122.616,2015_nk_202,Nush,2015
118,1.65761138992921,0.7087622401836,61.832,123.664,2015_nk_202,Nush,2015
119,1.63586635690095,0.707949572670073,62.356,124.712,2015_nk_202,Nush,2015
120,1.65779579857477,0.708104668092022,62.88,125.76,2015_nk_202,Nush,2015
121,1.65365507156875,0.707857052587471,63.404,126.808,2015_nk_202,Nush,2015
122,1.66109456130892,0.707296732054858,63.928,127.856,2015_nk_202,Nush,2015
123,1.63338541048157,0.708520344168371,64.452,128.904,2015_nk_202,Nush,2015
124,1.66841304317975,0.707447917873987,64.976,129.952,2015_nk_202,Nush,2015
125,1.6529477987565,0.707458614377787,65.5,131,2015_nk_202,Nush,2015
126,1.69776116390596,0.707895407720573,66.024,132.048,2015_nk_202,Nush,2015
127,1.65434803385317,0.70802141937651,66.548,133.096,2015_nk_202,Nush,2015
128,1.68580160766029,0.708369333053326,67.072,134.144,2015_nk_202,Nush,2015
129,1.6967110113912,0.708393608513109,67.596,135.192,2015_nk_202,Nush,2015
130,1.71385674351601,0.707348063737803,68.12,136.24,2015_nk_202,Nush,2015
131,1.66796666901533,0.708060821589525,68.644,137.288,2015_nk_202,Nush,2015
132,1.71428711916166,0.708040636965156,69.168,138.336,2015_nk_202,Nush,2015
133,1.60618250330455,0.708767322436995,69.69200000000001,139.38400000000001,2015_nk_202,Nush,2015
134,1.71452596562223,0.707930199368185,70.21600000000001,140.43200000000002,2015_nk_202,Nush,2015
135,1.74408120395105,0.708362316519985,70.74000000000001,141.48000000000002,2015_nk_202,Nush,2015
136,1.74378311880376,0.707671003156925,71.26400000000001,142.52800000000002,2015_nk_202,Nush,2015
137,1.72139922077955,0.708021733621638,71.78800000000001,143.57600000000002,2015_nk_202,Nush,2015
138,1.7262628076728,0.7082011677621,72.312,144.624,2015_nk_202,Nush,2015
139,1.77092599549643,0.707750581790781,72.836,145.672,2015_nk_202,Nush,2015
140,1.76795176447301,0.707774968646631,73.36,146.72,2015_nk_202,Nush,2015
141,1.81921251302981,0.708480324347143,73.884,147.768,2015_nk_202,Nush,2015
142,1.80278414167129,0.708150203768438,74.408,148.816,2015_nk_202,Nush,2015
143,1.80502580337586,0.707121653277024,74.932,149.864,2015_nk_202,Nush,2015
144,1.80484809117397,0.708248962867037,75.456,150.912,2015_nk_202,Nush,2015
145,1.85058571497427,0.707660821557411,75.98,151.96,2015_nk_202,Nush,2015
146,1.8651769656461,0.708631980952902,76.504,153.008,2015_nk_202,Nush,2015
147,1.87758624794356,0.708089618408333,77.028,154.056,2015_nk_202,Nush,2015
148,1.87685631899204,0.708493006753055,77.552,155.104,2015_nk_202,Nush,2015
