"Threshold","Kusko","Nush","Yukon","Overall"
0.5,90.1,92.8,94.2,92.4
0.6,86.4,91.4,93.7,90.5
0.7,82.7,87.1,92.8,87.5
0.8,75.3,84.2,92.3,83.9
0.85,74.7,81.3,91.8,82.6
0.9,71,75.5,91.8,79.4
0.95,54.3,54,91.3,66.5
