"Threshold","Watershed","Total_Samples","Above_Threshold","Above_Threshold_Correct","Percent_Above_Threshold","Percent_Correct_Above_Threshold","Accuracy_Above_Threshold"
0.5,"Kusko",161,158,148,98.1,91.9,93.7
0.5,"Nush",139,137,130,98.6,93.5,94.9
0.5,"Yukon",91,91,81,100,89,89
0.6,"Kusko",161,153,144,95,89.4,94.1
0.6,"Nush",139,134,127,96.4,91.4,94.8
0.6,"Yukon",91,88,80,96.7,87.9,90.9
0.7,"Kusko",161,148,139,91.9,86.3,93.9
0.7,"Nush",139,129,124,92.8,89.2,96.1
0.7,"Yukon",91,85,79,93.4,86.8,92.9
0.8,"Kusko",161,136,128,84.5,79.5,94.1
0.8,"Nush",139,126,121,90.6,87.1,96
0.8,"Yukon",91,79,76,86.8,83.5,96.2
0.85,"Kusko",161,129,121,80.1,75.2,93.8
0.85,"Nush",139,121,117,87.1,84.2,96.7
0.85,"Yukon",91,78,75,85.7,82.4,96.2
0.9,"Kusko",161,120,112,74.5,69.6,93.3
0.9,"Nush",139,116,115,83.5,82.7,99.1
0.9,"Yukon",91,77,75,84.6,82.4,97.4
0.95,"Kusko",161,89,87,55.3,54,97.8
0.95,"Nush",139,57,56,41,40.3,98.2
0.95,"Yukon",91,75,74,82.4,81.3,98.7
