"Fish_id","Watershed","Status","Original_Points","Filtered_Points"
"2011_nk_79","Nush","Success",1580,959
"2011_nk_80","Nush","Success",1305,867
"2011_nk_81","Nush","Success",1727,676
"2011_nk_83","Nush","Success",1381,878
"2011_nk_84","Nush","Success",1725,1054
"2011_nk_85","Nush","Success",1306,774
"2011_nk_86","Nush","Success",1866,856
"2011_nk_87","Nush","Success",1701,1018
"2011_nk_88","Nush","Success",1553,706
"2011_nk_90","Nush","Success",1881,1028
"2011_nk_92","Nush","Success",1237,729
"2011_nk_93","Nush","Success",1364,833
"2011_nk_94","Nush","Success",1532,809
"2011_nk_95","Nush","Success",1657,944
"2011_nk_98","Nush","Success",1610,846
"2011_nk_99","Nush","Success",1758,796
"2014_nk_10_redo","Nush","Success",1149,879
"2014_nk_100","Nush","Success",1029,924
"2014_nk_101_redo","Nush","Success",1176,931
"2014_nk_102_redo","Nush","Success",1048,907
"2014_nk_107","Nush","Success",990,732
"2014_nk_109","Nush","Success",1082,1029
"2014_nk_110","Nush","Success",1230,1030
"2014_nk_111","Nush","Success",1265,941
"2014_nk_112","Nush","Success",1516,898
"2014_nk_113","Nush","Success",1278,1091
"2014_nk_114","Nush","Success",1278,1033
"2014_nk_115","Nush","Success",1482,937
"2014_nk_116","Nush","Success",1268,1022
"2014_nk_117","Nush","Success",1098,903
"2014_nk_119","Nush","Success",1132,880
"2014_nk_12","Nush","Success",1165,980
"2014_nk_121","Nush","Success",796,678
"2014_nk_122","Nush","Success",1184,828
"2014_nk_123","Nush","Success",1135,1017
"2014_nk_124","Nush","Success",1195,1032
"2014_nk_125","Nush","Success",1108,934
"2014_nk_128_152034","Nush","Success",1005,823
"2014_nk_128_153325","Nush","Success",1306,1045
"2014_nk_129","Nush","Success",1048,679
"2014_nk_13","Nush","Success",1711,1171
"2014_nk_130","Nush","Success",1141,979
"2014_nk_132","Nush","Success",1294,1047
"2014_nk_133","Nush","Success",1322,1073
"2014_nk_134","Nush","Success",1244,1098
"2014_nk_135","Nush","Success",1215,842
"2014_nk_136","Nush","Success",1084,882
"2014_nk_137","Nush","Success",1070,938
"2014_nk_139","Nush","Success",1309,939
"2014_nk_140","Nush","Success",1299,1012
"2014_nk_141","Nush","Success",872,845
"2014_nk_144","Nush","Success",1093,857
"2014_nk_145","Nush","Success",1148,1077
"2014_nk_147","Nush","Success",1040,893
"2014_nk_148","Nush","Success",1060,901
"2014_nk_149","Nush","Success",1129,935
"2014_nk_15","Nush","Success",1262,1048
"2014_nk_150","Nush","Success",1465,1089
"2014_nk_151","Nush","Success",1391,1056
"2014_nk_152","Nush","Success",1387,1152
"2014_nk_153","Nush","Success",1094,873
"2014_nk_154","Nush","Success",1477,1155
"2014_nk_155","Nush","Success",1188,1029
"2014_nk_156","Nush","Success",1145,936
"2014_nk_157","Nush","Success",1226,898
"2014_nk_158","Nush","Success",1175,791
"2014_nk_159","Nush","Success",1318,874
"2014_nk_16_redo","Nush","Success",1242,941
"2014_nk_161","Nush","Success",1008,780
"2014_nk_162","Nush","Success",996,832
"2014_nk_164","Nush","Success",1138,1066
"2014_nk_166","Nush","Success",1281,1104
"2014_nk_167","Nush","Success",1436,1062
"2014_nk_168","Nush","Success",1457,1072
"2014_nk_169","Nush","Success",1076,897
"2014_nk_17","Nush","Success",1328,857
"2014_nk_170","Nush","Success",1179,977
"2014_nk_171","Nush","Success",1183,1011
"2014_nk_172","Nush","Success",1166,883
"2014_nk_174","Nush","Success",1023,901
"2014_nk_175","Nush","Success",1334,1057
"2014_nk_176","Nush","Success",1449,1051
"2014_nk_178","Nush","Success",1198,697
"2014_nk_179","Nush","Success",1276,988
"2014_nk_18_redo","Nush","Success",1041,878
"2014_nk_180","Nush","Success",1048,906
"2014_nk_181","Nush","Success",1384,1150
"2014_nk_182","Nush","Success",1071,778
"2014_nk_183","Nush","Success",986,813
"2014_nk_184","Nush","Success",1019,692
"2014_nk_185","Nush","Success",1060,899
"2014_nk_186","Nush","Success",1036,866
"2014_nk_187","Nush","Success",1034,771
"2014_nk_188","Nush","Success",1240,897
"2014_nk_189_redo","Nush","Success",1097,732
"2014_nk_19","Nush","Success",1205,917
"2014_nk_191","Nush","Success",1153,820
"2014_nk_192","Nush","Success",1236,944
"2014_nk_193","Nush","Success",1107,946
"2014_nk_194","Nush","Success",1157,984
"2014_nk_195","Nush","Success",1246,850
"2014_nk_196","Nush","Success",1174,955
"2014_nk_197","Nush","Success",1272,846
"2014_nk_198","Nush","Success",1227,915
"2014_nk_199","Nush","Success",1204,907
"2014_nk_200","Nush","Success",1105,937
"2014_nk_201","Nush","Success",1016,778
"2014_nk_202","Nush","Success",1216,1003
"2014_nk_203","Nush","Success",1321,887
"2014_nk_204","Nush","Success",1057,886
"2014_nk_205","Nush","Success",1275,975
"2014_nk_206","Nush","Success",1096,864
"2014_nk_207","Nush","Success",1231,890
"2014_nk_208","Nush","Success",1085,1009
"2014_nk_209","Nush","Success",1452,980
"2014_nk_21","Nush","Success",1180,989
"2014_nk_210","Nush","Success",1147,1019
"2014_nk_211","Nush","Success",1499,1181
"2014_nk_212","Nush","Success",1425,800
"2014_nk_213","Nush","Success",1020,869
"2014_nk_214","Nush","Success",1266,958
"2014_nk_215","Nush","Success",1100,818
"2014_nk_216","Nush","Success",1003,840
"2014_nk_217","Nush","Success",1303,1131
"2014_nk_218","Nush","Success",1783,1052
"2014_nk_219","Nush","Success",1092,784
"2014_nk_22_redo","Nush","Success",1195,931
"2014_nk_220","Nush","Success",1220,991
"2014_nk_221","Nush","Success",1542,1184
"2014_nk_222","Nush","Success",1237,830
"2014_nk_223","Nush","Success",1168,964
"2014_nk_224","Nush","Success",1102,774
"2014_nk_225","Nush","Success",1446,1092
"2014_nk_227","Nush","Success",1051,691
"2014_nk_228","Nush","Success",1200,890
"2014_nk_229","Nush","Success",1193,862
"2014_nk_23","Nush","Success",974,688
"2014_nk_231","Nush","Success",1325,877
"2014_nk_232","Nush","Success",1103,953
"2014_nk_233","Nush","Success",1216,1032
"2014_nk_234","Nush","Success",1493,1028
"2014_nk_235","Nush","Success",1000,616
"2014_nk_236","Nush","Success",1333,942
"2014_nk_237","Nush","Success",1529,934
"2014_nk_238","Nush","Success",1337,918
"2014_nk_239","Nush","Success",1090,850
"2014_nk_240","Nush","Success",1211,946
"2014_nk_242","Nush","Success",1068,775
"2014_nk_243","Nush","Success",1110,790
"2014_nk_244","Nush","Success",931,730
"2014_nk_245","Nush","Success",1183,801
"2014_nk_246","Nush","Success",1432,846
"2014_nk_247","Nush","Success",1345,1018
"2014_nk_248","Nush","Success",1078,856
"2014_nk_249","Nush","Success",1372,1012
"2014_nk_250","Nush","Success",1509,828
