"Fish_id","Dataset","Predicted_Watershed","Actual_Watershed","Correct_Classified"
"2014_nk_186","RAW","Nush","Nush","Yes"
"2014_nk_192","RAW","Nush","Nush","Yes"
"2014_nk_193","RAW","Nush","Nush","Yes"
"2014_nk_200","RAW","Nush","Nush","Yes"
"2014_nk_208","RAW","Nush","Nush","Yes"
"2014_nk_210","RAW","Nush","Nush","Yes"
"2014_nk_215","RAW","Nush","Nush","Yes"
"2014_nk_217","RAW","Nush","Nush","Yes"
"2014_nk_227","RAW","Nush","Nush","Yes"
"2014_nk_231","RAW","Kusko","Nush","No"
"2014_nk_234","RAW","Nush","Nush","Yes"
"2014_nk_239","RAW","Nush","Nush","Yes"
"2014_nk_248","RAW","Nush","Nush","Yes"
"2014_nk_250","RAW","Nush","Nush","Yes"
"2014_nk_251","RAW","Nush","Nush","Yes"
"2014_nk_252","RAW","Nush","Nush","Yes"
"2014_nk_26","RAW","Nush","Nush","Yes"
"2014_nk_262","RAW","Nush","Nush","Yes"
"2014_nk_263","RAW","Kusko","Nush","No"
"2014_nk_270","RAW","Kusko","Nush","No"
"2014_nk_271","RAW","Kusko","Nush","No"
"2014_nk_273","RAW","Nush","Nush","Yes"
"2014_nk_279","RAW","Nush","Nush","Yes"
"2014_nk_37","RAW","Nush","Nush","Yes"
"2014_nk_46B","RAW","Kusko","Nush","No"
"2014_nk_48","RAW","Kusko","Nush","No"
"2014_nk_5","RAW","Nush","Nush","Yes"
"2014_nk_55","RAW","Nush","Nush","Yes"
"2014_nk_56_redo","RAW","Nush","Nush","Yes"
"2014_nk_62","RAW","Nush","Nush","Yes"
"2014_nk_65","RAW","Nush","Nush","Yes"
"2014_nk_71","RAW","Kusko","Nush","No"
"2014_nk_72","RAW","Nush","Nush","Yes"
"2014_nk_73","RAW","Kusko","Nush","No"
"2014_nk_76","RAW","Kusko","Nush","No"
"2014_nk_81","RAW","Kusko","Nush","No"
"2014_nk_90","RAW","Nush","Nush","Yes"
"2014_nk_93","RAW","Nush","Nush","Yes"
"2015_nk_002","RAW","Nush","Nush","Yes"
"2015_nk_004","RAW","Kusko","Nush","No"
"2015_nk_013_2","RAW","Nush","Nush","Yes"
"2015_nk_022","RAW","Nush","Nush","Yes"
"2015_nk_030_redo","RAW","Nush","Nush","Yes"
"2015_nk_036_redo","RAW","Nush","Nush","Yes"
"2015_nk_038","RAW","Nush","Nush","Yes"
"2015_nk_039","RAW","Nush","Nush","Yes"
"2015_nk_042","RAW","Nush","Nush","Yes"
"2015_nk_057","RAW","Kusko","Nush","No"
"2015_nk_058","RAW","Kusko","Nush","No"
"2015_nk_061","RAW","Nush","Nush","Yes"
"2015_nk_065","RAW","Nush","Nush","Yes"
"2015_nk_094","RAW","Nush","Nush","Yes"
"2015_nk_099","RAW","Nush","Nush","Yes"
"2015_nk_101","RAW","Kusko","Nush","No"
"2015_nk_111_redo","RAW","Kusko","Nush","No"
"2015_nk_113","RAW","Nush","Nush","Yes"
"2015_nk_120","RAW","Nush","Nush","Yes"
"2015_nk_122_redoB","RAW","Nush","Nush","Yes"
"2015_nk_123_redo2","RAW","Kusko","Nush","No"
