"Cycle","Time","Iso","Sr88","Fish_id","Watershed","Year","Microns","Iso_MA","natal_iso"
728,381.472,0.712581448470416,0.527052771983232,"2015_yk_220","Yukon",2015,762.944,0.710302089740158,0.714261552586245
729,381.996,0.710291416706104,0.520671566225627,"2015_yk_220","Yukon",2015,763.992,0.710279471104048,0.714261552586245
730,382.52,0.710396844251896,0.520684426626385,"2015_yk_220","Yukon",2015,765.04,0.710320585448452,0.714261552586245
731,383.044,0.709827727211682,0.521258750299228,"2015_yk_220","Yukon",2015,766.088,0.710297895517704,0.714261552586245
732,383.568,0.709693363574378,0.537174479481587,"2015_yk_220","Yukon",2015,767.136,0.710249663123824,0.714261552586245
733,384.092,0.710682665538369,0.526287290910705,"2015_yk_220","Yukon",2015,768.184,0.710273047263286,0.714261552586245
734,384.616,0.71030650966847,0.523075359421744,"2015_yk_220","Yukon",2015,769.232,0.710244902964867,0.714261552586245
735,385.14,0.709703223021899,0.529914243064591,"2015_yk_220","Yukon",2015,770.28,0.710258236501355,0.714261552586245
736,385.664,0.712580474605743,0.527110913650645,"2015_yk_220","Yukon",2015,771.328,0.710310374169447,0.714261552586245
737,386.188,0.711774918310434,0.524673491740552,"2015_yk_220","Yukon",2015,772.376,0.710263207835077,0.714261552586245
738,386.712,0.709119033029983,0.515395107037915,"2015_yk_220","Yukon",2015,773.424,0.710294021157294,0.714261552586245
739,387.236,0.710850804768287,0.536763126173215,"2015_yk_220","Yukon",2015,774.472,0.710339942209205,0.714261552586245
740,387.76,0.710261685377105,0.529859358631665,"2015_yk_220","Yukon",2015,775.52,0.71038588848474,0.714261552586245
741,388.284,0.711030336562278,0.521160054944802,"2015_yk_220","Yukon",2015,776.568,0.710428994474465,0.714261552586245
742,388.808,0.710758692710847,0.515359016515516,"2015_yk_220","Yukon",2015,777.616,0.710403586143849,0.714261552586245
743,389.332,0.710669233361942,0.52543128314831,"2015_yk_220","Yukon",2015,778.664,0.710436300640621,0.714261552586245
744,389.856,0.710388362490482,0.524503642305921,"2015_yk_220","Yukon",2015,779.712,0.710429108722167,0.714261552586245
745,390.38,0.709571140177042,0.509335163982206,"2015_yk_220","Yukon",2015,780.76,0.710487861809821,0.714261552586245
746,390.904,0.707440477826033,0.525772837912022,"2015_yk_220","Yukon",2015,781.808,0.710475168828861,0.714261552586245
747,391.428,0.709730959919893,0.521136119652664,"2015_yk_220","Yukon",2015,782.856,0.71044370755167,0.714261552586245
748,391.952,0.711769817936322,0.515642698171218,"2015_yk_220","Yukon",2015,783.904,0.710404259999288,0.714261552586245
749,392.476,0.710680822963902,0.517032801772938,"2015_yk_220","Yukon",2015,784.952,0.710462907284751,0.714261552586245
750,393,0.709275846237007,0.52783071422109,"2015_yk_220","Yukon",2015,786,0.71045775817689,0.714261552586245
