"Cycle","Time","Iso","Sr88","Microns","Fish_id","Watershed","Year","Iso_MA","natal_iso"
421,220.604,0.718676121429352,0.803387704094126,441.208,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
422,221.128,0.71837001997384,0.809115981325019,442.256,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
423,221.652,0.719189666305338,0.799546504142403,443.304,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
424,222.176,0.719959779676767,0.822769923438523,444.352,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
425,222.7,0.717775708721893,0.831325794956014,445.4,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
426,223.224,0.721455772580854,0.817999383959079,446.448,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
427,223.748,0.719978268044487,0.801470462106495,447.496,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
428,224.272,0.717986250811885,0.803771887451637,448.544,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
429,224.796,0.718989579687485,0.831698207292216,449.592,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
430,225.32,0.720039125141946,0.811292915718384,450.64,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
431,225.844,0.720330855103663,0.794983592288289,451.688,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
432,226.368,0.718246163471886,0.796939061381495,452.736,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
433,226.892,0.719778294683954,0.799975666724808,453.784,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
434,227.416,0.72013970961568,0.788863906518091,454.832,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
435,227.94,0.72052171413585,0.779510382388989,455.88,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
436,228.464,0.719694710137805,0.788107604126931,456.928,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
437,228.988,0.720477472851312,0.80054886451818,457.976,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
438,229.512,0.71894776128734,0.792777186907057,459.024,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
439,230.036,0.7194944602158,0.797094090443339,460.072,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
440,230.56,0.721558299222138,0.809806147768632,461.12,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
441,231.084,0.718370315434679,0.799374145517438,462.168,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
442,231.608,0.719077255739307,0.800400641232134,463.216,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
443,232.132,0.720209853997145,0.803457880349143,464.264,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
444,232.656,0.718208480529353,0.81825343770056,465.312,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
445,233.18,0.718096646101729,0.792877939399715,466.36,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
446,233.704,0.719851209770322,0.772640941521499,467.408,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
447,234.228,0.719162039123582,0.781222106048311,468.456,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
448,234.752,0.720912931058147,0.795670927711449,469.504,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
449,235.276,0.721367477480066,0.776141469838567,470.552,"2016_yk_103b","Yukon",2016,NA,0.719561902299643
450,235.8,0.719336378008662,0.769248394018213,471.6,"2016_yk_103b","Yukon",2016,0.719302872119692,0.719561902299643
451,236.324,0.720905484313354,0.788458905983045,472.648,"2016_yk_103b","Yukon",2016,0.719328819177429,0.719561902299643
452,236.848,0.718317139126855,0.814844535754816,473.696,"2016_yk_103b","Yukon",2016,0.719350342748985,0.719561902299643
453,237.372,0.719412094406571,0.79239446024414,474.744,"2016_yk_103b","Yukon",2016,0.71933604310124,0.719561902299643
454,237.896,0.717904942445541,0.791561441280948,475.792,"2016_yk_103b","Yukon",2016,0.719328136537713,0.719561902299643
455,238.42,0.71829334054198,0.798107681790559,476.84,"2016_yk_103b","Yukon",2016,0.719375051934476,0.719561902299643
456,238.944,0.719858432444927,0.80590594464412,477.888,"2016_yk_103b","Yukon",2016,0.719366186250728,0.719561902299643
457,239.468,0.71909242168307,0.799780667042757,478.936,"2016_yk_103b","Yukon",2016,0.719348614875044,0.719561902299643
458,239.992,0.719126025400987,0.798510016907783,479.984,"2016_yk_103b","Yukon",2016,0.719386221486348,0.719561902299643
459,240.516,0.7200115908874,0.812344353239846,481.032,"2016_yk_103b","Yukon",2016,0.719397689484213,0.719561902299643
460,241.04,0.717880153599624,0.813899770029128,482.08,"2016_yk_103b","Yukon",2016,0.719408110871571,0.719561902299643
461,241.564,0.71928645525138,0.806794132797712,483.128,"2016_yk_103b","Yukon",2016,0.719399560290052,0.719561902299643
462,242.088,0.719583021126561,0.813788643345241,484.176,"2016_yk_103b","Yukon",2016,0.719400007186166,0.719561902299643
463,242.612,0.720027770803579,0.819591990204767,485.224,"2016_yk_103b","Yukon",2016,0.719394428649658,0.719561902299643
