Fish_id,OtoNum,natal_iso,natal_isose,natal_start,natal_end,Date,DOY,Year,Watershed,,
2017_yk_007,7,0.716414301,0.001812453,592.7911547,652.8369305,2017-06-06,157,2016,Yukon,,
2017_yk_008,8,0.721550481,0.001452258,547.7169471,624.876852,2017-06-06,157,2016,Yukon,,
2017_yk_011,11,0.716449734,0.002252759,786.4490553,917.1691149,2017-06-06,157,2016,Yukon,,
2017_yk_012,12,0.712095969,0.002508793,686.0644128,743.90121,2017-06-06,157,2016,Yukon,,
2017_yk_014,14,0.706350877,0.001255133,477.9550843,547.5881361,2017-06-07,158,2016,Yukon,,
2017_yk_015,15,0.723309893,0.000823283,799.4822288,843.1399844,2017-06-07,158,2016,Yukon,,
2017_yk_016,16,0.725014587,0.000901727,642.7947533,748.8987104,2017-06-08,159,2016,Yukon,,
2017_yk_018,18,0.714496657,0.002133475,306.9538196,403.175866,2017-06-08,159,2016,Yukon,,
2017_yk_019,19,0.714499589,0.001468012,502.555608,667.0754794,2017-06-09,160,2016,Yukon,,
2017_yk_022_sml,22,0.712668638,0.001163718,311.9403849,406.212315,2017-06-10,161,2016,Yukon,,
2017_yk_022,22,0.71238157,0.002256454,465.6100232,541.7010276,2017-06-20,161,2016,Yukon,,
2017_yk_023,23,0.722093035,0.001197974,448.562009,536.5134492,2017-06-10,161,2016,Yukon,,
2017_yk_024,24,0.717396041,0.002599143,478.8954028,577.2029968,2017-06-10,161,2016,Yukon,,
2017_yk_025,25,0.731789773,0.001486201,625.6776683,719.8813318,2017-06-10,161,2016,Yukon,,
2017_yk_027,27,0.707680913,0.000774776,446.4579758,533.0743452,2017-06-10,161,2016,Yukon,,
2017_yk_029,29,0.72208076,0.001115493,633.516229,743.8414529,2017-06-11,162,2016,Yukon,,
2017_yk_030,30,0.731598488,0.001328886,467.5334485,569.8293677,2017-06-11,162,2016,Yukon,,
2017_yk_033,33,0.723163271,0.00126583,594.9306571,731.5697774,2017-06-11,162,2016,Yukon,,
2017_yk_034,34,0.722082511,0.001551896,478.9991929,523.8771487,2017-06-11,162,2016,Yukon,,
2017_yk_035,35,0.723594617,0.002412172,447.1383189,592.158057,2017-06-11,162,2016,Yukon,,
2017_yk_036,36,0.718331206,0.001682982,553.638102,660.4694259,2017-06-11,162,2016,Yukon,,
2017_yk_038,38,0.739478488,0.001541141,602.2747525,692.4716061,2017-06-12,163,2016,Yukon,,
2017_yk_039,39,0.71415654,0.002715413,602.2670256,804.2844293,2017-06-12,163,2016,Yukon,,
2017_yk_041,41,0.716142373,0.001667968,518.1491666,622.832426,2017-06-12,163,2016,Yukon,,
2017_yk_042,42,0.715756123,0.001533784,434.1157344,599.7919644,2017-06-12,163,2016,Yukon,,
2017_yk_043,43,0.7169531,0.001861165,647.6910189,755.7565415,2017-06-12,163,2016,Yukon,,
2017_yk_044,44,0.717847088,0.001340899,618.5410513,712.219337,2017-06-12,163,2016,Yukon,,
2017_yk_045,45,0.721265168,0.001739251,576.5498185,703.9332168,2017-06-12,163,2016,Yukon,,
2017_yk_047,47,0.711781378,0.001734165,391.9365818,580.3142866,2017-06-13,164,2016,Yukon,,
2017_yk_049,49,0.721981179,0.001244708,364.6849137,524.4141138,2017-06-13,164,2016,Yukon,,
2017_yk_050,50,0.723164822,0.002420318,524.6421906,695.8552829,2017-06-13,164,2016,Yukon,,
2017_yk_052,52,0.711825758,0.001631117,226.8645408,474.1696506,2017-06-14,165,2016,Yukon,,
2017_yk_053,53,0.724205378,0.001522758,489.5790954,634.0436278,2017-06-14,165,2016,Yukon,,
2017_yk_055,55,0.725657308,0.001276249,825.3211124,1014.444285,2017-06-16,167,2016,Yukon,,
2017_yk_056,56,0.724498045,0.001151793,424.4484519,609.0626745,2017-06-16,167,2016,Yukon,,
2017_yk_057,57,0.705660111,0.00199723,566.2257356,743.8440654,2017-06-16,167,2016,Yukon,,
2017_yk_058,58,0.712003412,0.001873051,635.6029791,859.8491062,2017-06-17,168,2016,Yukon,,
2017_yk_059,59,0.714306098,0.002621933,387.2886825,676.5301986,2017-06-17,168,2016,Yukon,,
2017_yk_060,60,0.72466083,0.001500147,351.7266797,502.2277205,2017-06-18,169,2016,Yukon,,
2017_yk_061,61,0.722171337,0.00194685,451.7889896,659.3082401,2017-06-18,169,2016,Yukon,,
2017_yk_062,62,NA,NA,1167.721358,1022.928461,2017-06-18,169,2016,Yukon,,
2017_yk_064,64,0.716876005,0.001708101,473.3398202,667.6672377,2017-06-18,169,2016,Yukon,,
2017_yk_065,65,0.710350744,0.00239806,271.4666914,475.9411658,2017-06-18,169,2016,Yukon,,
2017_yk_066,66,0.710772834,0.001551775,419.9592078,675.8612401,2017-06-18,169,2016,Yukon,,
2017_yk_068,68,NA,NA,819.8532132,490.8152903,2017-06-18,169,2016,Yukon,,
2017_yk_070_a,70,0.720263604,0.00070798,399.0004967,581.1409729,2017-06-19,170,2016,Yukon,,
2017_yk_070,70,NA,NA,765.1979476,576.0230564,2017-06-19,170,2016,Yukon,,
2017_yk_071,71,0.726453106,0.001312515,572.2764224,640.7631732,2017-06-19,170,2016,Yukon,,
2017_yk_072,72,0.707685681,0.00080359,872.6548296,1076.943362,2017-06-19,170,2016,Yukon,,
2017_yk_074,74,0.706445869,0.002042836,822.1152457,955.1972255,2017-06-19,170,2016,Yukon,,
2017_yk_075,75,0.714277814,0.002236872,748.5220626,930.2411447,2017-06-19,170,2016,Yukon,,
2017_yk_076,76,0.709598118,0.001606817,271.5744208,514.4936223,2017-06-19,170,2016,Yukon,,
2017_yk_077,77,0.707279493,0.000832279,792.3633587,942.0059039,2017-06-19,170,2016,Yukon,,
2017_yk_079,79,0.711797501,0.001710573,775.4991786,952.3354614,2017-06-19,170,2016,Yukon,,
2017_yk_080,80,0.708644399,0.000895943,561.3288549,866.5327223,2017-06-19,170,2016,Yukon,,
