"Fish_id","OtoNum","natal_iso","natal_isose","natal_start","natal_end","Date","DOY","Year","Watershed"
"2021_k_122_r1",NA,NA,NA,NA,NA,NA,NA,"2021","Kusko"
"2021_k_199",99,0.70804368450641,0.00133628186405925,1408.62993417847,1874.92934222581,"21-06-18",169,"2021","Kusko"
"2021_k_200",0,NA,NA,NA,NA,NA,NA,"2021","Kusko"
"2021_kk_003_R2",3,0.706716384268812,0.00118313532682043,799.843924766831,1129.36113911106,"21-06-02",153,"2021","Kusko"
"2021_kk_005_R2",5,0.709100996742932,0.00117314641552159,255.506758282901,555.231048443599,"21-06-04",155,"2021","Kusko"
"2021_kk_006_R2",6,0.705512313272522,0.00101440800192335,695.9206234424,879.310237469786,"21-06-04",155,"2021","Kusko"
"2021_kk_006_R3",6,0.705246609145189,0.00104182893631094,306.428149618076,620.679154331729,"21-06-04",155,"2021","Kusko"
"2021_kk_007_R2",7,0.709518717352066,0.00136085239872316,849.215207419639,1027.66554424659,"21-06-05",156,"2021","Kusko"
"2021_kk_011_R1",11,0.709379106880524,0.00134593943251875,508.474174304538,613.378831356628,"21-06-08",159,"2021","Kusko"
"2021_kk_011_R2",11,0.709237734573799,0.0011148555965656,706.743520641688,938.82319154068,"21-06-08",159,"2021","Kusko"
"2021_kk_012_R1",12,0.709596222515094,0.0011113785687152,288.236015939157,448.32023609779,"21-06-08",159,"2021","Kusko"
"2021_kk_013_R1",13,0.709509950995511,0.00122861045247117,479.348377794774,974.906393384318,"21-06-08",159,"2021","Kusko"
"2021_kk_013_R2",13,0.709703645464231,0.00118651054082925,696.626221849023,978.060843970722,"21-06-08",159,"2021","Kusko"
"2021_kk_014_R1",14,0.709775743652297,0.00105313137054568,184.81457819209,364.932335599973,"21-06-07",158,"2021","Kusko"
"2021_kk_018_R1",18,0.709218414945595,0.00092686983029719,775.525847751033,1002.53757843428,"21-06-09",160,"2021","Kusko"
"2021_kk_021_R1",21,0.713685632950033,0.00151362340482645,607.234249130939,683.93579622888,"21-06-09",160,"2021","Kusko"
"2021_kk_022_R1",22,0.710469510102934,0.00138376574318913,503.123811375589,674.246467767364,"21-06-09",160,"2021","Kusko"
"2021_kk_030",30,0.709546039331215,0.00172312613014847,483.002852578139,619.784840340275,"21-06-10",161,"2021","Kusko"
"2021_kk_031",31,0.709632068547361,0.00105127046555082,747.92880185067,864.493096604575,"21-06-10",161,"2021","Kusko"
"2021_kk_033",33,0.709273999197776,0.00122839205116386,232.231848550104,516.860643016142,"21-06-10",161,"2021","Kusko"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021_kk_034a",34,0.71142176266361,0.00151556523318156,627.517890869233,815.162156374211,"21-06-10",161,"2021","Kusko"
"2021_kk_035",35,0.709188023239889,0.00108957313347963,674.983122174112,815.333499295141,"21-06-10",161,"2021","Kusko"
"2021_kk_036",36,0.709375077856112,0.00136881399053345,727.645762536185,1001.72254778487,"21-06-11",162,"2021","Kusko"
"2021_kk_037",37,0.709485422963447,0.00183372234572374,679.238414203059,801.147277995215,"21-06-10",161,"2021","Kusko"
"2021_kk_038_R1",38,0.710593928994762,0.00175547275559633,601.739553237563,749.8879243198,"21-06-11",162,"2021","Kusko"
"2021_kk_038",38,0.710662698619291,0.00173032211188073,337.957486595372,491.892409442968,"21-06-11",162,"2021","Kusko"
"2021_kk_039",39,0.705906023870271,0.000772701511426495,662.475895944787,853.198299969905,"21-06-10",161,"2021","Kusko"
"2021_kk_041",41,0.708187311216615,0.00207686577583401,349.426988762538,559.597434280433,"21-06-10",161,"2021","Kusko"
"2021_kk_043",43,0.709199728395582,0.00104949713188911,517.001420756721,728.204587904089,"21-06-10",161,"2021","Kusko"
"2021_kk_044_R1",44,0.709943902323389,0.00164018187197729,480.554163069247,708.580080694258,"21-06-10",161,"2021","Kusko"
"2021_kk_045",45,0.711324756599331,0.00192216523900176,400.600570776535,577.496531919634,"21-06-10",161,"2021","Kusko"
"2021_kk_047",47,0.708466199584963,0.000693861316711365,537.513362495688,752.889478213494,"21-06-10",161,"2021","Kusko"
"2021_kk_049_R1",49,0.709478574864079,0.000874889624241166,521.146728360078,607.473088314423,"21-06-12",163,"2021","Kusko"
"2021_kk_051",51,NA,NA,1318.03667332848,655.641043033421,"21-06-12",163,"2021","Kusko"
"2021_kk_052",52,NA,NA,2289.38461559288,1579.25863563127,"21-06-12",163,"2021","Kusko"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021_kk_053",53,0.707777924591122,0.000922632209490014,329.914212623751,621.531875660107,"21-06-11",162,"2021","Kusko"
"2021_kk_054",54,0.708522359826769,0.00113862148755103,271.684682322293,598.758189931172,"21-06-11",162,"2021","Kusko"
"2021_kk_055_R1",55,0.709161939096827,0.00106152489055001,373.637114396535,527.032995092339,"21-06-11",162,"2021","Kusko"
"2021_kk_057",57,0.707666992512828,0.00076018634367892,664.535640180295,833.649136424858,"21-06-13",164,"2021","Kusko"
"2021_kk_058",58,0.709191463570272,0.0011344032150545,297.753882918384,581.144916467961,"21-06-13",164,"2021","Kusko"
"2021_kk_059",59,NA,NA,1521.79418789524,864.932909595393,"21-06-13",164,"2021","Kusko"
"2021_kk_061",61,0.706953620500488,0.00162521617668162,517.902430516835,757.609387007092,"21-06-12",163,"2021","Kusko"
"2021_kk_062_R1",62,0.709185004531085,0.00069643362938238,397.294101055267,722.878471741433,"21-06-12",163,"2021","Kusko"
"2021_kk_065_R1",65,0.70908464704049,0.000858751847507305,392.882325089533,724.055783542348,"21-06-13",164,"2021","Kusko"
"2021_kk_065",65,0.709079695315498,0.000945788726054658,252.576477397617,605.655387502321,"21-06-13",164,"2021","Kusko"
"2021_kk_067_R1",67,NA,NA,939.322778865994,635.024773432511,"21-06-13",164,"2021","Kusko"
"2021_kk_067",67,0.709084117755076,0.00103967052439177,259.931160306429,515.937276261596,"21-06-13",164,"2021","Kusko"
"2021_kk_068",68,0.709214113305406,0.00116248805340902,360.167578016209,518.567495999971,"21-06-13",164,"2021","Kusko"
"2021_kk_070",70,0.709154552681358,0.0012082087040232,242.119692471201,434.559443848637,"21-06-14",165,"2021","Kusko"
"2021_kk_071",71,0.705824457903131,0.000950961324972455,627.59468497324,896.146869810161,"21-06-14",165,"2021","Kusko"
"2021_kk_072",72,0.705521259523431,0.000890530996130508,960.703211669183,1191.45933888688,"21-06-14",165,"2021","Kusko"
"2021_kk_074",74,0.708378785969217,0.00192772825187973,462.751598250467,663.919584536895,"21-06-14",165,"2021","Kusko"
"2021_kk_075",75,NA,NA,880.315864777048,642.493501974292,"21-06-14",165,"2021","Kusko"
"2021_kk_077",77,0.708006999675296,0.00119189766573188,1048.81769633533,1346.50241387626,"21-06-14",165,"2021","Kusko"
"2021_kk_081",81,0.710965883033396,0.0014476288492554,502.732247095374,599.935663482466,"21-06-15",166,"2021","Kusko"
"2021_kk_082",82,0.707170306396466,0.00117182441293469,639.140500013441,844.020767174241,"21-06-15",166,"2021","Kusko"
"2021_kk_083_R1",83,0.710152491157073,0.000930678240500912,1184.75443013246,1397.88470386364,"21-06-15",166,"2021","Kusko"
"2021_kk_083",83,0.710114758609154,0.00121589972413549,275.356028154851,576.594340700342,"21-06-15",166,"2021","Kusko"
"2021_kk_085",85,0.709708375889893,0.00158207753309732,549.219529984896,868.358410144946,"21-06-16",167,"2021","Kusko"
"2021_kk_086",86,0.709130624320166,0.00117763509998956,248.924251527432,516.557460944472,"21-06-16",167,"2021","Kusko"
"2021_kk_087",87,0.706531907444911,0.00134627003685016,410.330240228508,672.340470673663,"21-06-16",167,"2021","Kusko"
"2021_kk_088",88,0.706692189311994,0.000923802556876412,273.581524865673,540.140434840281,"21-06-16",167,"2021","Kusko"
"2021_kk_089_R1",89,0.709003778798796,0.0012771131520858,254.595970692445,497.740666474178,"21-06-16",167,"2021","Kusko"
"2021_kk_089",89,0.709225733034221,0.000533984534254471,1168.96126999585,1512.57233879449,"21-06-16",167,"2021","Kusko"
"2021_kk_093",93,0.706526799037377,0.00130527098687698,715.492776341403,892.177670249529,"21-06-18",169,"2021","Kusko"
"2021_kk_094",94,0.710109837601474,0.00177636653095345,595.875692612017,842.066539271177,"21-06-18",169,"2021","Kusko"
"2021_kk_096",96,0.707705460135859,0.00166585869832076,617.64756623142,840.291244317764,"21-06-18",169,"2021","Kusko"
"2021_kk_097_R1",97,0.709947509739553,0.00189348839012,516.129018381944,727.070996713924,"21-06-18",169,"2021","Kusko"
"2021_kk_097",97,0.709879484853795,0.00137945586064441,332.253937928725,561.585799630674,"21-06-18",169,"2021","Kusko"
"2021_kk_099",99,0.709455275183695,0.000829822982189546,298.843220985289,528.020849595255,"21-06-18",169,"2021","Kusko"
"2021_kk_100",100,NA,NA,1244.27852830965,1028.21447511549,"21-06-18",169,"2021","Kusko"
"2021_kk_101",101,0.708643873386383,0.00105150650086705,926.05375887746,1086.92625429481,"21-06-17",168,"2021","Kusko"
"2021_kk_102",102,NA,NA,451.781168692424,333.871929093789,"21-06-19",170,"2021","Kusko"
"2021_kk_102a",102,0.709935379658796,0.0011359115219848,419.236717671987,581.563590515135,"21-06-19",170,"2021","Kusko"
"2021_kk_104",104,0.707232072888215,0.000874683305847227,701.98876928503,925.808348071873,"21-06-19",170,"2021","Kusko"
"2021_kk_106",106,0.708207923681716,0.00117274172485826,670.917929622645,818.234210112349,"21-06-19",170,"2021","Kusko"
"2021_kk_107",107,0.708476065619422,0.00126248901456453,747.85326305518,915.682272045959,"21-06-19",170,"2021","Kusko"
"2021_kk_108",108,0.705894044568579,0.000753227179200299,796.460522263404,987.352688443176,"21-06-19",170,"2021","Kusko"
"2021_kk_110_r1",110,0.708872040905169,0.00181964308508596,596.297948079218,728.89383487841,"21-06-19",170,"2021","Kusko"
"2021_kk_110",110,0.708823382061705,0.00116301589799199,766.353849817564,959.76309337933,"21-06-19",170,"2021","Kusko"
"2021_kk_111",111,0.70585722738319,0.00111974336104681,579.220078983232,736.63533194222,"21-06-20",171,"2021","Kusko"
"2021_kk_112",112,0.709261628549874,0.000847981020780761,262.862255353173,550.080067392972,"21-06-19",170,"2021","Kusko"
"2021_kk_113",113,0.707838370159375,0.00106566270926628,641.206809212949,941.418789865149,"21-06-20",171,"2021","Kusko"
"2021_kk_114",114,0.705343406845976,0.00103114546372263,617.465859052519,794.632983233337,"21-06-20",171,"2021","Kusko"
"2021_kk_115",115,0.705644332065533,0.00108486275474523,735.945861280368,919.300721376815,"21-06-20",171,"2021","Kusko"
"2021_kk_116",116,0.707081014159534,0.000897552746119897,757.614653475196,895.934870035587,"21-06-19",170,"2021","Kusko"
"2021_kk_118_r1",118,NA,NA,1138.22811896741,822.301110943565,"21-06-20",171,"2021","Kusko"
"2021_kk_118",118,0.707137798560789,0.00072266226232605,679.732294706067,798.041594128569,"21-06-20",171,"2021","Kusko"
"2021_kk_119",119,NA,NA,NA,NA,"21-06-20",171,"2021","Kusko"
"2021_kk_120",120,0.707679982192858,0.00109365523971986,1512.61653757358,1654.76036001999,"21-06-20",171,"2021","Kusko"
"2021_kk_121",121,0.70584873608791,0.000765993872780798,502.838622743436,636.643527778215,"21-06-21",172,"2021","Kusko"
"2021_kk_122",122,0.706635114915091,0.00107541560096436,635.483655794663,768.263397790331,"21-06-21",172,"2021","Kusko"
"2021_kk_124",124,0.705473007188795,0.000891685691935512,561.819451357593,703.973197932586,"21-06-21",172,"2021","Kusko"
"2021_kk_125",125,0.709422490344296,0.00118645552773426,391.620746567266,788.713105707153,"21-06-21",172,"2021","Kusko"
"2021_kk_128",128,0.70548189654372,0.000990495934183734,586.441463506771,845.31938738952,"21-06-20",171,"2021","Kusko"
"2021_kk_129",129,0.708715407047887,0.00110096169825293,775.554914135652,988.748706742526,"21-06-21",172,"2021","Kusko"
"2021_kk_131",131,0.705581567520922,0.000932912701837615,761.038085213345,1018.83775224737,"21-06-22",173,"2021","Kusko"
"2021_kk_134_r1",134,0.706872607241354,0.00103897693723543,577.935912707546,710.024683771965,"21-06-22",173,"2021","Kusko"
"2021_kk_136_R1",136,0.707077217025293,0.00161997268433059,331.588030322938,609.296512299277,"21-06-21",172,"2021","Kusko"
"2021_kk_138",138,0.709118773292524,0.0019032544701907,507.664341688737,647.92528476711,"21-06-23",174,"2021","Kusko"
"2021_kk_139",139,0.708294542678863,0.0016544919330528,622.640301635838,851.061971022169,"21-06-23",174,"2021","Kusko"
"2021_kk_141",141,0.709295641878838,0.00106314612969429,328.975437998789,492.568113126763,"21-06-23",174,"2021","Kusko"
"2021_kk_142",142,0.708074759020706,0.00214976523932123,667.866691210325,874.138785400402,"21-06-23",174,"2021","Kusko"
"2021_kk_144_R1",144,0.710398493090303,0.00145426541364724,515.871516843527,752.6400741138,"21-06-23",174,"2021","Kusko"
"2021_kk_144",144,0.710309016789904,0.00170886184898737,463.882254176808,754.850485133068,"21-06-23",174,"2021","Kusko"
"2021_kk_147_R1",147,0.707270521364742,0.00138310871152306,981.888089340037,1105.34921374658,"21-06-23",174,"2021","Kusko"
"2021_kk_147",147,0.707662491761396,0.00141043578805999,843.832743371904,1086.12875639773,"21-06-23",174,"2021","Kusko"
"2021_kk_148",148,0.709218532100384,0.00135749862184005,190.095211734605,507.241418157347,"21-06-22",173,"2021","Kusko"
"2021_kk_152_R1",152,0.705932360689404,0.0012902963882311,463.96822479733,698.058725635219,"21-06-23",174,"2021","Kusko"
"2021_kk_152",152,0.705927864343123,0.0011694010433165,628.732962368711,826.058490820993,"21-06-23",174,"2021","Kusko"
"2021_kk_153",153,0.70577147262863,0.00100888392595679,578.326301180597,719.69095429895,"21-06-23",174,"2021","Kusko"
"2021_kk_155",155,0.709064601288336,0.00146947467800548,838.76270349192,1057.73584549602,"21-06-24",175,"2021","Kusko"
"2021_kk_156_r1",156,0.705772053181474,0.00109360352684264,1068.42833125313,1186.0030392196,"21-06-24",175,"2021","Kusko"
"2021_kk_157",157,0.709391736952878,0.00196161656720027,395.617513403403,574.574298048451,"21-06-23",174,"2021","Kusko"
"2021_kk_158",158,0.708229768684331,0.00130112788541112,648.934860164289,798.142213133233,"21-06-23",174,"2021","Kusko"
"2021_kk_160",160,0.709242052617544,0.00198800658657223,629.848710450576,905.737264205407,"21-06-23",174,"2021","Kusko"
"2021_kk_161",161,0.707062598377116,0.00118077501119909,597.884121258668,767.520245602759,"21-06-24",175,"2021","Kusko"
"2021_kk_163",163,0.709576319047713,0.00194014009363319,914.911473965622,1039.34081038287,"21-06-25",176,"2021","Kusko"
"2021_kk_164",164,0.705162508315324,0.00120429542907861,249.21677886358,475.118487694275,"21-06-24",175,"2021","Kusko"
"2021_kk_166",166,0.707910500065787,0.00144869978239639,677.580843491025,971.881021303564,"21-06-25",176,"2021","Kusko"
"2021_kk_169",169,0.70802569339225,0.0011363829931037,664.955329711688,954.32388353568,"21-06-25",176,"2021","Kusko"
"2021_kk_171",171,0.709561389676749,0.00168600666274341,788.068873371704,1105.78914860982,"21-06-25",176,"2021","Kusko"
