"Cycle","Sr88","Iso","Time","Microns","Fish_id","Watershed","Year","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
18,0.331698195628245,0.708172162843071,9.432,18.864,"2015_nk_266_redo","Nush",2015,NA,NA,NA,343.160167716927,517.102796136404,958.92,0.704866844167195
19,0.628267832683238,0.707511034276726,9.956,19.912,"2015_nk_266_redo","Nush",2015,NA,NA,NA,343.160167716927,517.102796136404,958.92,0.704866844167195
20,0.827618553473571,0.706769461192956,10.48,20.96,"2015_nk_266_redo","Nush",2015,NA,NA,NA,343.160167716927,517.102796136404,958.92,0.704866844167195
21,0.878604458749682,0.707193305639565,11.004,22.008,"2015_nk_266_redo","Nush",2015,NA,NA,NA,343.160167716927,517.102796136404,958.92,0.704866844167195
22,0.931759070545803,0.707860583358626,11.528,23.056,"2015_nk_266_redo","Nush",2015,NA,NA,NA,343.160167716927,517.102796136404,958.92,0.704866844167195
23,0.95209713236524,0.707758139988748,12.052,24.104,"2015_nk_266_redo","Nush",2015,NA,NA,NA,343.160167716927,517.102796136404,958.92,0.704866844167195
24,0.939534935383804,0.70827977247925,12.576,25.152,"2015_nk_266_redo","Nush",2015,NA,NA,NA,343.160167716927,517.102796136404,958.92,0.704866844167195
25,0.906385717265198,0.708340895043805,13.1,26.2,"2015_nk_266_redo","Nush",2015,NA,NA,NA,343.160167716927,517.102796136404,958.92,0.704866844167195
26,0.855370579270951,0.706909842146368,13.624,27.248,"2015_nk_266_redo","Nush",2015,NA,NA,NA,343.160167716927,517.102796136404,958.92,0.704866844167195
27,0.842221229333658,0.70541269401288,14.148,28.296,"2015_nk_266_redo","Nush",2015,NA,NA,NA,343.160167716927,517.102796136404,958.92,0.704866844167195
28,0.845490542796039,0.706640902720559,14.672,29.344,"2015_nk_266_redo","Nush",2015,NA,NA,NA,343.160167716927,517.102796136404,958.92,0.704866844167195
29,0.82103588347003,0.708099666756204,15.196,30.392,"2015_nk_266_redo","Nush",2015,NA,NA,NA,343.160167716927,517.102796136404,958.92,0.704866844167195
