"Cycle","Sr88","Iso","Time","Microns","Fish_id","Watershed","Year","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
398,0.98512203539657,0.70893398892634,208.552,417.104,"2015_nk_151_redo_1","Nush",2015,0.708777787340131,0.972113133979068,0.000347431632827133,291.950431234268,512.743668439043,1125.552,0.708751674069174
399,1.02236313960447,0.708509463596862,209.076,418.152,"2015_nk_151_redo_1","Nush",2015,0.708778176734481,0.972545862166838,0.000432728187769627,291.950431234268,512.743668439043,1125.552,0.708751674069174
400,0.977492024707392,0.706796886319525,209.6,419.2,"2015_nk_151_redo_1","Nush",2015,0.708766888530677,0.973108232067865,0.000562369901027093,291.950431234268,512.743668439043,1125.552,0.708751674069174
401,0.964252850590515,0.708349881058075,210.124,420.248,"2015_nk_151_redo_1","Nush",2015,0.708763215039367,0.973714290648634,0.000606058580769342,291.950431234268,512.743668439043,1125.552,0.708751674069174
402,0.960829419368547,0.708593252029394,210.648,421.296,"2015_nk_151_redo_1","Nush",2015,0.708757115423033,0.97384619480984,0.000131904161205898,291.950431234268,512.743668439043,1125.552,0.708751674069174
403,0.965543640722298,0.709580393014609,211.172,422.344,"2015_nk_151_redo_1","Nush",2015,0.708758010134452,0.97524133512561,0.00139514031577004,291.950431234268,512.743668439043,1125.552,0.708751674069174
404,0.947538658553991,0.708336447220027,211.696,423.392,"2015_nk_151_redo_1","Nush",2015,0.70876712490128,0.976174298223667,0.000932963098057349,291.950431234268,512.743668439043,1125.552,0.708751674069174
405,0.99810024407105,0.708569884714742,212.22,424.44,"2015_nk_151_redo_1","Nush",2015,0.708758457035969,0.977163817496736,0.000989519273068562,291.950431234268,512.743668439043,1125.552,0.708751674069174
406,1.01585022411431,0.709428616395117,212.744,425.488,"2015_nk_151_redo_1","Nush",2015,0.708756299811759,0.97815701006652,0.000993192569784251,291.950431234268,512.743668439043,1125.552,0.708751674069174
407,0.984112666342093,0.709015456428369,213.268,426.536,"2015_nk_151_redo_1","Nush",2015,0.708764315318572,0.979561648853452,0.0014046387869322,291.950431234268,512.743668439043,1125.552,0.708751674069174
