"Cycle","Sr88","Iso","Time","Microns","Fish_id","Watershed","Year","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
33,0.64163784972001,0.706532706324424,17.292,34.584,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
34,1.62638771313524,0.70855636315286,17.816,35.632,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
35,2.20170530315861,0.707268030747259,18.34,36.68,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
36,2.51473402477185,0.707873959748043,18.864,37.728,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
37,2.57184686140195,0.707857854653619,19.388,38.776,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
38,2.61077219965723,0.707409192786072,19.912,39.824,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
39,2.8601378437473,0.707587964918372,20.436,40.872,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
40,2.78220607166744,0.708057548679132,20.96,41.92,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
41,2.7198844165117,0.707583286030372,21.484,42.968,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
42,2.66842266807052,0.708090479664207,22.008,44.016,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
43,2.6866679226845,0.707101773983717,22.532,45.064,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
44,2.67869349435413,0.707375607566518,23.056,46.112,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
45,2.6593000923378,0.707850096782979,23.58,47.16,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
46,2.69298430512313,0.707138345990242,24.104,48.208,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
47,2.72127662632733,0.707838176652219,24.628,49.256,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
48,2.67361348934345,0.707374679418756,25.152,50.304,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
49,2.68641499317417,0.707994259269827,25.676,51.352,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
50,2.74324582860534,0.707585284948111,26.2,52.4,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
51,2.74786640154183,0.707687292670216,26.724,53.448,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
52,2.73167607491375,0.708268070162398,27.248,54.496,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
53,2.68909306724932,0.707943485684195,27.772,55.544,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
54,2.6696585603521,0.707410477671097,28.296,56.592,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
55,2.71533809893046,0.707822045017613,28.82,57.64,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
56,2.82447379992492,0.708048915291188,29.344,58.688,"2015_nk_195","Nush",2015,NA,NA,NA,460.08561250431,589.433837965515,1053.24,0.705557288915279
