"Cycle","Time","Iso","Sr88","Microns","Fish_id","Watershed","Year","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
82,42.968,0.712144189359863,0.223058203148534,85.936,"2019_kk_031_sld25","Kusko",2019,NA,NA,NA,917.0035133,1101.284022,2061.416,0.709108314
83,43.492,0.708805523897486,0.451663532235574,86.984,"2019_kk_031_sld25","Kusko",2019,NA,NA,NA,917.0035133,1101.284022,2061.416,0.709108314
84,44.016,0.707915501244975,0.680734952604377,88.032,"2019_kk_031_sld25","Kusko",2019,NA,NA,NA,917.0035133,1101.284022,2061.416,0.709108314
85,44.54,0.710717019667339,0.861214863853221,89.08,"2019_kk_031_sld25","Kusko",2019,NA,NA,NA,917.0035133,1101.284022,2061.416,0.709108314
86,45.064,0.708460088871559,0.984780209792857,90.128,"2019_kk_031_sld25","Kusko",2019,NA,NA,NA,917.0035133,1101.284022,2061.416,0.709108314
87,45.588,0.707985992804873,1.04925518501782,91.176,"2019_kk_031_sld25","Kusko",2019,NA,NA,NA,917.0035133,1101.284022,2061.416,0.709108314
88,46.112,0.70886105323407,1.0733261415815,92.224,"2019_kk_031_sld25","Kusko",2019,NA,NA,NA,917.0035133,1101.284022,2061.416,0.709108314
89,46.636,0.709403856905513,1.06921592457574,93.272,"2019_kk_031_sld25","Kusko",2019,NA,NA,NA,917.0035133,1101.284022,2061.416,0.709108314
90,47.16,0.709437380325213,1.12636669443735,94.32,"2019_kk_031_sld25","Kusko",2019,NA,NA,NA,917.0035133,1101.284022,2061.416,0.709108314
91,47.684,0.708458513528084,1.20955114083422,95.368,"2019_kk_031_sld25","Kusko",2019,NA,NA,NA,917.0035133,1101.284022,2061.416,0.709108314
92,48.208,0.709621207994954,1.30561570540781,96.416,"2019_kk_031_sld25","Kusko",2019,NA,NA,NA,917.0035133,1101.284022,2061.416,0.709108314
