"Cycle","time","Iso","Sr88","Time","Microns","Fish_id","Watershed","Year","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
1,0.524,0.706948,2.625121,0.524,1.048,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
2,1.048,0.706494,2.567405,1.048,2.096,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
3,1.572,0.706276,2.634483,1.572,3.144,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
4,2.096,0.706184,2.602882,2.096,4.192,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
5,2.62,0.706593,2.64669,2.62,5.24,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
6,3.144,0.707358,2.578233,3.144,6.288,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
7,3.668,0.706459,2.608245,3.668,7.336,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
8,4.192,0.706684,2.57203,4.192,8.384,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
9,4.716,0.706313,2.637711,4.716,9.432,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
10,5.24,0.706218,2.537678,5.24,10.48,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
11,5.764,0.706873,2.581419,5.764,11.528,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
12,6.288,0.706522,2.628479,6.288,12.576,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
13,6.812,0.706692,2.622174,6.812,13.624,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
14,7.336,0.706461,2.566037,7.336,14.672,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
15,7.86,0.706943,2.589825,7.86,15.72,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
16,8.384,0.706256,2.63637,8.384,16.768,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
17,8.908,0.706849,2.667215,8.908,17.816,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
18,9.432,0.706374,2.650662,9.432,18.864,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
19,9.956,0.706743,2.713746,9.956,19.912,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
20,10.48,0.706392,2.566022,10.48,20.96,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
21,11.004,0.706472,2.643922,11.004,22.008,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
22,11.528,0.706103,2.638925,11.528,23.056,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
23,12.052,0.707244,2.706799,12.052,24.104,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
24,12.576,0.706935,2.675163,12.576,25.152,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
25,13.1,0.706171,2.603163,13.1,26.2,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
26,13.624,0.706634,2.702288,13.624,27.248,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
27,14.148,0.706505,2.661535,14.148,28.296,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
28,14.672,0.706252,2.70712,14.672,29.344,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
29,15.196,0.706634,2.719791,15.196,30.392,"2011_nk_103","Nush",2011,NA,NA,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
30,15.72,0.706647,2.692911,15.72,31.44,"2011_nk_103","Nush",2011,0.706529683333333,2.66442726666667,NA,764.204863135659,815.997025604059,1457.768,0.706536959183673
31,16.244,0.707134,2.628191,16.244,32.488,"2011_nk_103","Nush",2011,0.706526083333333,2.665209,0.000781733333333534,764.204863135659,815.997025604059,1457.768,0.706536959183673
32,16.768,0.706458,2.660976,16.768,33.536,"2011_nk_103","Nush",2011,0.706526366666667,2.66791385,0.0027048500000002,764.204863135659,815.997025604059,1457.768,0.706536959183673
33,17.292,0.706365,2.719769,17.292,34.584,"2011_nk_103","Nush",2011,0.70653195,2.6689009,0.000987049999999989,764.204863135659,815.997025604059,1457.768,0.706536959183673
34,17.816,0.706272,2.771242,17.816,35.632,"2011_nk_103","Nush",2011,0.706537883333333,2.67048173333333,0.00158083333333359,764.204863135659,815.997025604059,1457.768,0.706536959183673
35,18.34,0.706606,2.687114,18.34,36.68,"2011_nk_103","Nush",2011,0.70655005,2.67068223333333,0.000200500000000048,764.204863135659,815.997025604059,1457.768,0.706536959183673
36,18.864,0.706636,2.646262,18.864,37.728,"2011_nk_103","Nush",2011,0.70653275,2.67200813333333,0.00132590000000032,764.204863135659,815.997025604059,1457.768,0.706536959183673
37,19.388,0.7071,2.660677,19.388,38.776,"2011_nk_103","Nush",2011,0.706528216666667,2.67286221666667,0.000854083333333033,764.204863135659,815.997025604059,1457.768,0.706536959183673
38,19.912,0.706519,2.750744,19.912,39.824,"2011_nk_103","Nush",2011,0.706523116666666,2.67534136666667,0.0024791500000001,764.204863135659,815.997025604059,1457.768,0.706536959183673
39,20.436,0.707101,2.714353,20.436,40.872,"2011_nk_103","Nush",2011,0.70653355,2.67497405,-0.000367316666666895,764.204863135659,815.997025604059,1457.768,0.706536959183673
40,20.96,0.706305,2.677722,20.96,41.92,"2011_nk_103","Nush",2011,0.706541833333333,2.67666381666667,0.00168976666666687,764.204863135659,815.997025604059,1457.768,0.706536959183673
41,21.484,0.706756,2.686183,21.484,42.968,"2011_nk_103","Nush",2011,0.7065312,2.67776851666667,0.00110469999999996,764.204863135659,815.997025604059,1457.768,0.706536959183673
42,22.008,0.706624,2.700004,22.008,44.016,"2011_nk_103","Nush",2011,0.70653405,2.67813816666667,0.000369649999999666,764.204863135659,815.997025604059,1457.768,0.706536959183673
43,22.532,0.706515,2.663409,22.532,45.064,"2011_nk_103","Nush",2011,0.706524883333333,2.67865825,0.000520083333333421,764.204863135659,815.997025604059,1457.768,0.706536959183673
44,23.056,0.70643,2.754364,23.056,46.112,"2011_nk_103","Nush",2011,0.706530216666666,2.67983176666667,0.00117351666666687,764.204863135659,815.997025604059,1457.768,0.706536959183673
45,23.58,0.706623,2.710627,23.58,47.16,"2011_nk_103","Nush",2011,0.706528133333333,2.6805897,0.000757933333333405,764.204863135659,815.997025604059,1457.768,0.706536959183673
46,24.104,0.706407,2.692196,24.104,48.208,"2011_nk_103","Nush",2011,0.7065371,2.67961351666667,-0.000976183333333491,764.204863135659,815.997025604059,1457.768,0.706536959183673
47,24.628,0.706036,2.670565,24.628,49.256,"2011_nk_103","Nush",2011,0.706527233333333,2.67852871666667,-0.00108479999999966,764.204863135659,815.997025604059,1457.768,0.706536959183673
48,25.152,0.706553,2.710628,25.152,50.304,"2011_nk_103","Nush",2011,0.706529033333333,2.67759148333333,-0.000937233333333509,764.204863135659,815.997025604059,1457.768,0.706536959183673
49,25.676,0.706445,2.728862,25.676,51.352,"2011_nk_103","Nush",2011,0.706520566666667,2.67514323333333,-0.00244825000000004,764.204863135659,815.997025604059,1457.768,0.706536959183673
50,26.2,0.706793,2.75012,26.2,52.4,"2011_nk_103","Nush",2011,0.706513866666666,2.67565951666667,0.000516283333333423,764.204863135659,815.997025604059,1457.768,0.706536959183673
51,26.724,0.706485,2.668693,26.724,53.448,"2011_nk_103","Nush",2011,0.706515133333333,2.6740061,-0.00165341666666663,764.204863135659,815.997025604059,1457.768,0.706536959183673
52,27.248,0.705977,2.713058,27.248,54.496,"2011_nk_103","Nush",2011,0.706526966666666,2.67203338333333,-0.00197271666666632,764.204863135659,815.997025604059,1457.768,0.706536959183673
53,27.772,0.706434,2.655057,27.772,55.544,"2011_nk_103","Nush",2011,0.706507533333333,2.6698931,-0.00214028333333394,764.204863135659,815.997025604059,1457.768,0.706536959183673
54,28.296,0.706624,2.705607,28.296,56.592,"2011_nk_103","Nush",2011,0.70650185,2.66766553333333,-0.00222756666666646,764.204863135659,815.997025604059,1457.768,0.706536959183673
55,28.82,0.706019,2.662366,28.82,57.64,"2011_nk_103","Nush",2011,0.706507716666666,2.66626676666667,-0.00139876666666661,764.204863135659,815.997025604059,1457.768,0.706536959183673
56,29.344,0.705806,2.743002,29.344,58.688,"2011_nk_103","Nush",2011,0.706500233333333,2.6627168,-0.00354996666666674,764.204863135659,815.997025604059,1457.768,0.706536959183673
57,29.868,0.706494,2.685704,29.868,59.736,"2011_nk_103","Nush",2011,0.706503016666666,2.65950218333333,-0.00321461666666689,764.204863135659,815.997025604059,1457.768,0.706536959183673
58,30.392,0.705859,2.700289,30.392,60.784,"2011_nk_103","Nush",2011,0.706501033333333,2.65561556666667,-0.00388661666666623,764.204863135659,815.997025604059,1457.768,0.706536959183673
59,30.916,0.706688,2.649704,30.916,61.832,"2011_nk_103","Nush",2011,0.7065018,2.6513544,-0.00426116666666676,764.204863135659,815.997025604059,1457.768,0.706536959183673
60,31.44,0.706488,2.714104,31.44,62.88,"2011_nk_103","Nush",2011,0.7065101,2.64748755,-0.00386685000000009,764.204863135659,815.997025604059,1457.768,0.706536959183673
61,31.964,0.706732,2.672025,31.964,63.928,"2011_nk_103","Nush",2011,0.706506466666666,2.6438245,-0.00366305000000011,764.204863135659,815.997025604059,1457.768,0.706536959183673
62,32.488,0.706511,2.729696,32.488,64.976,"2011_nk_103","Nush",2011,0.706505066666666,2.64045995,-0.00336455000000013,764.204863135659,815.997025604059,1457.768,0.706536959183673
63,33.012,0.706611,2.693706,33.012,66.024,"2011_nk_103","Nush",2011,0.70651205,2.63513335,-0.00532660000000007,764.204863135659,815.997025604059,1457.768,0.706536959183673
64,33.536,0.70654,2.697732,33.536,67.072,"2011_nk_103","Nush",2011,0.706518166666666,2.62949546666667,-0.00563788333333282,764.204863135659,815.997025604059,1457.768,0.706536959183673
65,34.06,0.707323,2.65872,34.06,68.12,"2011_nk_103","Nush",2011,0.706511783333333,2.62450745,-0.00498801666666715,764.204863135659,815.997025604059,1457.768,0.706536959183673
66,34.584,0.70632,2.657787,34.584,69.168,"2011_nk_103","Nush",2011,0.7065168,2.61928936666667,-0.00521808333333329,764.204863135659,815.997025604059,1457.768,0.706536959183673
67,35.108,0.706187,2.65949,35.108,70.216,"2011_nk_103","Nush",2011,0.7065101,2.61477658333333,-0.00451278333333338,764.204863135659,815.997025604059,1457.768,0.706536959183673
68,35.632,0.706378,2.720779,35.632,71.264,"2011_nk_103","Nush",2011,0.706506466666666,2.60848278333333,-0.0062937999999999,764.204863135659,815.997025604059,1457.768,0.706536959183673
69,36.156,0.706939,2.615672,36.156,72.312,"2011_nk_103","Nush",2011,0.706492383333333,2.60296891666667,-0.00551386666666609,764.204863135659,815.997025604059,1457.768,0.706536959183673
70,36.68,0.706715,2.639064,36.68,73.36,"2011_nk_103","Nush",2011,0.706502133333333,2.5972389,-0.00573001666666695,764.204863135659,815.997025604059,1457.768,0.706536959183673
71,37.204,0.706235,2.647701,37.204,74.408,"2011_nk_103","Nush",2011,0.706497566666667,2.59085978333333,-0.00637911666666646,764.204863135659,815.997025604059,1457.768,0.706536959183673
72,37.728,0.706693,2.650658,37.728,75.456,"2011_nk_103","Nush",2011,0.706496333333333,2.58435228333333,-0.00650750000000011,764.204863135659,815.997025604059,1457.768,0.706536959183673
