"Cycle","Time","Iso","Sr88","Fish_id","Watershed","Year","Microns","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
428,224.272,0.712010574770001,0.825419015857086,"2015_yk_316","Yukon",2015,448.544,0.712838520456483,0.8433664014521,-0.00129463833671661,685.800211428584,764.825273656379,1446.24,0.716207596771908
429,224.796,0.712121999394796,0.826007182221273,"2015_yk_316","Yukon",2015,449.592,0.712830114380078,0.841835511941126,-0.0015308895109738,685.800211428584,764.825273656379,1446.24,0.716207596771908
430,225.32,0.712811993691311,0.859026811642052,"2015_yk_316","Yukon",2015,450.64,0.712780571495156,0.84056731196922,-0.00126819997190597,685.800211428584,764.825273656379,1446.24,0.716207596771908
431,225.844,0.711214593584971,0.814872002014606,"2015_yk_316","Yukon",2015,451.688,0.712778799164084,0.839421139983715,-0.00114617198550426,685.800211428584,764.825273656379,1446.24,0.716207596771908
432,226.368,0.71090485808665,0.811277537518728,"2015_yk_316","Yukon",2015,452.736,0.712806332841004,0.837939082272076,-0.00148205771163912,685.800211428584,764.825273656379,1446.24,0.716207596771908
433,226.892,0.713358718548092,0.831458131015976,"2015_yk_316","Yukon",2015,453.784,0.712816406779503,0.836142152301704,-0.0017969299703724,685.800211428584,764.825273656379,1446.24,0.716207596771908
434,227.416,0.713809057064675,0.825983047483254,"2015_yk_316","Yukon",2015,454.832,0.71286234337583,0.834530150407128,-0.00161200189457589,685.800211428584,764.825273656379,1446.24,0.716207596771908
435,227.94,0.712667664999974,0.813465063277038,"2015_yk_316","Yukon",2015,455.88,0.712859308781205,0.832784114793783,-0.00174603561334474,685.800211428584,764.825273656379,1446.24,0.716207596771908
436,228.464,0.711607980280711,0.814281101060716,"2015_yk_316","Yukon",2015,456.928,0.712852301567465,0.830606523471914,-0.00217759132186923,685.800211428584,764.825273656379,1446.24,0.716207596771908
437,228.988,0.711163697669519,0.813494458252495,"2015_yk_316","Yukon",2015,457.976,0.712839725939847,0.829251206522427,-0.00135531694948698,685.800211428584,764.825273656379,1446.24,0.716207596771908
438,229.512,0.71316871844325,0.816743495497339,"2015_yk_316","Yukon",2015,459.024,0.712839623156655,0.827852799589285,-0.00139840693314164,685.800211428584,764.825273656379,1446.24,0.716207596771908
439,230.036,0.712840639199281,0.808052342969272,"2015_yk_316","Yukon",2015,460.072,0.712844811898412,0.826172271733568,-0.00168052785571782,685.800211428584,764.825273656379,1446.24,0.716207596771908
440,230.56,0.712898919314345,0.802163113708176,"2015_yk_316","Yukon",2015,461.12,0.712848545679076,0.824318685957642,-0.00185358577592543,685.800211428584,764.825273656379,1446.24,0.716207596771908
441,231.084,0.711672477079581,0.801021768769684,"2015_yk_316","Yukon",2015,462.168,0.712826639549004,0.822775929225024,-0.00154275673261794,685.800211428584,764.825273656379,1446.24,0.716207596771908
442,231.608,0.713815289822109,0.80142971231832,"2015_yk_316","Yukon",2015,463.216,0.712828681717872,0.820999530188693,-0.00177639903633142,685.800211428584,764.825273656379,1446.24,0.716207596771908
443,232.132,0.712446757340766,0.802818352236084,"2015_yk_316","Yukon",2015,464.264,0.712828305989346,0.818727074512452,-0.0022724556762409,685.800211428584,764.825273656379,1446.24,0.716207596771908
444,232.656,0.712906143474259,0.811306219589444,"2015_yk_316","Yukon",2015,465.312,0.712791643465484,0.817015132006434,-0.00171194250601814,685.800211428584,764.825273656379,1446.24,0.716207596771908
445,233.18,0.712178795792826,0.800376351240236,"2015_yk_316","Yukon",2015,466.36,0.7127935505611,0.815494997843651,-0.00152013416278263,685.800211428584,764.825273656379,1446.24,0.716207596771908
446,233.704,0.713616336300139,0.804422434350491,"2015_yk_316","Yukon",2015,467.408,0.712776533126252,0.814007013231683,-0.00148798461196809,685.800211428584,764.825273656379,1446.24,0.716207596771908
447,234.228,0.71318336874161,0.814886360335019,"2015_yk_316","Yukon",2015,468.456,0.7127971895246,0.812785892066252,-0.00122112116543083,685.800211428584,764.825273656379,1446.24,0.716207596771908
448,234.752,0.713458899092734,0.817012345592088,"2015_yk_316","Yukon",2015,469.504,0.712778776471887,0.811842583547452,-0.000943308518800201,685.800211428584,764.825273656379,1446.24,0.716207596771908
449,235.276,0.71169137561439,0.800849251525336,"2015_yk_316","Yukon",2015,470.552,0.712762821785228,0.811166126765124,-0.000676456782327639,685.800211428584,764.825273656379,1446.24,0.716207596771908
450,235.8,0.712472814117619,0.79272065556842,"2015_yk_316","Yukon",2015,471.6,0.712760974123404,0.810248303337132,-0.000917823427992293,685.800211428584,764.825273656379,1446.24,0.716207596771908
451,236.324,0.713212947821883,0.814848962226372,"2015_yk_316","Yukon",2015,472.648,0.712775095145231,0.809427771187077,-0.000820532150055064,685.800211428584,764.825273656379,1446.24,0.716207596771908
452,236.848,0.711898554512176,0.788275449058151,"2015_yk_316","Yukon",2015,473.696,0.712746694598041,0.808809762823967,-0.00061800836310999,685.800211428584,764.825273656379,1446.24,0.716207596771908
453,237.372,0.712897252267382,0.790424638566433,"2015_yk_316","Yukon",2015,474.744,0.712725550281536,0.807886762892713,-0.000922999931254331,685.800211428584,764.825273656379,1446.24,0.716207596771908
454,237.896,0.712901423672645,0.799139194677604,"2015_yk_316","Yukon",2015,475.792,0.712716859239296,0.806973126752813,-0.000913636139900253,685.800211428584,764.825273656379,1446.24,0.716207596771908
455,238.42,0.713382639761814,0.813529866655337,"2015_yk_316","Yukon",2015,476.84,0.712710278516928,0.806559801998453,-0.000413324754359734,685.800211428584,764.825273656379,1446.24,0.716207596771908
456,238.944,0.713343514175246,0.786269884882538,"2015_yk_316","Yukon",2015,477.888,0.712718087743518,0.80619157360046,-0.000368228397992332,685.800211428584,764.825273656379,1446.24,0.716207596771908
457,239.468,0.713025496841968,0.791755432665417,"2015_yk_316","Yukon",2015,478.936,0.712763517788019,0.805411588942943,-0.000779984657517163,685.800211428584,764.825273656379,1446.24,0.716207596771908
