"Cycle","Sr88","Iso","Time","Microns","Fish_id","Watershed","Year","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
25,0.622926922392291,0.709354488165994,13.1,26.2,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
26,0.883440306981469,0.708530290056157,13.624,27.248,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
27,0.840098709782752,0.708537276209945,14.148,28.296,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
28,0.88701543270303,0.707888048336281,14.672,29.344,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
29,0.944174291693084,0.708343778908578,15.196,30.392,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
30,0.968954889181188,0.7080115106093,15.72,31.44,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
31,0.975902972385705,0.709321289195937,16.244,32.488,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
32,0.937962302423447,0.708672197660963,16.768,33.536,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
33,0.914856792066759,0.708615748444374,17.292,34.584,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
34,0.980203147067708,0.70860260004404,17.816,35.632,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
35,0.990024691089608,0.707476927343026,18.34,36.68,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
36,0.925192943803474,0.707695814225912,18.864,37.728,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
37,0.948046628165722,0.70846007801132,19.388,38.776,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
38,0.955465813724052,0.70850741065647,19.912,39.824,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
39,0.912444139646747,0.70791356069127,20.436,40.872,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
40,0.883265706930493,0.708355797186934,20.96,41.92,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
41,0.928332543090327,0.707584944617377,21.484,42.968,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
42,0.909562805360397,0.707517428146377,22.008,44.016,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
43,0.853339002037536,0.708523027906642,22.532,45.064,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
44,0.881515743938158,0.708290088046034,23.056,46.112,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
45,0.875332961718557,0.708075679388522,23.58,47.16,"2015_nk_123_redo2","Nush",2015,NA,NA,NA,646.997071507252,166.567340755092,412.912,NA
