"Cycle","Time","Iso","Sr88","Fish_id","Watershed","Year","Microns","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
508,266.192,0.705819085802374,0.985606837841005,"2015_yk_379b","Yukon",2015,532.384,0.707274914327074,0.972289686616954,0.000326553799123719,430.341525906012,625.247442716963,1097.256,0.7072434170741
509,266.716,0.707943813598225,0.944817534707221,"2015_yk_379b","Yukon",2015,533.432,0.70728463225523,0.972559430350189,0.000269743733234296,430.341525906012,625.247442716963,1097.256,0.7072434170741
510,267.24,0.708927129720018,0.985438953962052,"2015_yk_379b","Yukon",2015,534.48,0.707258292419762,0.973746755877559,0.00118732552737066,430.341525906012,625.247442716963,1097.256,0.7072434170741
511,267.764,0.708732711544981,1.02934908277489,"2015_yk_379b","Yukon",2015,535.528,0.707243363292842,0.974882445947406,0.00113569006984704,430.341525906012,625.247442716963,1097.256,0.7072434170741
512,268.288,0.705996738104962,1.00096246798176,"2015_yk_379b","Yukon",2015,536.576,0.707240171875489,0.975191194299221,0.000308748351814603,430.341525906012,625.247442716963,1097.256,0.7072434170741
513,268.812,0.705926996669912,0.972717182594989,"2015_yk_379b","Yukon",2015,537.624,0.707232406641224,0.975907913427114,0.000716719127893617,430.341525906012,625.247442716963,1097.256,0.7072434170741
514,269.336,0.70816403345677,0.980463772676735,"2015_yk_379b","Yukon",2015,538.672,0.707207877496043,0.976957114074932,0.00104920064781744,430.341525906012,625.247442716963,1097.256,0.7072434170741
515,269.86,0.708304100266238,1.00907397589242,"2015_yk_379b","Yukon",2015,539.72,0.707214148677154,0.977531323948504,0.000574209873571707,430.341525906012,625.247442716963,1097.256,0.7072434170741
516,270.384,0.706933537981097,0.985854093754934,"2015_yk_379b","Yukon",2015,540.768,0.70722534486658,0.977117025584765,-0.000414298363738741,430.341525906012,625.247442716963,1097.256,0.7072434170741
517,270.908,0.707749775533384,0.96965226120558,"2015_yk_379b","Yukon",2015,541.816,0.707232496564136,0.977960143066772,0.00084311748200705,430.341525906012,625.247442716963,1097.256,0.7072434170741
518,271.432,0.708264052042004,0.987965234726124,"2015_yk_379b","Yukon",2015,542.864,0.707210424125836,0.97929163183359,0.00133148876681755,430.341525906012,625.247442716963,1097.256,0.7072434170741
519,271.956,0.707987112424173,1.0199362556951,"2015_yk_379b","Yukon",2015,543.912,0.707210427652883,0.979081320946814,-0.000210310886775145,430.341525906012,625.247442716963,1097.256,0.7072434170741
520,272.48,0.706391183564304,1.00422258608358,"2015_yk_379b","Yukon",2015,544.96,0.707231520081609,0.97845927032885,-0.00062205061796472,430.341525906012,625.247442716963,1097.256,0.7072434170741
521,273.004,0.706540608890833,1.00673144375611,"2015_yk_379b","Yukon",2015,546.008,0.707228305932836,0.978921497224466,0.000462226895616591,430.341525906012,625.247442716963,1097.256,0.7072434170741
522,273.528,0.70866128787011,1.01137390680859,"2015_yk_379b","Yukon",2015,547.056,0.707216496104723,0.979930356626768,0.00100885940230211,430.341525906012,625.247442716963,1097.256,0.7072434170741
523,274.052,0.707379321504219,0.992874329422525,"2015_yk_379b","Yukon",2015,548.104,0.707183808463616,0.979307461355724,-0.000622895271044532,430.341525906012,625.247442716963,1097.256,0.7072434170741
524,274.576,0.707107642167407,0.97543092869102,"2015_yk_379b","Yukon",2015,549.152,0.707176656579753,0.979183748390042,-0.000123712965682143,430.341525906012,625.247442716963,1097.256,0.7072434170741
525,275.1,0.708055246142629,0.991845606214715,"2015_yk_379b","Yukon",2015,550.2,0.707189334853443,0.980387803462981,0.00120405507293952,430.341525906012,625.247442716963,1097.256,0.7072434170741
526,275.624,0.706366697404314,1.01964641083158,"2015_yk_379b","Yukon",2015,551.248,0.707191067965815,0.980657596965992,0.000269793503010818,430.341525906012,625.247442716963,1097.256,0.7072434170741
527,276.148,0.706066420994552,0.984609517532639,"2015_yk_379b","Yukon",2015,552.296,0.707173979301025,0.979304419473438,-0.00135317749255381,430.341525906012,625.247442716963,1097.256,0.7072434170741
528,276.672,0.708664930449077,0.976656827967771,"2015_yk_379b","Yukon",2015,553.344,0.707193209222869,0.979316988538855,1.25690654163568e-05,430.341525906012,625.247442716963,1097.256,0.7072434170741
529,277.196,0.706844737705775,0.978714132692169,"2015_yk_379b","Yukon",2015,554.392,0.707194564501668,0.980339396916888,0.00102240837803391,430.341525906012,625.247442716963,1097.256,0.7072434170741
530,277.72,0.707091118748101,0.983288116355891,"2015_yk_379b","Yukon",2015,555.44,0.707205981752147,0.979899938649949,-0.000439458266939474,430.341525906012,625.247442716963,1097.256,0.7072434170741
