"Cycle","Time","Iso","Sr88","Microns","Fish_id","Watershed","Year","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
254,133.096,0.709776681941603,0.381474851962832,266.192,"2017_kk_037redoa","Kusko",2017,NA,NA,NA,606.350322406686,709.595306711262,986.168,0.708016189375436
255,133.62,0.708682448762862,1.01735232994889,267.24,"2017_kk_037redoa","Kusko",2017,NA,NA,NA,606.350322406686,709.595306711262,986.168,0.708016189375436
256,134.144,0.70864410779689,1.23108083258105,268.288,"2017_kk_037redoa","Kusko",2017,NA,NA,NA,606.350322406686,709.595306711262,986.168,0.708016189375436
257,134.668,0.709237458856475,1.23403345769567,269.336,"2017_kk_037redoa","Kusko",2017,NA,NA,NA,606.350322406686,709.595306711262,986.168,0.708016189375436
258,135.192,0.709423946561288,1.20779924232863,270.384,"2017_kk_037redoa","Kusko",2017,NA,NA,NA,606.350322406686,709.595306711262,986.168,0.708016189375436
259,135.716,0.708421325870457,1.1598730653803,271.432,"2017_kk_037redoa","Kusko",2017,NA,NA,NA,606.350322406686,709.595306711262,986.168,0.708016189375436
260,136.24,0.709255246291282,1.14211859931212,272.48,"2017_kk_037redoa","Kusko",2017,NA,NA,NA,606.350322406686,709.595306711262,986.168,0.708016189375436
261,136.764,0.708786442782993,1.12388820160047,273.528,"2017_kk_037redoa","Kusko",2017,NA,NA,NA,606.350322406686,709.595306711262,986.168,0.708016189375436
262,137.288,0.708844653470457,1.11071245388747,274.576,"2017_kk_037redoa","Kusko",2017,NA,NA,NA,606.350322406686,709.595306711262,986.168,0.708016189375436
263,137.812,0.708545425258327,1.11873067652248,275.624,"2017_kk_037redoa","Kusko",2017,NA,NA,NA,606.350322406686,709.595306711262,986.168,0.708016189375436
264,138.336,0.709492518093465,1.10218573093135,276.672,"2017_kk_037redoa","Kusko",2017,NA,NA,NA,606.350322406686,709.595306711262,986.168,0.708016189375436
265,138.86,0.708790350060985,1.1102020071494,277.72,"2017_kk_037redoa","Kusko",2017,NA,NA,NA,606.350322406686,709.595306711262,986.168,0.708016189375436
266,139.384,0.709528907953375,1.12744751665837,278.768,"2017_kk_037redoa","Kusko",2017,NA,NA,NA,606.350322406686,709.595306711262,986.168,0.708016189375436
267,139.908,0.708240876888636,1.11008463241064,279.816,"2017_kk_037redoa","Kusko",2017,NA,NA,NA,606.350322406686,709.595306711262,986.168,0.708016189375436
268,140.432,0.70977666388612,1.11120755956725,280.864,"2017_kk_037redoa","Kusko",2017,NA,NA,NA,606.350322406686,709.595306711262,986.168,0.708016189375436
269,140.956,0.708193164351,1.10315922535238,281.912,"2017_kk_037redoa","Kusko",2017,NA,NA,NA,606.350322406686,709.595306711262,986.168,0.708016189375436
