"Cycle","Time","Iso","Sr88","Microns","Fish_id","Watershed","Year","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
124,64.976,0.709046893789865,0.478697756171788,129.952,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
125,65.5,0.709253177430284,0.628395546692268,131,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
126,66.024,0.708864147242744,0.638691049322035,132.048,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
127,66.548,0.708541916644055,0.608064652258488,133.096,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
128,67.072,0.709455712515347,0.600996743400357,134.144,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
129,67.596,0.708655059149683,0.588277620454655,135.192,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
130,68.12,0.707470661500657,0.573053368592533,136.24,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
131,68.644,0.709044751396624,0.563338353551948,137.288,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
132,69.168,0.709190060390099,0.560991398690184,138.336,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
133,69.692,0.707983528191875,0.573111075371966,139.384,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
134,70.216,0.709696885522532,0.589958173422466,140.432,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
135,70.74,0.710795701386666,0.5869112811433,141.48,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
136,71.264,0.707015146433708,0.581772499762901,142.528,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
137,71.788,0.708228194295622,0.575596879890673,143.576,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
138,72.312,0.710387137005933,0.594429290169978,144.624,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
139,72.836,0.709466837069573,0.59893819278351,145.672,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
140,73.36,0.709735667060729,0.603477065085859,146.72,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
141,73.884,0.708593434128108,0.59367626844899,147.768,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
142,74.408,0.708116626507417,0.588282227508572,148.816,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
143,74.932,0.707317997773565,0.591623336612443,149.864,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
144,75.456,0.709604551428668,0.60047545457072,150.912,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
145,75.98,0.709031457859387,0.607138078773693,151.96,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
146,76.504,0.707827178137473,0.603635873492112,153.008,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
147,77.028,0.710231315018379,0.601068900713581,154.056,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
148,77.552,0.709376810264847,0.597660536884904,155.104,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
149,78.076,0.711384692448887,0.587583679125831,156.152,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
150,78.6,0.709114771491957,0.577339260410748,157.2,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
151,79.124,0.707892556991361,0.580186921792919,158.248,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
152,79.648,0.709366341291252,0.587925076120337,159.296,"2017_kk_214redo","Kusko",2017,NA,NA,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
153,80.172,0.707517132639188,0.585435753101627,160.344,"2017_kk_214redo","Kusko",2017,0.708956541597544,0.598289226696524,NA,706.071670073114,887.657179938195,1356.112,0.708752290291544
