"Cycle","Time","Iso","Sr88","Microns","Fish_id","Watershed","Year","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
1608,842.592,0.709789416795346,0.815816326323955,1685.184,"2021_kk_314","Kusko",2021,0.709372489327805,0.815097537932916,0.000919094205204196,880.221476469547,1182.09719302903,1349.824,0.70920589974282
1609,843.116,0.707663962091488,0.819216062139873,1686.232,"2021_kk_314","Kusko",2021,0.709358693163404,0.816136556957812,0.00103901902489656,880.221476469547,1182.09719302903,1349.824,0.70920589974282
1610,843.64,0.709493927217083,0.813093546777837,1687.28,"2021_kk_314","Kusko",2021,0.7093758634729,0.81696509955035,0.000828542592537951,880.221476469547,1182.09719302903,1349.824,0.70920589974282
1611,844.164,0.710157026793881,0.8105355055793,1688.328,"2021_kk_314","Kusko",2021,0.709398314742382,0.817929705578097,0.000964606027746506,880.221476469547,1182.09719302903,1349.824,0.70920589974282
1612,844.688,0.70967396863909,0.803298428909576,1689.376,"2021_kk_314","Kusko",2021,0.709374637767535,0.818912322315736,0.000982616737638997,880.221476469547,1182.09719302903,1349.824,0.70920589974282
1613,845.212,0.708549670149943,0.805106316717189,1690.424,"2021_kk_314","Kusko",2021,0.709402329416839,0.820089829843336,0.00117750752760026,880.221476469547,1182.09719302903,1349.824,0.70920589974282
1614,845.736,0.710843195460144,0.808067411286911,1691.472,"2021_kk_314","Kusko",2021,0.709403930405469,0.820765129661482,0.000675299818146291,880.221476469547,1182.09719302903,1349.824,0.70920589974282
1615,846.26,0.71030045424499,0.809087317247497,1692.52,"2021_kk_314","Kusko",2021,0.709415192885041,0.82193537537061,0.00117024570912749,880.221476469547,1182.09719302903,1349.824,0.70920589974282
1616,846.784,0.708815580310113,0.815564672964089,1693.568,"2021_kk_314","Kusko",2021,0.709441848934132,0.823172305086177,0.00123692971556744,880.221476469547,1182.09719302903,1349.824,0.70920589974282
1617,847.308,0.708412180495482,0.814642998095383,1694.616,"2021_kk_314","Kusko",2021,0.709460049044237,0.824644842623817,0.00147253753763943,880.221476469547,1182.09719302903,1349.824,0.70920589974282
