Cycle,Time,Iso,Sr88,FishID,Watershed,Year,Microns,MA
615,322.26,0.7096513840089261,1.0340238699452364,2015_yk_461,Yukon,2015,644.52,0.709028489754092
616,322.784,0.7102499329922963,1.0593742303781926,2015_yk_461,Yukon,2015,645.568,0.7090460474468893
617,323.308,0.7086165198461911,1.0238935027181426,2015_yk_461,Yukon,2015,646.616,0.7090523624122557
618,323.832,0.7086966224059864,1.030309368270612,2015_yk_461,Yukon,2015,647.664,0.7090526368889838
619,324.356,0.7095933309042463,1.0415656307101415,2015_yk_461,Yukon,2015,648.712,0.7090483778577003
620,324.88,0.7085917865810193,1.0464622971641635,2015_yk_461,Yukon,2015,649.76,0.7090498921614217
621,325.404,0.7090400331505976,1.0511024006857226,2015_yk_461,Yukon,2015,650.808,0.7090411635500105
622,325.928,0.7092175768329975,1.066167311895461,2015_yk_461,Yukon,2015,651.856,0.7090244863743435
623,326.452,0.7095815113341081,1.0835486582237026,2015_yk_461,Yukon,2015,652.904,0.7090444392401675
624,326.976,0.7085093642056417,1.0762755392189771,2015_yk_461,Yukon,2015,653.952,0.7090410727563861
625,327.5,0.7098861328707076,1.078540112002152,2015_yk_461,Yukon,2015,655,0.7090538617577629
626,328.024,0.7084633909855953,1.1003769322067831,2015_yk_461,Yukon,2015,656.048,0.7090493144064809
627,328.548,0.7077657775685697,1.115542223662629,2015_yk_461,Yukon,2015,657.096,0.7090261928887353
628,329.072,0.7092229760390724,1.1107605146479311,2015_yk_461,Yukon,2015,658.144,0.7090257095091316
629,329.596,0.709468870627548,1.157054086263681,2015_yk_461,Yukon,2015,659.192,0.7090426178531081
630,330.12,0.7098391590778995,1.1704059954410868,2015_yk_461,Yukon,2015,660.24,0.7090441847179474
631,330.644,0.7090693120424372,1.1598470216649714,2015_yk_461,Yukon,2015,661.288,0.7090348331125262
632,331.168,0.7092716247947456,1.1659651753756954,2015_yk_461,Yukon,2015,662.336,0.7090242895412747
633,331.692,0.7091146095307231,1.1699467545395748,2015_yk_461,Yukon,2015,663.384,0.7090111238940712
634,332.216,0.7098069334616287,1.214628812524068,2015_yk_461,Yukon,2015,664.432,0.7089995649371629
635,332.74,0.7082394540233292,1.2264563628111451,2015_yk_461,Yukon,2015,665.48,0.7090273180641201
636,333.264,0.7100819293333585,1.2133937159400277,2015_yk_461,Yukon,2015,666.528,0.7090269284011973
637,333.788,0.7080292827419917,1.20709192072254,2015_yk_461,Yukon,2015,667.576,0.7090256531966606
638,334.312,0.7093549408746362,1.2170147327313632,2015_yk_461,Yukon,2015,668.624,0.7090310926885066
639,334.836,0.7082963253211364,1.2523624608613828,2015_yk_461,Yukon,2015,669.672,0.7090310053087868
640,335.36,0.7102860002325899,1.2147516876800113,2015_yk_461,Yukon,2015,670.72,0.7090241168267576
641,335.884,0.708539828517498,1.243583597661564,2015_yk_461,Yukon,2015,671.768,0.7089880414670123
642,336.408,0.708269707776195,1.2298665575910994,2015_yk_461,Yukon,2015,672.816,0.70897784177648
643,336.932,0.7086382607248175,1.2524717161812338,2015_yk_461,Yukon,2015,673.864,0.708942555422572
644,337.456,0.7089428788955661,1.242736897329602,2015_yk_461,Yukon,2015,674.912,0.7089106343915046
645,337.98,0.7093441083866376,1.250643584418857,2015_yk_461,Yukon,2015,675.96,0.708905934791634
646,338.504,0.7096616887833908,1.2336455328894536,2015_yk_461,Yukon,2015,677.008,0.7088772124867985
647,339.028,0.7090449534924843,1.2283834674847929,2015_yk_461,Yukon,2015,678.056,0.7088498276406076
648,339.552,0.7089058651156789,1.2454286646238597,2015_yk_461,Yukon,2015,679.104,0.7088537672031733
649,340.076,0.7083507529699055,1.2361755828794312,2015_yk_461,Yukon,2015,680.152,0.7088219140486629
650,340.6,0.7088417315490776,1.2308928759443627,2015_yk_461,Yukon,2015,681.2,0.7088403651626969
651,341.124,0.7078927779641789,1.2271758823284138,2015_yk_461,Yukon,2015,682.248,0.7088425071657551
652,341.648,0.7082722438450643,1.2276254580885329,2015_yk_461,Yukon,2015,683.296,0.7088430378001133
653,342.172,0.7088624084203365,1.2334486286321906,2015_yk_461,Yukon,2015,684.344,0.7088312826901226
654,342.696,0.7088841807793845,1.2192867599393558,2015_yk_461,Yukon,2015,685.392,0.7088272363993355
655,343.22,0.7094077352747398,1.2418517648711302,2015_yk_461,Yukon,2015,686.44,0.7088301825117966
656,343.744,0.7084376211455305,1.224086964511917,2015_yk_461,Yukon,2015,687.488,0.7088241640696876
657,344.26800000000003,0.7083073417313496,1.215082199932827,2015_yk_461,Yukon,2015,688.5360000000001,0.7088269233934068
658,344.79200000000003,0.7090443204566367,1.2476048090940353,2015_yk_461,Yukon,2015,689.5840000000001,0.7088106873896266
659,345.31600000000003,0.709625426669561,1.2509826081986168,2015_yk_461,Yukon,2015,690.6320000000001,0.7087828638347923
660,345.84000000000003,0.7089913226219825,1.22952536350533,2015_yk_461,Yukon,2015,691.6800000000001,0.7087598800651181
661,346.36400000000003,0.7089325460869571,1.245170533141165,2015_yk_461,Yukon,2015,692.7280000000001,0.7087386757271429
662,346.88800000000003,0.7085407963377158,1.251808190465427,2015_yk_461,Yukon,2015,693.7760000000001,0.7087084508822759
663,347.41200000000003,0.7085601503435834,1.2357442684781563,2015_yk_461,Yukon,2015,694.8240000000001,0.7086927658463688
664,347.93600000000004,0.7091241840203663,1.23743906213977,2015_yk_461,Yukon,2015,695.8720000000001,0.7086590821868365
665,348.46000000000004,0.7102148739119378,1.2239054643748286,2015_yk_461,Yukon,2015,696.9200000000001,0.7086461476396956
