Cycle,Time,Iso,Sr88,FishID,Watershed,Year,Microns,MA
177,92.748,0.710243178450299,0.778291635845856,2015_yk_457_1,Yukon,2015,185.496,0.7099004521704988
178,93.272,0.7096454091706326,0.7919575385549682,2015_yk_457_1,Yukon,2015,186.544,0.7099044611925979
179,93.796,0.708415081941239,0.8065343116936674,2015_yk_457_1,Yukon,2015,187.592,0.7098934465583274
180,94.32,0.7084308783769927,0.7974286902260023,2015_yk_457_1,Yukon,2015,188.64,0.7099342521177758
181,94.844,0.7099642453882192,0.8007340817642088,2015_yk_457_1,Yukon,2015,189.688,0.7099331812894417
182,95.368,0.7110803091769946,0.8121574958551849,2015_yk_457_1,Yukon,2015,190.736,0.7099186645741307
183,95.892,0.709044453851296,0.7963941514387498,2015_yk_457_1,Yukon,2015,191.784,0.7099486053717015
184,96.416,0.7091111566900893,0.7900051153388636,2015_yk_457_1,Yukon,2015,192.832,0.7099517493712526
185,96.94,0.7106649262496261,0.8038556609944374,2015_yk_457_1,Yukon,2015,193.88,0.7099189585226026
186,97.464,0.7089690384346359,0.8033321662325483,2015_yk_457_1,Yukon,2015,194.928,0.7099458749280603
187,97.988,0.709438113760749,0.7949741986425661,2015_yk_457_1,Yukon,2015,195.976,0.7099342249505014
188,98.512,0.7104901069088102,0.785798449741336,2015_yk_457_1,Yukon,2015,197.024,0.7099168967621768
189,99.036,0.7096534333050344,0.7848978229397743,2015_yk_457_1,Yukon,2015,198.072,0.7098724235888335
190,99.56,0.7101987216249162,0.7799865356973013,2015_yk_457_1,Yukon,2015,199.12,0.7098587560555677
191,100.084,0.7101638956057299,0.7838333589124682,2015_yk_457_1,Yukon,2015,200.168,0.709884357605468
192,100.608,0.7092090149947154,0.7783598915311927,2015_yk_457_1,Yukon,2015,201.216,0.7098738161471047
193,101.132,0.7109407079730535,0.79290104371885,2015_yk_457_1,Yukon,2015,202.264,0.7098702631907455
194,101.656,0.7100601524265245,0.814007976548608,2015_yk_457_1,Yukon,2015,203.312,0.7098886404086735
195,102.18,0.708867720828209,0.8041470938073325,2015_yk_457_1,Yukon,2015,204.36,0.7099181824914947
196,102.704,0.7099200191372963,0.7825901618976081,2015_yk_457_1,Yukon,2015,205.408,0.7099277598638675
197,103.228,0.7112910075285391,0.7694100832929887,2015_yk_457_1,Yukon,2015,206.456,0.7099079772667848
198,103.752,0.7098262934851138,0.7729627969475548,2015_yk_457_1,Yukon,2015,207.504,0.7099006823057461
199,104.276,0.7086735767723794,0.7605572043761689,2015_yk_457_1,Yukon,2015,208.552,0.7099222609653832
200,104.8,0.7097199117283941,0.7500919839818969,2015_yk_457_1,Yukon,2015,209.6,0.7099324013786322
201,105.324,0.7102542496800311,0.7572886595747012,2015_yk_457_1,Yukon,2015,210.648,0.7099555378771544
202,105.848,0.7102875354025168,0.7628236146332356,2015_yk_457_1,Yukon,2015,211.696,0.7099307597599757
203,106.372,0.7106914722788178,0.7621903444730179,2015_yk_457_1,Yukon,2015,212.744,0.709916238471034
204,106.896,0.7096939070273156,0.7616641522613556,2015_yk_457_1,Yukon,2015,213.792,0.7099323065529949
205,107.42,0.7102972821066253,0.7575839624904378,2015_yk_457_1,Yukon,2015,214.84,0.7099209063420857
206,107.944,0.7089817717752727,0.757200702321559,2015_yk_457_1,Yukon,2015,215.888,0.7099283102228244
207,108.468,0.7104042165147809,0.7386236000842384,2015_yk_457_1,Yukon,2015,216.936,0.7099356036292639
208,108.992,0.7107025238544784,0.7381562848210991,2015_yk_457_1,Yukon,2015,217.984,0.7099541186911582
209,109.516,0.7090840802605359,0.73220730493986,2015_yk_457_1,Yukon,2015,219.032,0.7099962646438696
210,110.04,0.7104476227193791,0.7109519324728164,2015_yk_457_1,Yukon,2015,220.08,0.7099800591598858
211,110.564,0.7106746089002599,0.7128515790904519,2015_yk_457_1,Yukon,2015,221.128,0.7099856620519515
212,111.088,0.7090770018576806,0.7274469366917076,2015_yk_457_1,Yukon,2015,222.176,0.7099499233844828
213,111.612,0.7113606590006364,0.7255893715317788,2015_yk_457_1,Yukon,2015,223.224,0.7099942599392056
214,112.136,0.7099723213462884,0.7234797788468613,2015_yk_457_1,Yukon,2015,224.272,0.7100189473069819
215,112.66,0.7089633920072055,0.7318232030839072,2015_yk_457_1,Yukon,2015,225.32,0.7099935944776689
216,113.184,0.710907358005773,0.7246641217638146,2015_yk_457_1,Yukon,2015,226.368,0.7100421901270036
217,113.708,0.7094839197434383,0.7241844433231944,2015_yk_457_1,Yukon,2015,227.416,0.7100103428975679
218,114.232,0.7096096007622776,0.7126536654469792,2015_yk_457_1,Yukon,2015,228.464,0.7099942073315133
219,114.756,0.707512419989127,0.7152571464727874,2015_yk_457_1,Yukon,2015,229.512,0.7100417013670491
220,115.28,0.7106447819742381,0.7032377313569167,2015_yk_457_1,Yukon,2015,230.56,0.710051592986986
221,115.804,0.7103294853724629,0.7203996767131146,2015_yk_457_1,Yukon,2015,231.608,0.7100596625545122
222,116.328,0.7092323765888431,0.722784842722545,2015_yk_457_1,Yukon,2015,232.656,0.7100694217397195
223,116.852,0.7102102659905488,0.7309270630921753,2015_yk_457_1,Yukon,2015,233.704,0.7100630696120996
224,117.376,0.7107877358426504,0.713418126369588,2015_yk_457_1,Yukon,2015,234.752,0.7100735100568963
225,117.9,0.7120198599476216,0.7105448730533193,2015_yk_457_1,Yukon,2015,235.8,0.7100784975580544
226,118.424,0.7110138707069479,0.7043711797368227,2015_yk_457_1,Yukon,2015,236.848,0.7100846303476943
227,118.948,0.709325252007001,0.7215251714248351,2015_yk_457_1,Yukon,2015,237.896,0.7100369431329798
228,119.472,0.708762289349091,0.6957343902312431,2015_yk_457_1,Yukon,2015,238.944,0.7100344168489721
229,119.996,0.711048503288781,0.6876453100132248,2015_yk_457_1,Yukon,2015,239.992,0.7100608646583593
230,120.52,0.7100857662656063,0.6924460584333827,2015_yk_457_1,Yukon,2015,241.04,0.7100328884155687
231,121.044,0.711148818426861,0.692830474166132,2015_yk_457_1,Yukon,2015,242.088,0.7100425162187537
232,121.568,0.7083455230189829,0.6984223020182165,2015_yk_457_1,Yukon,2015,243.136,0.7100359729359886
233,122.092,0.7096307767333566,0.6885622699834211,2015_yk_457_1,Yukon,2015,244.18400000000003,0.7100313757708777
234,122.616,0.7104274335911412,0.6990856153146677,2015_yk_457_1,Yukon,2015,245.232,0.7100420712799809
235,123.14,0.7087347398849692,0.6962341863630719,2015_yk_457_1,Yukon,2015,246.28,0.7100584501586797
236,123.664,0.711523837338462,0.6855549549385925,2015_yk_457_1,Yukon,2015,247.328,0.7100862200127271
237,124.188,0.7106807828366685,0.6724946863263395,2015_yk_457_1,Yukon,2015,248.376,0.7100890243440775
238,124.712,0.7107563128842941,0.684500939526799,2015_yk_457_1,Yukon,2015,249.424,0.7100590221711153
239,125.236,0.7109438391039172,0.6915767028364986,2015_yk_457_1,Yukon,2015,250.472,0.7100692319926363
240,125.76,0.7074585493379709,0.6802623843423237,2015_yk_457_1,Yukon,2015,251.52,0.7100545610269909
241,126.284,0.7103004189121583,0.6714467557746514,2015_yk_457_1,Yukon,2015,252.568,0.7100461472111498
242,126.808,0.708935989128872,0.6730895677470375,2015_yk_457_1,Yukon,2015,253.616,0.7100465974056981
243,127.332,0.7117046471346652,0.671363400680638,2015_yk_457_1,Yukon,2015,254.664,0.7100192220851691
244,127.856,0.7105923987566707,0.663014633021874,2015_yk_457_1,Yukon,2015,255.712,0.7100324090604229
245,128.38,0.7091437564908345,0.6600594914983796,2015_yk_457_1,Yukon,2015,256.76,0.7100560552891396
246,128.904,0.711884777394725,0.6696511820252541,2015_yk_457_1,Yukon,2015,257.808,0.7100255564145155
247,129.428,0.7075272799946021,0.6706631706422195,2015_yk_457_1,Yukon,2015,258.856,0.7100351005313102
248,129.952,0.7095219729455371,0.6614222983437889,2015_yk_457_1,Yukon,2015,259.904,0.710048356262947
249,130.476,0.7125030754371872,0.6554822804317295,2015_yk_457_1,Yukon,2015,260.952,0.7100732516276265
250,131,0.7107922188211239,0.6524620384175291,2015_yk_457_1,Yukon,2015,262,0.7100682252578457
251,131.524,0.710648069657312,0.6485143635506301,2015_yk_457_1,Yukon,2015,263.048,0.7100780385535114
252,132.048,0.7097945661071547,0.641644044264157,2015_yk_457_1,Yukon,2015,264.096,0.7101145217835284
253,132.572,0.7105595803158635,0.6471821916789838,2015_yk_457_1,Yukon,2015,265.144,0.7101091550135644
254,133.096,0.7106865791143301,0.6529952306741019,2015_yk_457_1,Yukon,2015,266.192,0.7101124669778529
255,133.62,0.7091669708976905,0.6659119435273526,2015_yk_457_1,Yukon,2015,267.24,0.7100850049986247
256,134.144,0.7102879865156922,0.6479793860004184,2015_yk_457_1,Yukon,2015,268.288,0.7100651966466722
257,134.668,0.7084297746456686,0.6502360571092117,2015_yk_457_1,Yukon,2015,269.336,0.7100840616759019
258,135.192,0.709674716444655,0.641881989998306,2015_yk_457_1,Yukon,2015,270.384,0.7101105721912296
259,135.716,0.7102604453356118,0.6367584219255112,2015_yk_457_1,Yukon,2015,271.432,0.7101059945903873
260,136.24,0.708041337160958,0.640768812071462,2015_yk_457_1,Yukon,2015,272.48,0.7101081385239207
261,136.764,0.7108319178711284,0.6290697567753484,2015_yk_457_1,Yukon,2015,273.528,0.7100867613621298
262,137.288,0.7098949384366179,0.6254904667482318,2015_yk_457_1,Yukon,2015,274.576,0.7101280891025865
263,137.812,0.7104156423721609,0.6095682829475497,2015_yk_457_1,Yukon,2015,275.624,0.7101432494629888
264,138.336,0.7103356375735086,0.6071799755853363,2015_yk_457_1,Yukon,2015,276.672,0.7101286167803545
265,138.86,0.7112800148285555,0.615528198588098,2015_yk_457_1,Yukon,2015,277.72,0.7101376844901985
266,139.384,0.7106479630181219,0.6232434057874259,2015_yk_457_1,Yukon,2015,278.76800000000003,0.7101223078592006
267,139.90800000000002,0.7105724763958056,0.6057887189314585,2015_yk_457_1,Yukon,2015,279.81600000000003,0.7101159119363512
268,140.43200000000002,0.7089023934767431,0.612879308824829,2015_yk_457_1,Yukon,2015,280.86400000000003,0.710084988999254
269,140.95600000000002,0.7096966695518,0.6020458167292875,2015_yk_457_1,Yukon,2015,281.91200000000003,0.7100681212095805
270,141.48000000000002,0.7095673647806554,0.6176127120213881,2015_yk_457_1,Yukon,2015,282.96000000000004,0.7100892083384901
271,142.00400000000002,0.7101697799497931,0.5885316642492883,2015_yk_457_1,Yukon,2015,284.00800000000004,0.710033724623949
272,142.52800000000002,0.7091040135305805,0.5839828264300977,2015_yk_457_1,Yukon,2015,285.05600000000004,0.7100235275379438
273,143.05200000000002,0.709718139768902,0.5877772065144602,2015_yk_457_1,Yukon,2015,286.10400000000004,0.7099678075665647
274,143.576,0.7107635398615111,0.5980183847680574,2015_yk_457_1,Yukon,2015,287.152,0.7099893379527935
275,144.1,0.7103821657302062,0.595703390046535,2015_yk_457_1,Yukon,2015,288.2,0.7100061239015579
276,144.624,0.7090774255283221,0.5906643659367016,2015_yk_457_1,Yukon,2015,289.248,0.7099618875921612
277,145.148,0.7100565667511227,0.5885550082036236,2015_yk_457_1,Yukon,2015,290.296,0.7100316590627532
278,145.672,0.7104049446604891,0.5904054139811546,2015_yk_457_1,Yukon,2015,291.344,0.7100510607867645
279,146.196,0.7090061418698872,0.5695592202634726,2015_yk_457_1,Yukon,2015,292.392,0.7099920682845016
280,146.72,0.710343199787393,0.5771760283336805,2015_yk_457_1,Yukon,2015,293.44,0.7100247496569577
281,147.244,0.7109182831123974,0.5737188178275178,2015_yk_457_1,Yukon,2015,294.488,0.7100649787693041
282,147.768,0.711421370389867,0.5585749655088666,2015_yk_457_1,Yukon,2015,295.536,0.7100826812781036
283,148.292,0.7098882597927137,0.5561160432150872,2015_yk_457_1,Yukon,2015,296.584,0.7100564175579694
284,148.816,0.7109864536999604,0.5497627253082153,2015_yk_457_1,Yukon,2015,297.632,0.7100412490580668
285,149.34,0.710372141193926,0.5515832088506631,2015_yk_457_1,Yukon,2015,298.68,0.7100720297754397
286,149.864,0.7098253695898005,0.5375927955438204,2015_yk_457_1,Yukon,2015,299.728,0.7100849174867894
287,150.388,0.7104571537607786,0.5413809863750447,2015_yk_457_1,Yukon,2015,300.776,0.7101030338562156
288,150.912,0.7103529202687595,0.543184061800846,2015_yk_457_1,Yukon,2015,301.824,0.710086205409668
289,151.436,0.7107738472382352,0.547670021254275,2015_yk_457_1,Yukon,2015,302.872,0.7100864955161446
290,151.96,0.7102144022776118,0.5361605233444964,2015_yk_457_1,Yukon,2015,303.92,0.7101114326275216
291,152.484,0.7098661887194087,0.5396005132688224,2015_yk_457_1,Yukon,2015,304.968,0.710072082636268
292,153.008,0.7108251874463892,0.5403137418883797,2015_yk_457_1,Yukon,2015,306.016,0.7100550190294929
293,153.532,0.710540398357486,0.5460570578655614,2015_yk_457_1,Yukon,2015,307.064,0.7100183832858581
294,154.056,0.7095494726330893,0.5318380533513034,2015_yk_457_1,Yukon,2015,308.112,0.7100149939806581
295,154.58,0.7092788024756068,0.5414891768429922,2015_yk_457_1,Yukon,2015,309.16,0.7099878183769193
296,155.104,0.7106012394785831,0.5436039114874713,2015_yk_457_1,Yukon,2015,310.208,0.7100090353798745
297,155.628,0.7102970274657078,0.5439899442996542,2015_yk_457_1,Yukon,2015,311.25600000000003,0.7100010245472135
298,156.15200000000002,0.7089009366584579,0.5468452591419533,2015_yk_457_1,Yukon,2015,312.30400000000003,0.7100169038835324
299,156.67600000000002,0.7099317717235116,0.5424415917285833,2015_yk_457_1,Yukon,2015,313.35200000000003,0.7099961214893736
300,157.20000000000002,0.7087237770725487,0.539114176436058,2015_yk_457_1,Yukon,2015,314.40000000000003,0.7099874566428397
