Cycle,Time,Iso,Sr88,Fish_id,Watershed,Year,Microns
171,89.604,7.0518155950929440e-001,0.16531592451499943,2015_yk_396a,Yukon,2015,179.208
172,90.128,7.0779925333153826e-001,0.9503422813860358,2015_yk_396a,Yukon,2015,180.256
173,90.652,7.0785961478085935e-001,1.5851331002881488,2015_yk_396a,Yukon,2015,181.304
174,91.176,7.0865573676045024e-001,1.7057309329750696,2015_yk_396a,Yukon,2015,182.352
175,91.7,7.0841131703712201e-001,1.6794697291048202,2015_yk_396a,Yukon,2015,183.4
176,92.224,7.0802539229707651e-001,1.6348012627185653,2015_yk_396a,Yukon,2015,184.448
177,92.748,7.0854834117967058e-001,1.5879254139289614,2015_yk_396a,Yukon,2015,185.496
178,93.272,7.0792903566142973e-001,1.4997076495466344,2015_yk_396a,Yukon,2015,186.544
179,93.796,7.0795423771903843e-001,1.48185037968879,2015_yk_396a,Yukon,2015,187.592
180,94.32000000000001,7.0785773417406705e-001,1.454497206075226,2015_yk_396a,Yukon,2015,188.64000000000001
181,94.84400000000001,7.0833828400438748e-001,1.426578086231856,2015_yk_396a,Yukon,2015,189.68800000000002
182,95.36800000000001,7.0827240269766423e-001,1.3943553385551404,2015_yk_396a,Yukon,2015,190.73600000000002
183,95.89200000000001,7.0911384691581614e-001,1.3362155631554593,2015_yk_396a,Yukon,2015,191.78400000000002
184,96.41600000000001,7.0811921899371755e-001,1.405552451258794,2015_yk_396a,Yukon,2015,192.83200000000002
185,96.94,7.0823691188887594e-001,1.4710331168544646,2015_yk_396a,Yukon,2015,193.88
186,97.464,7.0900235892517205e-001,1.467478045125747,2015_yk_396a,Yukon,2015,194.928
187,97.988,7.0856994813744822e-001,1.4208592706630565,2015_yk_396a,Yukon,2015,195.976
188,98.512,7.0846206358613772e-001,1.4350857170180873,2015_yk_396a,Yukon,2015,197.024
189,99.036,7.0907928118579899e-001,1.4764097169049837,2015_yk_396a,Yukon,2015,198.072
190,99.56,7.0831430030904352e-001,1.4700337637249568,2015_yk_396a,Yukon,2015,199.12
191,100.084,7.0783162223062890e-001,1.4411874588579114,2015_yk_396a,Yukon,2015,200.168
192,100.608,7.0857457390487522e-001,1.4476686714722415,2015_yk_396a,Yukon,2015,201.216
193,101.132,7.0811874513876871e-001,1.4346717452339253,2015_yk_396a,Yukon,2015,202.264
194,101.656,7.0837112887885667e-001,1.4134044078291346,2015_yk_396a,Yukon,2015,203.312
195,102.18,7.0846624923886936e-001,1.4062592401106724,2015_yk_396a,Yukon,2015,204.36
196,102.70400000000001,7.0843314952543901e-001,1.412964141750443,2015_yk_396a,Yukon,2015,205.40800000000002
197,103.22800000000001,7.0765437616285176e-001,1.3922315155138378,2015_yk_396a,Yukon,2015,206.45600000000002
198,103.75200000000001,7.0841519449646118e-001,1.364630772249434,2015_yk_396a,Yukon,2015,207.50400000000002
199,104.27600000000001,7.0803344166525228e-001,1.373479201082242,2015_yk_396a,Yukon,2015,208.55200000000002
200,104.80000000000001,7.0883713895627554e-001,1.3909412627808602,2015_yk_396a,Yukon,2015,209.60000000000002
201,105.32400000000001,7.0900563944050410e-001,1.4046171267321592,2015_yk_396a,Yukon,2015,210.64800000000002
202,105.848,7.0804631537418927e-001,1.39503362175845,2015_yk_396a,Yukon,2015,211.696
203,106.372,7.0747901165490357e-001,1.4018137676391218,2015_yk_396a,Yukon,2015,212.744
204,106.896,7.0797922499185573e-001,1.3802838132018602,2015_yk_396a,Yukon,2015,213.792
205,107.42,7.0841973499343536e-001,1.3676101423831135,2015_yk_396a,Yukon,2015,214.84
206,107.944,7.0779174434039027e-001,1.3453210967425075,2015_yk_396a,Yukon,2015,215.888
207,108.468,7.0895428874175848e-001,1.365206808698776,2015_yk_396a,Yukon,2015,216.936
208,108.992,7.0823950464146790e-001,1.362423379179482,2015_yk_396a,Yukon,2015,217.984
209,109.516,7.0841491209334595e-001,1.349192701944152,2015_yk_396a,Yukon,2015,219.032
210,110.04,7.0876436761678940e-001,1.3538868311851793,2015_yk_396a,Yukon,2015,220.08
211,110.56400000000001,7.0806895735853792e-001,1.3395293087142512,2015_yk_396a,Yukon,2015,221.12800000000001
212,111.08800000000001,7.0741565018075747e-001,1.3243525643465917,2015_yk_396a,Yukon,2015,222.17600000000002
213,111.61200000000001,7.0796657482223802e-001,1.3125546050384609,2015_yk_396a,Yukon,2015,223.22400000000002
214,112.13600000000001,7.0795929809028235e-001,1.330752529666662,2015_yk_396a,Yukon,2015,224.27200000000002
215,112.66000000000001,7.0847824245206514e-001,1.3058522884254222,2015_yk_396a,Yukon,2015,225.32000000000002
216,113.18400000000001,7.0835980691085187e-001,1.3165865458349053,2015_yk_396a,Yukon,2015,226.36800000000002
217,113.708,7.0872846169677139e-001,1.3239926829698556,2015_yk_396a,Yukon,2015,227.416
218,114.232,7.0826644467801037e-001,1.3428210560373046,2015_yk_396a,Yukon,2015,228.464
219,114.756,7.0798907711227832e-001,1.3093213692899468,2015_yk_396a,Yukon,2015,229.512
220,115.28,7.0860684879597691e-001,1.3029406084970436,2015_yk_396a,Yukon,2015,230.56
221,115.804,7.0844184133616983e-001,1.3297749888392825,2015_yk_396a,Yukon,2015,231.608
222,116.328,7.0882719873810618e-001,1.3256443614025817,2015_yk_396a,Yukon,2015,232.656
223,116.852,7.0852855925531666e-001,1.3263364712950765,2015_yk_396a,Yukon,2015,233.704
224,117.376,7.0814768355887325e-001,1.3277469754986009,2015_yk_396a,Yukon,2015,234.752
225,117.9,7.0847039881947949e-001,1.3477391873738065,2015_yk_396a,Yukon,2015,235.8
226,118.424,7.0872393089179742e-001,1.3263712424290408,2015_yk_396a,Yukon,2015,236.848
227,118.94800000000001,7.0885795008814678e-001,1.3234652350045093,2015_yk_396a,Yukon,2015,237.89600000000002
228,119.47200000000001,7.0824271083307611e-001,1.354711426269414,2015_yk_396a,Yukon,2015,238.94400000000002
229,119.99600000000001,7.0798816304508716e-001,1.3768220450458135,2015_yk_396a,Yukon,2015,239.99200000000002
230,120.52000000000001,7.0819609794772620e-001,1.338570566088113,2015_yk_396a,Yukon,2015,241.04000000000002
231,121.04400000000001,7.0865487351385004e-001,1.3165956010702244,2015_yk_396a,Yukon,2015,242.08800000000002
232,121.56800000000001,7.0800786157085827e-001,1.3357676142000208,2015_yk_396a,Yukon,2015,243.13600000000002
233,122.09200000000001,7.0863128099029304e-001,1.342475094356821,2015_yk_396a,Yukon,2015,244.18400000000003
234,122.616,7.0911742233754960e-001,1.3195518321129571,2015_yk_396a,Yukon,2015,245.232
235,123.14,7.0831125176472987e-001,1.3252557688582918,2015_yk_396a,Yukon,2015,246.28
236,123.664,7.0759743845877432e-001,1.352077719676744,2015_yk_396a,Yukon,2015,247.328
237,124.188,7.0971859171478346e-001,1.330378614612305,2015_yk_396a,Yukon,2015,248.376
238,124.712,7.0846142536462431e-001,1.3064969085079283,2015_yk_396a,Yukon,2015,249.424
239,125.236,7.0775977358812225e-001,1.2987913791655017,2015_yk_396a,Yukon,2015,250.472
240,125.76,7.0812620290422901e-001,1.3238948340095713,2015_yk_396a,Yukon,2015,251.52
241,126.284,7.0710462727769008e-001,1.3044375214197437,2015_yk_396a,Yukon,2015,252.568
242,126.808,7.0772023606917389e-001,1.3043873246198314,2015_yk_396a,Yukon,2015,253.616
243,127.33200000000001,7.0812352325960926e-001,1.3298141426986303,2015_yk_396a,Yukon,2015,254.66400000000002
244,127.85600000000001,7.0776281484984982e-001,1.311533977156142,2015_yk_396a,Yukon,2015,255.71200000000002
245,128.38,7.0805483364740351e-001,1.2991862890637913,2015_yk_396a,Yukon,2015,256.76
246,128.904,7.0802465184193042e-001,1.321404512613092,2015_yk_396a,Yukon,2015,257.808
247,129.428,7.0817108893911263e-001,1.3550372354935507,2015_yk_396a,Yukon,2015,258.856
248,129.952,7.0786731723714547e-001,1.3156649677264152,2015_yk_396a,Yukon,2015,259.904
249,130.476,7.0822895538995601e-001,1.29980352573668,2015_yk_396a,Yukon,2015,260.952
250,131,7.0894770639964244e-001,1.3093861956452637,2015_yk_396a,Yukon,2015,262
251,131.524,7.0914602534891746e-001,1.317701894046723,2015_yk_396a,Yukon,2015,263.048
252,132.048,7.0716031949830893e-001,1.2886378431821144,2015_yk_396a,Yukon,2015,264.096
253,132.572,7.0869865719357295e-001,1.328187465311,2015_yk_396a,Yukon,2015,265.144
254,133.096,7.0793902108121809e-001,1.3643597846962987,2015_yk_396a,Yukon,2015,266.192
