Cycle,Time,Iso,Sr88,Microns,Fish_id,Watershed,Year
93,48.732,0.7180162973289563,0.11956038503109516,97.464,2020_kk_131_redo,Kusko,2020
94,49.256,0.7090755215541509,0.15904003832896957,98.512,2020_kk_131_redo,Kusko,2020
95,49.78,0.7078082103702256,0.1998032664604814,99.56,2020_kk_131_redo,Kusko,2020
96,50.304,0.7117535825272613,0.24158955364692847,100.608,2020_kk_131_redo,Kusko,2020
97,50.828,0.7062449802018566,0.2571841295771553,101.656,2020_kk_131_redo,Kusko,2020
98,51.352000000000004,0.7133585355435275,0.2617246727241256,102.70400000000001,2020_kk_131_redo,Kusko,2020
99,51.876000000000005,0.7104745481684753,0.28350835988663386,103.75200000000001,2020_kk_131_redo,Kusko,2020
100,52.400000000000006,0.7106502773677558,0.3063262870540855,104.80000000000001,2020_kk_131_redo,Kusko,2020
101,52.92400000000001,0.7074541095922435,0.3079341414575886,105.84800000000001,2020_kk_131_redo,Kusko,2020
102,53.448,0.708381282815743,0.29931433232391513,106.896,2020_kk_131_redo,Kusko,2020
103,53.972,0.7117415631624214,0.2931333468498833,107.944,2020_kk_131_redo,Kusko,2020
104,54.496,0.7106346997329579,0.28857605907439454,108.992,2020_kk_131_redo,Kusko,2020
105,55.02,0.7090689551682903,0.287136754668791,110.04,2020_kk_131_redo,Kusko,2020
106,55.544000000000004,0.707101578861956,0.2944332344076715,111.08800000000001,2020_kk_131_redo,Kusko,2020
107,56.068000000000005,0.7092839384589558,0.30190205936805925,112.13600000000001,2020_kk_131_redo,Kusko,2020
108,56.592000000000006,0.7071338477776442,0.30854675272605137,113.18400000000001,2020_kk_131_redo,Kusko,2020
109,57.116,0.7093616217966936,0.30781753868503425,114.232,2020_kk_131_redo,Kusko,2020
110,57.64,0.7142594843719543,0.30562536836740345,115.28,2020_kk_131_redo,Kusko,2020
111,58.164,0.710896672144289,0.3093413204683256,116.328,2020_kk_131_redo,Kusko,2020
112,58.688,0.7099594496855339,0.3100156980882636,117.376,2020_kk_131_redo,Kusko,2020
113,59.212,0.7062031313725304,0.30834361761783907,118.424,2020_kk_131_redo,Kusko,2020
114,59.736000000000004,0.7062081660601264,0.3086203057906666,119.47200000000001,2020_kk_131_redo,Kusko,2020
115,60.260000000000005,0.7093232507366468,0.30845051196427203,120.52000000000001,2020_kk_131_redo,Kusko,2020
116,60.784000000000006,0.7070727353900601,0.2976391882055059,121.56800000000001,2020_kk_131_redo,Kusko,2020
117,61.30800000000001,0.7109927183714457,0.28405786225187585,122.61600000000001,2020_kk_131_redo,Kusko,2020
