Cycle,Sr88,Iso,Time,Microns,Fish_id,Watershed,Year
23,0.358431601459137,0.704117150072109,12.052,24.104,2015_nk_035_1,Nush,2015
24,1.1740033340243,0.705764419840487,12.576,25.152,2015_nk_035_1,Nush,2015
25,1.59701509912571,0.705460301287309,13.1,26.2,2015_nk_035_1,Nush,2015
26,1.73265404532559,0.704026654441251,13.623999999999999,27.247999999999998,2015_nk_035_1,Nush,2015
27,1.7721639562386,0.705063709876512,14.148,28.296,2015_nk_035_1,Nush,2015
28,1.78361108413354,0.704019420606695,14.672,29.344,2015_nk_035_1,Nush,2015
29,1.80746993094892,0.705207299491981,15.196,30.392,2015_nk_035_1,Nush,2015
30,1.80221686825347,0.704134664206294,15.719999999999999,31.439999999999998,2015_nk_035_1,Nush,2015
31,1.77326863548304,0.704444388760281,16.244,32.488,2015_nk_035_1,Nush,2015
32,1.78565283769912,0.704376980934845,16.768,33.536,2015_nk_035_1,Nush,2015
33,1.76804742782023,0.704519222062844,17.292,34.584,2015_nk_035_1,Nush,2015
34,1.76291143104356,0.705333520440214,17.816,35.632,2015_nk_035_1,Nush,2015
35,1.73775640643185,0.704597325486798,18.34,36.68,2015_nk_035_1,Nush,2015
36,1.7924893449903,0.705245104667032,18.864,37.728,2015_nk_035_1,Nush,2015
37,1.79215863864108,0.704689492724136,19.387999999999998,38.775999999999996,2015_nk_035_1,Nush,2015
38,1.79352148458524,0.70543217913656,19.912,39.824,2015_nk_035_1,Nush,2015
39,1.77677822946966,0.704918007894191,20.436,40.872,2015_nk_035_1,Nush,2015
40,1.78381601402241,0.705339999321712,20.96,41.92,2015_nk_035_1,Nush,2015
41,1.79405851003855,0.704037008366608,21.484,42.968,2015_nk_035_1,Nush,2015
42,1.74861052469679,0.704491055057023,22.008,44.016,2015_nk_035_1,Nush,2015
43,1.77179752087514,0.705101008458975,22.532,45.064,2015_nk_035_1,Nush,2015
44,1.75332736351825,0.705163003821355,23.056,46.112,2015_nk_035_1,Nush,2015
45,1.77496343857833,0.704409299972868,23.58,47.16,2015_nk_035_1,Nush,2015
46,1.72623056006297,0.703732035079928,24.104,48.208,2015_nk_035_1,Nush,2015
47,1.74731079811,0.705424126924951,24.628,49.256,2015_nk_035_1,Nush,2015
48,1.73604582006853,0.705537662331323,25.152,50.304,2015_nk_035_1,Nush,2015
49,1.75985707787315,0.70479888419057,25.676000000000002,51.352000000000004,2015_nk_035_1,Nush,2015
50,1.7451638750243,0.705075621081256,26.2,52.4,2015_nk_035_1,Nush,2015
51,1.78284902067704,0.704717993027273,26.724,53.448,2015_nk_035_1,Nush,2015
52,1.74769643484365,0.704530476765951,27.248,54.496,2015_nk_035_1,Nush,2015
53,1.77948860068151,0.705493908996544,27.772,55.544,2015_nk_035_1,Nush,2015
54,1.74515675178232,0.705038738131733,28.296,56.592,2015_nk_035_1,Nush,2015
55,1.75700271174985,0.704025470191367,28.82,57.64,2015_nk_035_1,Nush,2015
56,1.73646405509175,0.704821352797155,29.344,58.688,2015_nk_035_1,Nush,2015
57,1.74802112608869,0.705459139948591,29.868000000000002,59.736000000000004,2015_nk_035_1,Nush,2015
58,1.70621609754188,0.705226795979153,30.392,60.784,2015_nk_035_1,Nush,2015
59,1.7257057282751,0.705126681498865,30.916,61.832,2015_nk_035_1,Nush,2015
60,1.74635328484046,0.705316899098234,31.44,62.88,2015_nk_035_1,Nush,2015
61,1.74324425443187,0.704980541596215,31.964,63.928,2015_nk_035_1,Nush,2015
62,1.74824920085692,0.705058641687031,32.488,64.976,2015_nk_035_1,Nush,2015
63,1.74111524797337,0.704982538721511,33.012,66.024,2015_nk_035_1,Nush,2015
64,1.74957249736159,0.705184127673917,33.536,67.072,2015_nk_035_1,Nush,2015
65,1.69877521880803,0.705105749235533,34.06,68.12,2015_nk_035_1,Nush,2015
66,1.70572594016908,0.704816187608983,34.584,69.168,2015_nk_035_1,Nush,2015
67,1.70429012694903,0.704812215384303,35.108000000000004,70.21600000000001,2015_nk_035_1,Nush,2015
68,1.71059464791044,0.704978439805817,35.632000000000005,71.26400000000001,2015_nk_035_1,Nush,2015
69,1.70300755223469,0.705105935646463,36.156,72.312,2015_nk_035_1,Nush,2015
70,1.71095521216414,0.70460251991179,36.68,73.36,2015_nk_035_1,Nush,2015
71,1.69330666476507,0.70512928929655,37.204,74.408,2015_nk_035_1,Nush,2015
72,1.66624266977099,0.705062169439872,37.728,75.456,2015_nk_035_1,Nush,2015
73,1.68087499191435,0.704776439889034,38.252,76.504,2015_nk_035_1,Nush,2015
74,1.68724936292309,0.704344102195123,38.775999999999996,77.55199999999999,2015_nk_035_1,Nush,2015
75,1.66258866654718,0.70476858479767,39.3,78.6,2015_nk_035_1,Nush,2015
76,1.70128828693953,0.704339392067237,39.824,79.648,2015_nk_035_1,Nush,2015
77,1.73084156892785,0.703958341297985,40.348,80.696,2015_nk_035_1,Nush,2015
78,1.71082841489122,0.704361820418905,40.872,81.744,2015_nk_035_1,Nush,2015
79,1.68553418694767,0.705404814198565,41.396,82.792,2015_nk_035_1,Nush,2015
80,1.68009490115886,0.704699670890573,41.92,83.84,2015_nk_035_1,Nush,2015
81,1.63978068235366,0.704988115509754,42.444,84.888,2015_nk_035_1,Nush,2015
82,1.60173132520335,0.704139038861634,42.968,85.936,2015_nk_035_1,Nush,2015
83,1.59067510846273,0.70398332754836,43.492000000000004,86.98400000000001,2015_nk_035_1,Nush,2015
84,1.57928043841163,0.704614792557307,44.016000000000005,88.03200000000001,2015_nk_035_1,Nush,2015
85,1.56995121418071,0.703864005767843,44.54,89.08,2015_nk_035_1,Nush,2015
86,1.55631734718299,0.70536551575376,45.064,90.128,2015_nk_035_1,Nush,2015
87,1.58486992740027,0.705070509334025,45.588,91.176,2015_nk_035_1,Nush,2015
88,1.58383370128187,0.70505871016023,46.112,92.224,2015_nk_035_1,Nush,2015
89,1.60061540942206,0.704504158992314,46.636,93.272,2015_nk_035_1,Nush,2015
90,1.58133849599382,0.704872298692531,47.160000000000004,94.32000000000001,2015_nk_035_1,Nush,2015
91,1.63631811808315,0.704839016438752,47.684000000000005,95.36800000000001,2015_nk_035_1,Nush,2015
92,1.58313555650438,0.70513872667653,48.208,96.416,2015_nk_035_1,Nush,2015
93,1.55903100917934,0.704868767955595,48.732,97.464,2015_nk_035_1,Nush,2015
94,1.54195936151896,0.704881720309547,49.256,98.512,2015_nk_035_1,Nush,2015
95,1.50342742130688,0.705004587733303,49.78,99.56,2015_nk_035_1,Nush,2015
96,1.45238729476022,0.705147851542175,50.304,100.608,2015_nk_035_1,Nush,2015
97,1.45413909555652,0.705509712737068,50.828,101.656,2015_nk_035_1,Nush,2015
98,1.40553410755219,0.70415874892322,51.352000000000004,102.70400000000001,2015_nk_035_1,Nush,2015
99,1.38966024602184,0.704846340897909,51.876,103.752,2015_nk_035_1,Nush,2015
100,1.41076332394272,0.704189817728545,52.4,104.8,2015_nk_035_1,Nush,2015
101,1.41035249228033,0.704518931865615,52.924,105.848,2015_nk_035_1,Nush,2015
102,1.40394525706259,0.705081805546411,53.448,106.896,2015_nk_035_1,Nush,2015
103,1.39767570230822,0.705215594249236,53.972,107.944,2015_nk_035_1,Nush,2015
104,1.4145333374172,0.704739542268613,54.496,108.992,2015_nk_035_1,Nush,2015
105,1.42339035660667,0.704208150393832,55.02,110.04,2015_nk_035_1,Nush,2015
106,1.43327896353506,0.70524083657394,55.544000000000004,111.08800000000001,2015_nk_035_1,Nush,2015
107,1.45759999594808,0.705026471394439,56.068000000000005,112.13600000000001,2015_nk_035_1,Nush,2015
108,1.449553517181,0.70496377761999,56.592,113.184,2015_nk_035_1,Nush,2015
109,1.43742301956162,0.704364046478338,57.116,114.232,2015_nk_035_1,Nush,2015
110,1.40438791522532,0.704586152999522,57.64,115.28,2015_nk_035_1,Nush,2015
111,1.43898513264076,0.705911479520074,58.164,116.328,2015_nk_035_1,Nush,2015
112,1.43976141076133,0.70442111313732,58.688,117.376,2015_nk_035_1,Nush,2015
113,1.42297326633304,0.705980501445123,59.212,118.424,2015_nk_035_1,Nush,2015
114,1.3932469342353,0.704487647233375,59.736000000000004,119.47200000000001,2015_nk_035_1,Nush,2015
115,1.41878464632669,0.705305150392433,60.26,120.52,2015_nk_035_1,Nush,2015
116,1.42639131238802,0.704826882963332,60.784,121.568,2015_nk_035_1,Nush,2015
117,1.40904233715117,0.705323555430784,61.308,122.616,2015_nk_035_1,Nush,2015
118,1.39509857203625,0.704072998703831,61.832,123.664,2015_nk_035_1,Nush,2015
119,1.40017707961521,0.70590437248054,62.356,124.712,2015_nk_035_1,Nush,2015
120,1.41401104921184,0.705135978797296,62.88,125.76,2015_nk_035_1,Nush,2015
121,1.4260894692114,0.704612496975111,63.404,126.808,2015_nk_035_1,Nush,2015
122,1.40450759424711,0.705251072036983,63.928000000000004,127.85600000000001,2015_nk_035_1,Nush,2015
123,1.43726427492331,0.705179061584869,64.452,128.904,2015_nk_035_1,Nush,2015
124,1.44776123658427,0.704818489367448,64.976,129.952,2015_nk_035_1,Nush,2015
125,1.40159283640489,0.705422077494842,65.5,131,2015_nk_035_1,Nush,2015
126,1.41634344679949,0.705583914416103,66.024,132.048,2015_nk_035_1,Nush,2015
127,1.45600521385019,0.704732661522621,66.548,133.096,2015_nk_035_1,Nush,2015
128,1.47971243573881,0.705914226024219,67.072,134.144,2015_nk_035_1,Nush,2015
129,1.43784954007393,0.705136752550255,67.596,135.192,2015_nk_035_1,Nush,2015
130,1.44678324572816,0.704246316546766,68.12,136.24,2015_nk_035_1,Nush,2015
131,1.44258332071822,0.705123001409295,68.644,137.288,2015_nk_035_1,Nush,2015
132,1.43807406720145,0.704993678705612,69.168,138.336,2015_nk_035_1,Nush,2015
133,1.43094708058296,0.70438929820931,69.69200000000001,139.38400000000001,2015_nk_035_1,Nush,2015
134,1.45429993064738,0.704716306981908,70.21600000000001,140.43200000000002,2015_nk_035_1,Nush,2015
135,1.41358796280563,0.705562708691472,70.74000000000001,141.48000000000002,2015_nk_035_1,Nush,2015
136,1.38768712654753,0.705474539285066,71.26400000000001,142.52800000000002,2015_nk_035_1,Nush,2015
137,1.38136042521522,0.70541033029823,71.78800000000001,143.57600000000002,2015_nk_035_1,Nush,2015
138,1.3814327034018,0.705737125739267,72.31200000000001,144.62400000000002,2015_nk_035_1,Nush,2015
139,1.39628663236197,0.704749322374986,72.83600000000001,145.67200000000003,2015_nk_035_1,Nush,2015
140,1.39057078990357,0.705399173067566,73.36,146.72,2015_nk_035_1,Nush,2015
141,1.3813130445304,0.705914992168202,73.884,147.768,2015_nk_035_1,Nush,2015
142,1.37493405137456,0.705629026974308,74.408,148.816,2015_nk_035_1,Nush,2015
143,1.36763559543606,0.704980284187076,74.932,149.864,2015_nk_035_1,Nush,2015
144,1.39806886707761,0.706351452083753,75.456,150.912,2015_nk_035_1,Nush,2015
145,1.37629128247759,0.705208480413986,75.98,151.96,2015_nk_035_1,Nush,2015
146,1.39004760012655,0.704749631754087,76.50399999999999,153.00799999999998,2015_nk_035_1,Nush,2015
147,1.39546695832104,0.705343160061541,77.02799999999999,154.05599999999998,2015_nk_035_1,Nush,2015
148,1.39254463254163,0.70526686472206,77.55199999999999,155.10399999999998,2015_nk_035_1,Nush,2015
149,1.38583943703565,0.706256354223099,78.076,156.152,2015_nk_035_1,Nush,2015
150,1.37843148853244,0.705867147412331,78.6,157.2,2015_nk_035_1,Nush,2015
151,1.39753202214721,0.705650888686329,79.124,158.248,2015_nk_035_1,Nush,2015
152,1.42390840594675,0.705656538732299,79.648,159.296,2015_nk_035_1,Nush,2015
153,1.40425288213941,0.705265271021484,80.172,160.344,2015_nk_035_1,Nush,2015
154,1.40750376973195,0.70637120851082,80.696,161.392,2015_nk_035_1,Nush,2015
155,1.42033111338684,0.706486365489841,81.22,162.44,2015_nk_035_1,Nush,2015
156,1.4166080469838,0.706130961106138,81.744,163.488,2015_nk_035_1,Nush,2015
157,1.42206220153064,0.704879569760763,82.268,164.536,2015_nk_035_1,Nush,2015
158,1.41836740562227,0.705204432181571,82.792,165.584,2015_nk_035_1,Nush,2015
159,1.41595838900651,0.705572362917522,83.316,166.632,2015_nk_035_1,Nush,2015
160,1.39633865655321,0.7055267988958,83.84,167.68,2015_nk_035_1,Nush,2015
161,1.4238112088824,0.706277383037128,84.364,168.728,2015_nk_035_1,Nush,2015
162,1.40842366637071,0.706299057379746,84.888,169.776,2015_nk_035_1,Nush,2015
163,1.42964124541828,0.706307814968652,85.412,170.824,2015_nk_035_1,Nush,2015
164,1.40606742761707,0.705105981049129,85.936,171.872,2015_nk_035_1,Nush,2015
165,1.44546130402178,0.706529823140521,86.46000000000001,172.92000000000002,2015_nk_035_1,Nush,2015
166,1.42422850402787,0.705511898991595,86.98400000000001,173.96800000000002,2015_nk_035_1,Nush,2015
167,1.43058080846644,0.706212075400688,87.50800000000001,175.01600000000002,2015_nk_035_1,Nush,2015
168,1.4224355898591,0.70533291552863,88.03200000000001,176.06400000000002,2015_nk_035_1,Nush,2015
169,1.41595554907229,0.705399900936967,88.55600000000001,177.11200000000002,2015_nk_035_1,Nush,2015
170,1.4041760717056,0.706626736130546,89.08000000000001,178.16000000000003,2015_nk_035_1,Nush,2015
171,1.43790056638353,0.706906521994259,89.60400000000001,179.20800000000003,2015_nk_035_1,Nush,2015
172,1.43117731399701,0.706615562627801,90.12800000000001,180.25600000000003,2015_nk_035_1,Nush,2015
173,1.40244407116911,0.705461954179693,90.65200000000002,181.30400000000003,2015_nk_035_1,Nush,2015
174,1.43317206534424,0.706265162455937,91.17600000000002,182.35200000000003,2015_nk_035_1,Nush,2015
175,1.41594500078669,0.705765511586339,91.69999999999999,183.39999999999998,2015_nk_035_1,Nush,2015
176,1.43109662690134,0.705691548921516,92.22399999999999,184.44799999999998,2015_nk_035_1,Nush,2015
177,1.43283183082227,0.70629415503762,92.74799999999999,185.49599999999998,2015_nk_035_1,Nush,2015
178,1.43807814978516,0.705606966793016,93.27199999999999,186.54399999999998,2015_nk_035_1,Nush,2015
179,1.40898807297919,0.705409371684297,93.79599999999999,187.59199999999998,2015_nk_035_1,Nush,2015
180,1.42920728671742,0.706105942531387,94.32,188.64,2015_nk_035_1,Nush,2015
181,1.42657602441382,0.706345588060464,94.844,189.688,2015_nk_035_1,Nush,2015
182,1.40871434879937,0.706065765029528,95.368,190.736,2015_nk_035_1,Nush,2015
183,1.42937518649585,0.705997134979306,95.892,191.784,2015_nk_035_1,Nush,2015
184,1.41774442821649,0.706097287897361,96.416,192.832,2015_nk_035_1,Nush,2015
185,1.43609875006402,0.706450971210547,96.94,193.88,2015_nk_035_1,Nush,2015
186,1.41772574629798,0.705601410797438,97.464,194.928,2015_nk_035_1,Nush,2015
187,1.44683442491344,0.705907695652946,97.988,195.976,2015_nk_035_1,Nush,2015
188,1.44974564656821,0.706087916290044,98.512,197.024,2015_nk_035_1,Nush,2015
189,1.43974996832121,0.705532759367584,99.036,198.072,2015_nk_035_1,Nush,2015
190,1.42977398286778,0.706337992439984,99.56,199.12,2015_nk_035_1,Nush,2015
191,1.4526455241229,0.704741906759401,100.084,200.168,2015_nk_035_1,Nush,2015
192,1.43040808888292,0.706578715576072,100.608,201.216,2015_nk_035_1,Nush,2015
193,1.40691397060993,0.70664708200678406,101.132,202.264,2015_nk_035_1,Nush,2015
194,1.39729110271868,0.705770220911907,101.656,203.312,2015_nk_035_1,Nush,2015
195,1.42839899048747,0.705904750090676,102.18,204.36,2015_nk_035_1,Nush,2015
196,1.42599347636335,0.70695296198487,102.70400000000001,205.40800000000002,2015_nk_035_1,Nush,2015
197,1.44318938710385,0.705904549168351,103.22800000000001,206.45600000000002,2015_nk_035_1,Nush,2015
198,1.45825469040062,0.705673287809723,103.75200000000001,207.50400000000002,2015_nk_035_1,Nush,2015
199,1.4638155937638,0.705698158579223,104.27600000000001,208.55200000000002,2015_nk_035_1,Nush,2015
200,1.44836969006615,0.706972453420483,104.80000000000001,209.60000000000002,2015_nk_035_1,Nush,2015
201,1.42069234729609,0.707203847922039,105.32400000000001,210.64800000000002,2015_nk_035_1,Nush,2015
202,1.42404221347118,0.706314405977309,105.84800000000001,211.69600000000003,2015_nk_035_1,Nush,2015
203,1.43103020553271,0.705791885950449,106.37200000000001,212.74400000000003,2015_nk_035_1,Nush,2015
204,1.42099431467131,0.704816898847865,106.89600000000002,213.79200000000003,2015_nk_035_1,Nush,2015
205,1.40432686600235,0.706055040688108,107.42000000000002,214.84000000000003,2015_nk_035_1,Nush,2015
206,1.41345006667109,0.706937479201269,107.94400000000002,215.88800000000003,2015_nk_035_1,Nush,2015
207,1.41019282132619,0.707137733391812,108.46799999999999,216.93599999999998,2015_nk_035_1,Nush,2015
208,1.42454540738132,0.70667591800635,108.99199999999999,217.98399999999998,2015_nk_035_1,Nush,2015
209,1.40423388134001,0.706202863088143,109.51599999999999,219.03199999999998,2015_nk_035_1,Nush,2015
210,1.39743032333373,0.707807463401954,110.03999999999999,220.07999999999998,2015_nk_035_1,Nush,2015
211,1.37853301841934,0.706483899462225,110.564,221.128,2015_nk_035_1,Nush,2015
212,1.39228320744311,0.706508256810616,111.088,222.176,2015_nk_035_1,Nush,2015
213,1.38851320030853,0.706161325999673,111.612,223.224,2015_nk_035_1,Nush,2015
214,1.36488012175441,0.707067257505022,112.136,224.272,2015_nk_035_1,Nush,2015
215,1.35817211070231,0.705917518284063,112.66,225.32,2015_nk_035_1,Nush,2015
216,1.38589614131726,0.706168359682305,113.184,226.368,2015_nk_035_1,Nush,2015
217,1.3893273213119,0.707063436057721,113.708,227.416,2015_nk_035_1,Nush,2015
218,1.35145336752302,0.707196296405855,114.232,228.464,2015_nk_035_1,Nush,2015
219,1.38584828438677,0.705845236876445,114.756,229.512,2015_nk_035_1,Nush,2015
220,1.37195354762724,0.706712283850291,115.28,230.56,2015_nk_035_1,Nush,2015
221,1.39942787360822,0.706749061246519,115.804,231.608,2015_nk_035_1,Nush,2015
222,1.33041371519995,0.706522214464923,116.328,232.656,2015_nk_035_1,Nush,2015
223,1.3666900775843,0.706710558304617,116.852,233.704,2015_nk_035_1,Nush,2015
224,1.3615776443886,0.707370093723927,117.376,234.752,2015_nk_035_1,Nush,2015
225,1.3641409460611,0.707250830437141,117.9,235.8,2015_nk_035_1,Nush,2015
226,1.34845817957141,0.706223031473871,118.424,236.848,2015_nk_035_1,Nush,2015
227,1.36771041167612,0.706253199471059,118.94800000000001,237.89600000000002,2015_nk_035_1,Nush,2015
228,1.35699454553907,0.70608650318853,119.47200000000001,238.94400000000002,2015_nk_035_1,Nush,2015
229,1.36183068485962,0.706005469614233,119.99600000000001,239.99200000000002,2015_nk_035_1,Nush,2015
