Cycle,Time,Iso,Sr88,Microns,Fish_id,Watershed,Year
142,74.408,7.2053403092449342e-001,0.10318632857729812,148.816,2019_yk_382_redo,Yukon,2019
143,74.932,7.1226328698911590e-001,0.12137473486208404,149.864,2019_yk_382_redo,Yukon,2019
144,75.456,7.1374978684412216e-001,0.13442350255736227,150.912,2019_yk_382_redo,Yukon,2019
145,75.98,7.1926993249182858e-001,0.14618777312016182,151.96,2019_yk_382_redo,Yukon,2019
146,76.504,7.1384988334265598e-001,0.1525919112913583,153.008,2019_yk_382_redo,Yukon,2019
147,77.028,7.2138863442971601e-001,0.15959746694794463,154.056,2019_yk_382_redo,Yukon,2019
148,77.552,7.1627185583990072e-001,0.16501308136459478,155.104,2019_yk_382_redo,Yukon,2019
149,78.07600000000001,7.1630684524859967e-001,0.17171137692351895,156.15200000000002,2019_yk_382_redo,Yukon,2019
150,78.60000000000001,7.1471755267942738e-001,0.1790226977804554,157.20000000000002,2019_yk_382_redo,Yukon,2019
151,79.12400000000001,7.1827902655460318e-001,0.19114877567175212,158.24800000000002,2019_yk_382_redo,Yukon,2019
152,79.64800000000001,7.0997987640984483e-001,0.19991276629103427,159.29600000000002,2019_yk_382_redo,Yukon,2019
153,80.172,7.1304670193503794e-001,0.21215171936114424,160.344,2019_yk_382_redo,Yukon,2019
154,80.696,7.1567710843422838e-001,0.22323511872572588,161.392,2019_yk_382_redo,Yukon,2019
155,81.22,7.1648335779874783e-001,0.2305910913775874,162.44,2019_yk_382_redo,Yukon,2019
156,81.744,7.1478323731711191e-001,0.23800617475890515,163.488,2019_yk_382_redo,Yukon,2019
157,82.268,7.1364856273881894e-001,0.24805776530367712,164.536,2019_yk_382_redo,Yukon,2019
158,82.792,7.1230856655702712e-001,0.25934419647590845,165.584,2019_yk_382_redo,Yukon,2019
159,83.316,7.1864426616674404e-001,0.26978329843619414,166.632,2019_yk_382_redo,Yukon,2019
160,83.84,7.1703381028858715e-001,0.28364896799923894,167.68,2019_yk_382_redo,Yukon,2019
161,84.364,7.1633090921664100e-001,0.2928312788499548,168.728,2019_yk_382_redo,Yukon,2019
162,84.888,7.1839408497904100e-001,0.303717187354114,169.776,2019_yk_382_redo,Yukon,2019
163,85.412,7.1732596440507668e-001,0.3124281833340054,170.824,2019_yk_382_redo,Yukon,2019
164,85.936,7.1453753326834435e-001,0.3201309189046999,171.872,2019_yk_382_redo,Yukon,2019
