Cycle,Time,Iso,Sr88,Microns,Fish_id,Watershed,Year
62,32.488,7.0477304793999651e-001,0.10784505647970095,64.976,2019_yk_176,Yukon,2019
63,33.012,7.0660631070830193e-001,0.12499554949756606,66.024,2019_yk_176,Yukon,2019
64,33.536,7.0666086906379078e-001,0.11827037712741864,67.072,2019_yk_176,Yukon,2019
65,34.06,7.1049061750326858e-001,0.12628748131918133,68.12,2019_yk_176,Yukon,2019
66,34.584,7.1128496089457738e-001,0.12773687341562326,69.168,2019_yk_176,Yukon,2019
67,35.108000000000004,7.1326030277823205e-001,0.1294600679144046,70.21600000000001,2019_yk_176,Yukon,2019
68,35.632000000000005,7.0187760604979221e-001,0.13013066358042125,71.26400000000001,2019_yk_176,Yukon,2019
69,36.156000000000006,7.1407895898163765e-001,0.12333052258907012,72.31200000000001,2019_yk_176,Yukon,2019
70,36.68,7.1540615076164649e-001,0.11994247231488794,73.36,2019_yk_176,Yukon,2019
71,37.204,7.1047616940951241e-001,0.12916503209778843,74.408,2019_yk_176,Yukon,2019
72,37.728,7.0827504061152124e-001,0.1458120050721931,75.456,2019_yk_176,Yukon,2019
73,38.252,7.1126121657033659e-001,0.16429351767936332,76.504,2019_yk_176,Yukon,2019
74,38.776,7.1531313013581599e-001,0.16679176979064303,77.552,2019_yk_176,Yukon,2019
75,39.300000000000004,7.0801860290190755e-001,0.1709358090872189,78.60000000000001,2019_yk_176,Yukon,2019
76,39.824000000000005,7.1023021362708838e-001,0.1646315636479258,79.64800000000001,2019_yk_176,Yukon,2019
77,40.348,7.1087161053417913e-001,0.15900165688919718,80.696,2019_yk_176,Yukon,2019
78,40.872,7.1229621852853509e-001,0.15657341607680383,81.744,2019_yk_176,Yukon,2019
79,41.396,7.0923299520147531e-001,0.1510140712879612,82.792,2019_yk_176,Yukon,2019
80,41.92,7.1115488873194943e-001,0.14893537858092362,83.84,2019_yk_176,Yukon,2019
81,42.444,7.1483767685904154e-001,0.15397786418746146,84.888,2019_yk_176,Yukon,2019
82,42.968,7.0528495795833590e-001,0.15581830509272654,85.936,2019_yk_176,Yukon,2019
83,43.492000000000004,7.0358965996073697e-001,0.15506228716042317,86.98400000000001,2019_yk_176,Yukon,2019
84,44.016000000000005,7.1041600691658535e-001,0.17059149059791373,88.03200000000001,2019_yk_176,Yukon,2019
85,44.540000000000006,7.1001803731782398e-001,0.183277040724583,89.08000000000001,2019_yk_176,Yukon,2019
86,45.064,7.1012538152302374e-001,0.1832387820419221,90.128,2019_yk_176,Yukon,2019
87,45.588,7.1044632779789407e-001,0.18379392354466528,91.176,2019_yk_176,Yukon,2019
88,46.112,7.0787923059473679e-001,0.18147395580996092,92.224,2019_yk_176,Yukon,2019
89,46.636,7.1101476259714891e-001,0.18033442820598647,93.272,2019_yk_176,Yukon,2019
90,47.160000000000004,7.0827863731706420e-001,0.18097562048605123,94.32000000000001,2019_yk_176,Yukon,2019
91,47.684000000000005,7.1166661320035218e-001,0.18713631322684723,95.36800000000001,2019_yk_176,Yukon,2019
92,48.208000000000006,7.1111159114417355e-001,0.18897322602846425,96.41600000000001,2019_yk_176,Yukon,2019
93,48.732,7.1559316910609860e-001,0.19224678126952505,97.464,2019_yk_176,Yukon,2019
94,49.256,7.1169993702439549e-001,0.19186996239650428,98.512,2019_yk_176,Yukon,2019
95,49.78,7.1039011963607490e-001,0.19423347830646623,99.56,2019_yk_176,Yukon,2019
96,50.304,7.1028096783284633e-001,0.1956027620685233,100.608,2019_yk_176,Yukon,2019
97,50.828,7.1060225999846083e-001,0.1961030255690356,101.656,2019_yk_176,Yukon,2019
98,51.352000000000004,7.1100101970114660e-001,0.19410282593247533,102.70400000000001,2019_yk_176,Yukon,2019
99,51.876000000000005,7.0692819584515443e-001,0.19576871072561977,103.75200000000001,2019_yk_176,Yukon,2019
100,52.400000000000006,7.1441681532948065e-001,0.20079472696252515,104.80000000000001,2019_yk_176,Yukon,2019
101,52.92400000000001,7.1211250385497438e-001,0.19564021536125567,105.84800000000001,2019_yk_176,Yukon,2019
102,53.448,7.0731144356954123e-001,0.19908213715712103,106.896,2019_yk_176,Yukon,2019
103,53.972,7.0796898712202805e-001,0.19776962098624945,107.944,2019_yk_176,Yukon,2019
104,54.496,7.0512684251991276e-001,0.197917960991687,108.992,2019_yk_176,Yukon,2019
105,55.02,7.0756825073998120e-001,0.2005153684474266,110.04,2019_yk_176,Yukon,2019
106,55.544000000000004,7.1053853275360457e-001,0.19839186435117528,111.08800000000001,2019_yk_176,Yukon,2019
107,56.068000000000005,7.1195397649698144e-001,0.1947749562393495,112.13600000000001,2019_yk_176,Yukon,2019
108,56.592000000000006,7.1970604439142216e-001,0.19290464355511056,113.18400000000001,2019_yk_176,Yukon,2019
109,57.116,7.0904550641542097e-001,0.1958103318990803,114.232,2019_yk_176,Yukon,2019
110,57.64,7.1912266550405213e-001,0.19711622099099035,115.28,2019_yk_176,Yukon,2019
111,58.164,7.1006866962956727e-001,0.2025031148169128,116.328,2019_yk_176,Yukon,2019
112,58.688,7.1268271429418195e-001,0.20997441664613992,117.376,2019_yk_176,Yukon,2019
113,59.212,7.1191253702037816e-001,0.2131744660834294,118.424,2019_yk_176,Yukon,2019
114,59.736000000000004,7.1042740739167176e-001,0.21510928593392767,119.47200000000001,2019_yk_176,Yukon,2019
115,60.260000000000005,7.1140158927623054e-001,0.22127646694923817,120.52000000000001,2019_yk_176,Yukon,2019
116,60.784000000000006,7.0980820258635569e-001,0.22151059424855343,121.56800000000001,2019_yk_176,Yukon,2019
117,61.30800000000001,7.1012680696054065e-001,0.22369378372231577,122.61600000000001,2019_yk_176,Yukon,2019
118,61.832,7.1286370585323100e-001,0.223513487579175,123.664,2019_yk_176,Yukon,2019
119,62.356,7.1289892141418232e-001,0.22887268931044685,124.712,2019_yk_176,Yukon,2019
120,62.88,7.0908081574811266e-001,0.23091113122726012,125.76,2019_yk_176,Yukon,2019
121,63.404,7.0899569463141909e-001,0.23442578283620336,126.808,2019_yk_176,Yukon,2019
122,63.928000000000004,7.1098977139735220e-001,0.23874867341639683,127.85600000000001,2019_yk_176,Yukon,2019
123,64.452,7.1057862740487299e-001,0.2362536328402245,128.904,2019_yk_176,Yukon,2019
124,64.976,7.1135906968834639e-001,0.2367817583267798,129.952,2019_yk_176,Yukon,2019
125,65.5,7.0816104063216756e-001,0.2348236007390845,131,2019_yk_176,Yukon,2019
126,66.024,7.0920036674915721e-001,0.24346847804569063,132.048,2019_yk_176,Yukon,2019
127,66.548,7.1290587134111116e-001,0.237995224355119,133.096,2019_yk_176,Yukon,2019
128,67.072,7.0672858779134928e-001,0.24028072308410295,134.144,2019_yk_176,Yukon,2019
