Cycle,time,Iso,Sr88,Time,Microns,Fish_id,Watershed,Year
73,36.524,0.7097189,2.0760501,38.252,76.504,2011_nk_152,Nush,2011
74,37.048,0.7086302,2.0883458,38.776,77.552,2011_nk_152,Nush,2011
75,37.524,0.7099523,2.0669821,39.300000000000004,78.60000000000001,2011_nk_152,Nush,2011
76,38.048,0.7093447,2.1293369,39.824000000000005,79.64800000000001,2011_nk_152,Nush,2011
77,38.524,0.7097651,2.1457107,40.348,80.696,2011_nk_152,Nush,2011
78,39.048,0.7093467,2.1850164,40.872,81.744,2011_nk_152,Nush,2011
79,39.524,0.7095353,2.0712284,41.396,82.792,2011_nk_152,Nush,2011
80,40.048,0.7090061,2.0927037,41.92,83.84,2011_nk_152,Nush,2011
81,40.524,0.7100253,2.1829824,42.444,84.888,2011_nk_152,Nush,2011
82,41.048,0.709704,2.1743455,42.968,85.936,2011_nk_152,Nush,2011
83,41.524,0.7089186,2.0830241,43.492000000000004,86.98400000000001,2011_nk_152,Nush,2011
84,42.048,0.7092625,2.105916,44.016000000000005,88.03200000000001,2011_nk_152,Nush,2011
85,42.524,0.7104424,2.2321051,44.540000000000006,89.08000000000001,2011_nk_152,Nush,2011
86,43.048,0.7093985,2.251568,45.064,90.128,2011_nk_152,Nush,2011
87,43.524,0.7091632,2.1250145,45.588,91.176,2011_nk_152,Nush,2011
88,44.048,0.7089584,2.1080395,46.112,92.224,2011_nk_152,Nush,2011
89,44.524,0.7095685,2.1004614,46.636,93.272,2011_nk_152,Nush,2011
90,45.048,0.7097029,2.2100369,47.160000000000004,94.32000000000001,2011_nk_152,Nush,2011
91,45.524,0.7084098,2.2665686,47.684000000000005,95.36800000000001,2011_nk_152,Nush,2011
92,46.048,0.7090279,2.2004463,48.208000000000006,96.41600000000001,2011_nk_152,Nush,2011
93,46.524,0.7093911,2.1623411,48.732,97.464,2011_nk_152,Nush,2011
94,47.048,0.7099903,2.2012489,49.256,98.512,2011_nk_152,Nush,2011
95,47.524,0.7090087,2.3076738,49.78,99.56,2011_nk_152,Nush,2011
96,48.048,0.7093071,2.2248084,50.304,100.608,2011_nk_152,Nush,2011
97,48.524,0.709079,2.1382483,50.828,101.656,2011_nk_152,Nush,2011
98,49.048,0.7093222,2.1519262,51.352000000000004,102.70400000000001,2011_nk_152,Nush,2011
99,49.524,0.7099723,2.2017037,51.876000000000005,103.75200000000001,2011_nk_152,Nush,2011
100,50.048,0.7087161,2.28598,52.400000000000006,104.80000000000001,2011_nk_152,Nush,2011
101,50.524,0.7100165,2.2763565,52.92400000000001,105.84800000000001,2011_nk_152,Nush,2011
102,51.048,0.7092589,2.1888258,53.448,106.896,2011_nk_152,Nush,2011
103,51.524,0.7100108,2.2687536,53.972,107.944,2011_nk_152,Nush,2011
104,52.048,0.7096373,2.3220038,54.496,108.992,2011_nk_152,Nush,2011
105,52.524,0.7092143,2.3676423,55.02,110.04,2011_nk_152,Nush,2011
106,53.048,0.7089794,2.2021152,55.544000000000004,111.08800000000001,2011_nk_152,Nush,2011
107,53.524,0.7090009,2.1492332,56.068000000000005,112.13600000000001,2011_nk_152,Nush,2011
108,54.048,0.7093977,2.2152622,56.592000000000006,113.18400000000001,2011_nk_152,Nush,2011
109,54.524,0.7093308,2.2416695,57.116,114.232,2011_nk_152,Nush,2011
110,55.048,0.7092223,2.2891175,57.64,115.28,2011_nk_152,Nush,2011
111,55.524,0.7094613,2.1731569,58.164,116.328,2011_nk_152,Nush,2011
112,56.048,0.7093725,2.2226001,58.688,117.376,2011_nk_152,Nush,2011
113,56.524,0.7096521,2.2699092,59.212,118.424,2011_nk_152,Nush,2011
114,57.048,0.7092291,2.1742439,59.736000000000004,119.47200000000001,2011_nk_152,Nush,2011
115,57.524,0.709256,2.2039564,60.260000000000005,120.52000000000001,2011_nk_152,Nush,2011
116,58.048,0.7091842,2.170872,60.784000000000006,121.56800000000001,2011_nk_152,Nush,2011
117,58.524,0.709057,2.1780468,61.30800000000001,122.61600000000001,2011_nk_152,Nush,2011
118,59.048,0.7091673,2.163633,61.832,123.664,2011_nk_152,Nush,2011
119,59.524,0.7097478,2.2482169,62.356,124.712,2011_nk_152,Nush,2011
120,60.048,0.7088512,2.2369499,62.88,125.76,2011_nk_152,Nush,2011
121,60.524,0.7088205,2.2310834,63.404,126.808,2011_nk_152,Nush,2011
122,61.048,0.7095689,2.213172,63.928000000000004,127.85600000000001,2011_nk_152,Nush,2011
123,61.524,0.709383,2.2279509,64.452,128.904,2011_nk_152,Nush,2011
124,62.048,0.7088692,2.2890074,64.976,129.952,2011_nk_152,Nush,2011
125,62.524,0.709038,2.222579,65.5,131,2011_nk_152,Nush,2011
126,63.048,0.7088248,2.1939221,66.024,132.048,2011_nk_152,Nush,2011
127,63.524,0.7095695,2.2069199,66.548,133.096,2011_nk_152,Nush,2011
128,64.048,0.7093357,2.1552535,67.072,134.144,2011_nk_152,Nush,2011
129,64.524,0.7094914,2.2509784,67.596,135.192,2011_nk_152,Nush,2011
130,65.048,0.7092477,2.2814393,68.12,136.24,2011_nk_152,Nush,2011
131,65.524,0.7089249,2.2467056,68.644,137.288,2011_nk_152,Nush,2011
132,66.048,0.7096194,2.2479937,69.168,138.336,2011_nk_152,Nush,2011
133,66.524,0.7098868,2.2570575,69.69200000000001,139.38400000000001,2011_nk_152,Nush,2011
134,67.048,0.7096573,2.1997844,70.21600000000001,140.43200000000002,2011_nk_152,Nush,2011
135,67.524,0.7096815,2.283988,70.74000000000001,141.48000000000002,2011_nk_152,Nush,2011
136,68.048,0.7092558,2.1800905,71.26400000000001,142.52800000000002,2011_nk_152,Nush,2011
137,68.524,0.7092687,2.2401425,71.78800000000001,143.57600000000002,2011_nk_152,Nush,2011
138,69.048,0.7097349,2.3014343,72.312,144.624,2011_nk_152,Nush,2011
139,69.524,0.7091126,2.3479415,72.836,145.672,2011_nk_152,Nush,2011
140,70.048,0.7086751,2.264056,73.36,146.72,2011_nk_152,Nush,2011
141,70.524,0.7091099,2.3173725,73.884,147.768,2011_nk_152,Nush,2011
142,71.048,0.709468,2.3322886,74.408,148.816,2011_nk_152,Nush,2011
143,71.524,0.7097293,2.2512396,74.932,149.864,2011_nk_152,Nush,2011
144,72.048,0.7095829,2.2194707,75.456,150.912,2011_nk_152,Nush,2011
145,72.524,0.708991,2.3498179,75.98,151.96,2011_nk_152,Nush,2011
146,73.048,0.7089345,2.2400024,76.504,153.008,2011_nk_152,Nush,2011
147,73.524,0.7092097,2.3900542,77.028,154.056,2011_nk_152,Nush,2011
148,74.048,0.7086572,2.3818119,77.552,155.104,2011_nk_152,Nush,2011
149,74.524,0.7089855,2.3130072,78.07600000000001,156.15200000000002,2011_nk_152,Nush,2011
150,75.048,0.7092061,2.2842323,78.60000000000001,157.20000000000002,2011_nk_152,Nush,2011
151,75.524,0.7092418,2.3498055,79.12400000000001,158.24800000000002,2011_nk_152,Nush,2011
152,76.048,0.7096996,2.3049943,79.64800000000001,159.29600000000002,2011_nk_152,Nush,2011
153,76.524,0.7091616,2.1869203,80.172,160.344,2011_nk_152,Nush,2011
154,77.048,0.7095221,2.3306857,80.696,161.392,2011_nk_152,Nush,2011
155,77.524,0.7090293,2.4250406,81.22,162.44,2011_nk_152,Nush,2011
156,78.048,0.7094092,2.4357109,81.744,163.488,2011_nk_152,Nush,2011
157,78.524,0.7090718,2.4508903,82.268,164.536,2011_nk_152,Nush,2011
158,79.048,0.7086726,2.3841823,82.792,165.584,2011_nk_152,Nush,2011
159,79.524,0.7090472,2.436953,83.316,166.632,2011_nk_152,Nush,2011
160,80.048,0.7090036,2.3685055,83.84,167.68,2011_nk_152,Nush,2011
161,80.524,0.7088442,2.4460244,84.364,168.728,2011_nk_152,Nush,2011
162,81.048,0.709873,2.4324556,84.888,169.776,2011_nk_152,Nush,2011
163,81.524,0.7097234,2.3993748,85.412,170.824,2011_nk_152,Nush,2011
164,82.048,0.7093442,2.4247125,85.936,171.872,2011_nk_152,Nush,2011
165,82.524,0.7093456,2.4614376,86.46000000000001,172.92000000000002,2011_nk_152,Nush,2011
166,83.048,0.7090332,2.5386821,86.98400000000001,173.96800000000002,2011_nk_152,Nush,2011
167,83.524,0.7102353,2.5702364,87.50800000000001,175.01600000000002,2011_nk_152,Nush,2011
168,84.048,0.7090549,2.5995568,88.03200000000001,176.06400000000002,2011_nk_152,Nush,2011
169,84.524,0.7097055,2.5271283,88.55600000000001,177.11200000000002,2011_nk_152,Nush,2011
170,85.048,0.709416,2.60382,89.08,178.16,2011_nk_152,Nush,2011
171,85.524,0.7089138,2.59246,89.604,179.208,2011_nk_152,Nush,2011
172,86.048,0.7091752,2.538571,90.128,180.256,2011_nk_152,Nush,2011
173,86.524,0.7087792,2.5624151,90.652,181.304,2011_nk_152,Nush,2011
174,87.048,0.7090164,2.6088473,91.176,182.352,2011_nk_152,Nush,2011
175,87.524,0.7084509,2.6684248,91.7,183.4,2011_nk_152,Nush,2011
176,88.048,0.7093999,2.7754405,92.224,184.448,2011_nk_152,Nush,2011
177,88.524,0.7089154,2.761291,92.748,185.496,2011_nk_152,Nush,2011
178,89.048,0.7091428,2.6475167,93.272,186.544,2011_nk_152,Nush,2011
179,89.524,0.7092149,2.7091099,93.796,187.592,2011_nk_152,Nush,2011
180,90.048,0.7097301,2.728022,94.32000000000001,188.64000000000001,2011_nk_152,Nush,2011
181,90.524,0.7084817,2.6930599,94.84400000000001,189.68800000000002,2011_nk_152,Nush,2011
182,91.048,0.7090425,2.719246,95.36800000000001,190.73600000000002,2011_nk_152,Nush,2011
183,91.524,0.7096192,2.8225582,95.89200000000001,191.78400000000002,2011_nk_152,Nush,2011
184,92.048,0.7094358,2.796981,96.41600000000001,192.83200000000002,2011_nk_152,Nush,2011
185,92.524,0.7091997,2.8274426,96.94,193.88,2011_nk_152,Nush,2011
186,93.048,0.7089155,2.7731408,97.464,194.928,2011_nk_152,Nush,2011
187,93.524,0.709393,2.799033,97.988,195.976,2011_nk_152,Nush,2011
188,94.048,0.709717,2.7317727,98.512,197.024,2011_nk_152,Nush,2011
189,94.524,0.7094552,2.7511738,99.036,198.072,2011_nk_152,Nush,2011
190,95.048,0.7093186,2.8348199,99.56,199.12,2011_nk_152,Nush,2011
191,95.524,0.7091723,2.950884,100.084,200.168,2011_nk_152,Nush,2011
192,96.048,0.7090777,2.7269342,100.608,201.216,2011_nk_152,Nush,2011
193,96.524,0.7094163,2.7663051,101.132,202.264,2011_nk_152,Nush,2011
194,97.048,0.7095524,2.9435541,101.656,203.312,2011_nk_152,Nush,2011
195,97.524,0.709859,2.9320496,102.18,204.36,2011_nk_152,Nush,2011
196,98.048,0.7090427,2.9169107,102.70400000000001,205.40800000000002,2011_nk_152,Nush,2011
197,98.524,0.7096092,2.9062275,103.22800000000001,206.45600000000002,2011_nk_152,Nush,2011
198,99.048,0.7093745,2.884564,103.75200000000001,207.50400000000002,2011_nk_152,Nush,2011
199,99.524,0.7089878,2.8600308,104.27600000000001,208.55200000000002,2011_nk_152,Nush,2011
200,100.048,0.7088707,2.9173869,104.80000000000001,209.60000000000002,2011_nk_152,Nush,2011
201,100.524,0.7087327,2.7863427,105.32400000000001,210.64800000000002,2011_nk_152,Nush,2011
202,101.048,0.7092955,2.8234192,105.848,211.696,2011_nk_152,Nush,2011
203,101.524,0.7095583,2.8322397,106.372,212.744,2011_nk_152,Nush,2011
204,102.048,0.7087706,2.9959869,106.896,213.792,2011_nk_152,Nush,2011
205,102.524,0.7092314,3.1716609,107.42,214.84,2011_nk_152,Nush,2011
206,103.048,0.7092208,3.2006215,107.944,215.888,2011_nk_152,Nush,2011
207,103.524,0.7090086,3.0243571,108.468,216.936,2011_nk_152,Nush,2011
208,104.048,0.7096672,2.9764546,108.992,217.984,2011_nk_152,Nush,2011
209,104.524,0.7089087,3.1205094,109.516,219.032,2011_nk_152,Nush,2011
210,105.048,0.7093833,3.1514972,110.04,220.08,2011_nk_152,Nush,2011
