Cycle,Time,Iso,Sr88,Microns,FishID,Watershed,Year
101,52.92400000000001,7.1111715107184537e-001,0.41994536284232586,105.84800000000001,2016_yk_110_redo,Yukon,2016
102,53.448,7.1145163018224067e-001,0.7699636106265134,106.896,2016_yk_110_redo,Yukon,2016
103,53.972,7.1087289639845397e-001,0.8566783245798767,107.944,2016_yk_110_redo,Yukon,2016
104,54.496,7.1240098021218445e-001,0.8719952129030586,108.992,2016_yk_110_redo,Yukon,2016
105,55.02,7.1141357825573459e-001,0.8457680757536526,110.04,2016_yk_110_redo,Yukon,2016
106,55.544000000000004,7.1139707786419781e-001,0.7825895369340702,111.08800000000001,2016_yk_110_redo,Yukon,2016
107,56.068000000000005,7.1030615789110196e-001,0.7494716385928174,112.13600000000001,2016_yk_110_redo,Yukon,2016
108,56.592000000000006,7.1111559675747249e-001,0.7233283962669044,113.18400000000001,2016_yk_110_redo,Yukon,2016
109,57.116,7.0940225233710053e-001,0.6968076224215122,114.232,2016_yk_110_redo,Yukon,2016
110,57.64,7.1079722892531938e-001,0.6914531307871041,115.28,2016_yk_110_redo,Yukon,2016
111,58.164,7.1176384614295163e-001,0.7080720101290868,116.328,2016_yk_110_redo,Yukon,2016
112,58.688,7.1157408368558228e-001,0.710286205740443,117.376,2016_yk_110_redo,Yukon,2016
113,59.212,7.1139128954529218e-001,0.6982563354482263,118.424,2016_yk_110_redo,Yukon,2016
114,59.736000000000004,7.1133540296871756e-001,0.6949046662336946,119.47200000000001,2016_yk_110_redo,Yukon,2016
115,60.260000000000005,7.1135931492207605e-001,0.7035227419580937,120.52000000000001,2016_yk_110_redo,Yukon,2016
116,60.784000000000006,7.1303765488036319e-001,0.6992969409624655,121.56800000000001,2016_yk_110_redo,Yukon,2016
117,61.30800000000001,7.1098256377943303e-001,0.6826941518754946,122.61600000000001,2016_yk_110_redo,Yukon,2016
118,61.832,7.1054720657342973e-001,0.6597114598053435,123.664,2016_yk_110_redo,Yukon,2016
119,62.356,7.1253015101833672e-001,0.659601003323858,124.712,2016_yk_110_redo,Yukon,2016
120,62.88,7.1080240679787321e-001,0.6475763244195034,125.76,2016_yk_110_redo,Yukon,2016
121,63.404,7.1153101515746386e-001,0.6441754183917111,126.808,2016_yk_110_redo,Yukon,2016
122,63.928000000000004,7.0982857787760389e-001,0.6520828199743006,127.85600000000001,2016_yk_110_redo,Yukon,2016
123,64.452,7.1258924131198742e-001,0.633867415882576,128.904,2016_yk_110_redo,Yukon,2016
124,64.976,7.1279073311486219e-001,0.6267493707870281,129.952,2016_yk_110_redo,Yukon,2016
125,65.5,7.1113802473584753e-001,0.6259114555973896,131,2016_yk_110_redo,Yukon,2016
126,66.024,7.1181892683482340e-001,0.6229251367399182,132.048,2016_yk_110_redo,Yukon,2016
127,66.548,7.1129151390662115e-001,0.6211898029653629,133.096,2016_yk_110_redo,Yukon,2016
128,67.072,7.0852218476359441e-001,0.6176681598010614,134.144,2016_yk_110_redo,Yukon,2016
