"Data_Type","Analysis","Before_Log_Loss","After_Log_Loss","Log_Loss_Improvement","Before_Brier","After_Brier","Brier_Improvement"
"RAW","TOTAL",0.380294307125002,0.282499173642618,0.097795133482384,0.104526464436295,0.077335105850542,0.0271913585857526
"GAM","TOTAL",0.224434116149559,0.201476815364829,0.0229573007847294,0.0618581523467466,0.0538124152579023,0.00804573708884425
"MA","TOTAL",0.238647299483808,0.205484110814969,0.0331631886688387,0.0639803274078996,0.055384993983834,0.00859533342406562
"RAW","OVERLAP",0.480676806267125,0.342450523148691,0.138226283118434,0.132515502481566,0.0949144549269543,0.0376010475546114
"GAM","OVERLAP",0.283317922195072,0.238913637255663,0.044404284939409,0.0780347654340478,0.0629120554394245,0.0151227099946233
"MA","OVERLAP",0.302317301119496,0.265159803656263,0.0371574974632327,0.0807355878041633,0.0710140677808544,0.00972152002330888
