Cycle,Time,Iso,Sr88,Microns,FishID,Watershed,Year
69,36.156000000000006,7.0073649603233146e-001,0.11426232054633112,72.31200000000001,2021_yk_150,Yukon,2021
70,36.68,7.1228309882362761e-001,0.13691697179707146,73.36,2021_yk_150,Yukon,2021
71,37.204,7.1459960713158355e-001,0.13819080153303406,74.408,2021_yk_150,Yukon,2021
72,37.728,7.1340900171810495e-001,0.1476460174479343,75.456,2021_yk_150,Yukon,2021
73,38.252,7.0147149312319601e-001,0.1390465313653662,76.504,2021_yk_150,Yukon,2021
74,38.776,7.0467354432437557e-001,0.1354988707863992,77.552,2021_yk_150,Yukon,2021
75,39.300000000000004,7.1016590704125637e-001,0.13329657911405512,78.60000000000001,2021_yk_150,Yukon,2021
76,39.824000000000005,7.0938847062540666e-001,0.12868441954730464,79.64800000000001,2021_yk_150,Yukon,2021
77,40.348,7.1398510654691261e-001,0.13026028826672645,80.696,2021_yk_150,Yukon,2021
78,40.872,7.1377755748213967e-001,0.1264652067654023,81.744,2021_yk_150,Yukon,2021
79,41.396,7.0580678631866778e-001,0.13087257721137674,82.792,2021_yk_150,Yukon,2021
80,41.92,7.1260205037288560e-001,0.13438830428453108,83.84,2021_yk_150,Yukon,2021
81,42.444,6.9601489864969079e-001,0.14623112856025008,84.888,2021_yk_150,Yukon,2021
82,42.968,7.0661130013468576e-001,0.17201793784858488,85.936,2021_yk_150,Yukon,2021
83,43.492000000000004,7.0203128941551962e-001,0.18890452798041896,86.98400000000001,2021_yk_150,Yukon,2021
84,44.016000000000005,7.1203138403708621e-001,0.19710389995510305,88.03200000000001,2021_yk_150,Yukon,2021
85,44.540000000000006,7.1117330036110449e-001,0.18871173937090013,89.08000000000001,2021_yk_150,Yukon,2021
86,45.064,7.0811215729998800e-001,0.18993207370106507,90.128,2021_yk_150,Yukon,2021
87,45.588,6.9830073245057844e-001,0.18471472310627157,91.176,2021_yk_150,Yukon,2021
88,46.112,7.1149925214073340e-001,0.17471837040981586,92.224,2021_yk_150,Yukon,2021
89,46.636,7.0461169427875436e-001,0.17314336683944626,93.272,2021_yk_150,Yukon,2021
90,47.160000000000004,7.0642824264657722e-001,0.17516363525167702,94.32000000000001,2021_yk_150,Yukon,2021
91,47.684000000000005,7.1193012610716189e-001,0.17211210768590082,95.36800000000001,2021_yk_150,Yukon,2021
92,48.208000000000006,7.0503050567388437e-001,0.1775767604410044,96.41600000000001,2021_yk_150,Yukon,2021
93,48.732,7.1328453974053307e-001,0.17742600830767652,97.464,2021_yk_150,Yukon,2021
94,49.256,7.0421591526841010e-001,0.16968092610647156,98.512,2021_yk_150,Yukon,2021
95,49.78,7.0856023814637015e-001,0.17371012867685948,99.56,2021_yk_150,Yukon,2021
96,50.304,7.0485404230610926e-001,0.16765266131087397,100.608,2021_yk_150,Yukon,2021
97,50.828,7.0969754698823340e-001,0.17266133793105917,101.656,2021_yk_150,Yukon,2021
98,51.352000000000004,7.0508311604291551e-001,0.17556038176664898,102.70400000000001,2021_yk_150,Yukon,2021
99,51.876000000000005,7.1032398861420076e-001,0.18860900191592467,103.75200000000001,2021_yk_150,Yukon,2021
