"Cycle","Time","Iso","Sr88","Fish_id","Watershed","Year","Microns","Iso_MA","natal_iso","marine_start_index","natal_start_index","natal_end_index"
209,109.516,0.71370177866293,0.337804079417255,"2015_yk_068a","Yukon",2015,219.032,NA,0.712715129856829,742,218.923802909707,429.905182759484
210,110.04,0.712000355595293,0.339800058840888,"2015_yk_068a","Yukon",2015,220.08,NA,0.712715129856829,742,218.923802909707,429.905182759484
211,110.564,0.708802212123754,0.341734333820799,"2015_yk_068a","Yukon",2015,221.128,NA,0.712715129856829,742,218.923802909707,429.905182759484
212,111.088,0.713389150718041,0.33894701375062,"2015_yk_068a","Yukon",2015,222.176,NA,0.712715129856829,742,218.923802909707,429.905182759484
213,111.612,0.711215109052305,0.344796284422125,"2015_yk_068a","Yukon",2015,223.224,NA,0.712715129856829,742,218.923802909707,429.905182759484
214,112.136,0.711255029066183,0.341148245927292,"2015_yk_068a","Yukon",2015,224.272,NA,0.712715129856829,742,218.923802909707,429.905182759484
215,112.66,0.711871036976893,0.335341083024038,"2015_yk_068a","Yukon",2015,225.32,NA,0.712715129856829,742,218.923802909707,429.905182759484
216,113.184,0.715234584960295,0.337773862682391,"2015_yk_068a","Yukon",2015,226.368,NA,0.712715129856829,742,218.923802909707,429.905182759484
217,113.708,0.711324684377154,0.342964156091754,"2015_yk_068a","Yukon",2015,227.416,NA,0.712715129856829,742,218.923802909707,429.905182759484
218,114.232,0.713622963141736,0.33585739802034,"2015_yk_068a","Yukon",2015,228.464,NA,0.712715129856829,742,218.923802909707,429.905182759484
219,114.756,0.713973435353644,0.33838777677255,"2015_yk_068a","Yukon",2015,229.512,NA,0.712715129856829,742,218.923802909707,429.905182759484
220,115.28,0.710981757381544,0.340437063044675,"2015_yk_068a","Yukon",2015,230.56,NA,0.712715129856829,742,218.923802909707,429.905182759484
221,115.804,0.713326748929693,0.341258722182507,"2015_yk_068a","Yukon",2015,231.608,NA,0.712715129856829,742,218.923802909707,429.905182759484
