"Cycle","Time","Iso","Sr88","Fish_id","Watershed","Year","Microns","Iso_MA","natal_iso","marine_start_index","natal_start_index","natal_end_index"
607,318.068,0.706545979723246,0.96073196328802,"2015_yk_616","Yukon",2015,636.136,NA,0.705635631796352,496,635.886215810362,775.250647732991
608,318.592,0.707451195347907,0.990005589424058,"2015_yk_616","Yukon",2015,637.184,NA,0.705635631796352,496,635.886215810362,775.250647732991
609,319.116,0.706124230980485,0.959994798456588,"2015_yk_616","Yukon",2015,638.232,NA,0.705635631796352,496,635.886215810362,775.250647732991
610,319.64,0.705158046944929,0.954868084114586,"2015_yk_616","Yukon",2015,639.28,NA,0.705635631796352,496,635.886215810362,775.250647732991
611,320.164,0.704743960294349,0.9779031107261,"2015_yk_616","Yukon",2015,640.328,NA,0.705635631796352,496,635.886215810362,775.250647732991
612,320.688,0.70461450996552,0.998684137953508,"2015_yk_616","Yukon",2015,641.376,NA,0.705635631796352,496,635.886215810362,775.250647732991
613,321.212,0.705457639246154,0.973063423026787,"2015_yk_616","Yukon",2015,642.424,NA,0.705635631796352,496,635.886215810362,775.250647732991
614,321.736,0.706720016160828,0.985585248274207,"2015_yk_616","Yukon",2015,643.472,NA,0.705635631796352,496,635.886215810362,775.250647732991
615,322.26,0.705301935445015,1.01063685666465,"2015_yk_616","Yukon",2015,644.52,NA,0.705635631796352,496,635.886215810362,775.250647732991
616,322.784,0.706317213449191,0.985714538982984,"2015_yk_616","Yukon",2015,645.568,NA,0.705635631796352,496,635.886215810362,775.250647732991
617,323.308,0.706046991231429,0.955051411759609,"2015_yk_616","Yukon",2015,646.616,NA,0.705635631796352,496,635.886215810362,775.250647732991
618,323.832,0.705100586470316,0.968978750766301,"2015_yk_616","Yukon",2015,647.664,NA,0.705635631796352,496,635.886215810362,775.250647732991
619,324.356,0.707173324528027,0.98469745390457,"2015_yk_616","Yukon",2015,648.712,NA,0.705635631796352,496,635.886215810362,775.250647732991
620,324.88,0.705176659436896,0.978960150297747,"2015_yk_616","Yukon",2015,649.76,NA,0.705635631796352,496,635.886215810362,775.250647732991
621,325.404,0.704826344460125,0.977317530119471,"2015_yk_616","Yukon",2015,650.808,NA,0.705635631796352,496,635.886215810362,775.250647732991
622,325.928,0.705437631438878,1.00300241097029,"2015_yk_616","Yukon",2015,651.856,NA,0.705635631796352,496,635.886215810362,775.250647732991
623,326.452,0.705059931946127,1.01430543264111,"2015_yk_616","Yukon",2015,652.904,NA,0.705635631796352,496,635.886215810362,775.250647732991
624,326.976,0.705327684925824,0.975812336715586,"2015_yk_616","Yukon",2015,653.952,NA,0.705635631796352,496,635.886215810362,775.250647732991
625,327.5,0.704510592548006,0.956854005137991,"2015_yk_616","Yukon",2015,655,NA,0.705635631796352,496,635.886215810362,775.250647732991
626,328.024,0.705584766602935,0.98859691791254,"2015_yk_616","Yukon",2015,656.048,NA,0.705635631796352,496,635.886215810362,775.250647732991
627,328.548,0.705983337720674,0.997351275296087,"2015_yk_616","Yukon",2015,657.096,NA,0.705635631796352,496,635.886215810362,775.250647732991
628,329.072,0.706540189488137,0.972001879519856,"2015_yk_616","Yukon",2015,658.144,NA,0.705635631796352,496,635.886215810362,775.250647732991
629,329.596,0.705596148509871,0.969909960389732,"2015_yk_616","Yukon",2015,659.192,NA,0.705635631796352,496,635.886215810362,775.250647732991
630,330.12,0.704609239437911,0.999774867168619,"2015_yk_616","Yukon",2015,660.24,NA,0.705635631796352,496,635.886215810362,775.250647732991
631,330.644,0.705966075603734,0.977080287404512,"2015_yk_616","Yukon",2015,661.288,NA,0.705635631796352,496,635.886215810362,775.250647732991
632,331.168,0.705623076384244,0.968178763189269,"2015_yk_616","Yukon",2015,662.336,NA,0.705635631796352,496,635.886215810362,775.250647732991
633,331.692,0.706241085886667,0.985058283531072,"2015_yk_616","Yukon",2015,663.384,NA,0.705635631796352,496,635.886215810362,775.250647732991
634,332.216,0.705650151871747,1.01461252452717,"2015_yk_616","Yukon",2015,664.432,NA,0.705635631796352,496,635.886215810362,775.250647732991
