Cycle,Sr88,Iso,Time,Microns,Fish_id,Watershed,Year
13,0.506778294445026,0.708674804462549,6.812,13.624,2015_nk_172,Nush,2015
14,1.14081836821781,0.70768004806913,7.336,14.672,2015_nk_172,Nush,2015
15,1.24455269935328,0.707856256464422,7.86,15.72,2015_nk_172,Nush,2015
16,1.26448570270315,0.707612446905356,8.384,16.768,2015_nk_172,Nush,2015
17,1.3072893225558,0.707308131247481,8.908000000000001,17.816000000000003,2015_nk_172,Nush,2015
18,1.3049291402987,0.708783286995954,9.432,18.864,2015_nk_172,Nush,2015
19,1.26710924009883,0.707089415496027,9.956,19.912,2015_nk_172,Nush,2015
20,1.23966917428627,0.707698343082757,10.48,20.96,2015_nk_172,Nush,2015
21,1.29054160381474,0.708671650757792,11.004000000000001,22.008000000000003,2015_nk_172,Nush,2015
22,1.32026153829536,0.70767378913813,11.528,23.056,2015_nk_172,Nush,2015
23,1.36361833652037,0.70741182866206,12.052,24.104,2015_nk_172,Nush,2015
24,1.36317536152606,0.708702598583786,12.576,25.152,2015_nk_172,Nush,2015
25,1.34052313483696,0.70822311924734,13.100000000000001,26.200000000000003,2015_nk_172,Nush,2015
26,1.3208587673777,0.707188462642105,13.624,27.248,2015_nk_172,Nush,2015
27,1.31736258900715,0.706880591203066,14.148,28.296,2015_nk_172,Nush,2015
28,1.31274107366288,0.706633829692629,14.672,29.344,2015_nk_172,Nush,2015
29,1.28339390399389,0.708194238434062,15.196000000000002,30.392000000000003,2015_nk_172,Nush,2015
30,1.30406963293061,0.707857503954847,15.720000000000002,31.440000000000005,2015_nk_172,Nush,2015
31,1.2883626815329,0.707111881713344,16.244,32.488,2015_nk_172,Nush,2015
32,1.26800999372154,0.707607720011652,16.768,33.536,2015_nk_172,Nush,2015
33,1.28593759107148,0.708026480856619,17.292,34.584,2015_nk_172,Nush,2015
34,1.27244788411969,0.707776420055265,17.816000000000003,35.632000000000005,2015_nk_172,Nush,2015
35,1.28180200642601,0.707567193663598,18.34,36.68,2015_nk_172,Nush,2015
36,1.27902145364873,0.707717380998249,18.864,37.728,2015_nk_172,Nush,2015
37,1.29106090045806,0.708142421633177,19.388,38.776,2015_nk_172,Nush,2015
38,1.26485439186549,0.708450749641979,19.912000000000003,39.824000000000005,2015_nk_172,Nush,2015
39,1.25534758257083,0.708355882018853,20.436,40.872,2015_nk_172,Nush,2015
40,1.27003715275816,0.707287725780946,20.96,41.92,2015_nk_172,Nush,2015
41,1.31265102113756,0.707957785128948,21.484,42.968,2015_nk_172,Nush,2015
42,1.32755570536509,0.707036430745684,22.008000000000003,44.016000000000005,2015_nk_172,Nush,2015
43,1.36179725592449,0.707825917125754,22.532,45.064,2015_nk_172,Nush,2015
44,1.45536239686106,0.708591646808451,23.056,46.112,2015_nk_172,Nush,2015
45,1.45499874844427,0.708428956065885,23.580000000000002,47.160000000000004,2015_nk_172,Nush,2015
