Cycle,Time,Iso,Sr88,Microns,Fish_id,Watershed,Year,MA
92,48.208000000000006,0.7079886902085811,0.7089906318266709,96.416,2014_nk_107,Nush,2014,0.7081022731686736
93,48.732,0.7087384846164972,0.7473515858674288,97.464,2014_nk_107,Nush,2014,0.7080915962103397
94,49.256,0.70917536815086335,0.7685257725331677,98.512,2014_nk_107,Nush,2014,0.7080357681249492
95,49.78,0.7082670870694057,0.7417218991402124,99.56,2014_nk_107,Nush,2014,0.7080612720705994
96,50.304,0.706501723044852,0.72723953435924,100.608,2014_nk_107,Nush,2014,0.7080784604500118
97,50.828,0.7083106816066069,0.7221444477114779,101.656,2014_nk_107,Nush,2014,0.7080739376876843
98,51.352,0.7076649731446402,0.732728434853631,102.704,2014_nk_107,Nush,2014,0.7080357144401213
99,51.876000000000005,0.7075159743306271,0.7264765822378757,103.752,2014_nk_107,Nush,2014,0.7080328454071803
100,52.400000000000006,0.7086291799399345,0.735132550812436,104.8,2014_nk_107,Nush,2014,0.7080846898453254
101,52.92400000000001,0.7083022123525069,0.7600164893841218,105.848,2014_nk_107,Nush,2014,0.7081138404962253
102,53.448,0.7068183091802386,0.7503175326519926,106.896,2014_nk_107,Nush,2014,0.7080407246665548
103,53.972,0.7076865064040228,0.7555063023558358,107.944,2014_nk_107,Nush,2014,0.7080200357532368
104,54.496,0.710109650428244,0.7271632122698506,108.992,2014_nk_107,Nush,2014,0.7080390666584933
105,55.02,0.7076047395534357,0.7465122190288164,110.04,2014_nk_107,Nush,2014,0.7080617796789928
106,55.544,0.710042478156463,0.7396015911244694,111.088,2014_nk_107,Nush,2014,0.708041592432232
107,56.068000000000005,0.7078311493890764,0.7374340582652794,112.136,2014_nk_107,Nush,2014,0.7080573287015179
108,56.592000000000006,0.7080041137748168,0.7195431067113528,113.184,2014_nk_107,Nush,2014,0.7080518311802783
109,57.116,0.7092011109009373,0.7068459049569458,114.232,2014_nk_107,Nush,2014,0.7080226742968321
110,57.64,0.7080452590000009,0.7162587846540561,115.28,2014_nk_107,Nush,2014,0.7079970732587151
111,58.164,0.7088823429643984,0.732246015946881,116.328,2014_nk_107,Nush,2014,0.7079851636029545
112,58.688,0.7101537594854161,0.7113823926170196,117.376,2014_nk_107,Nush,2014,0.7079588185288078
113,59.212,0.7094759774691186,0.7238108035163093,118.424,2014_nk_107,Nush,2014,0.7079702919870091
114,59.736,0.7078674301199324,0.7404048975527715,119.472,2014_nk_107,Nush,2014,0.707934914356294
115,60.260000000000005,0.7091787665798454,0.7436733917638566,120.52,2014_nk_107,Nush,2014,0.7079180886726967
116,60.784000000000006,0.7085577076368184,0.7405681523706247,121.568,2014_nk_107,Nush,2014,0.707911738505912
117,61.30800000000001,0.7072618455463717,0.7435363562142993,122.616,2014_nk_107,Nush,2014,0.7078806632679633
118,61.832,0.7079981198997126,0.7479416665179306,123.664,2014_nk_107,Nush,2014,0.7079067619235737
119,62.356,0.7051451084276842,0.7299702209637958,124.712,2014_nk_107,Nush,2014,0.7078924422437631
120,62.88,0.7081046051286841,0.7314219551400386,125.76,2014_nk_107,Nush,2014,0.7078569968962909
121,63.404,0.705838908187254,0.7338612349841117,126.808,2014_nk_107,Nush,2014,0.7078800734145676
122,63.928,0.7093702957628191,0.7452041759392029,127.856,2014_nk_107,Nush,2014,0.7078507131047106
123,64.452,0.7082635697545174,0.741112042341872,128.904,2014_nk_107,Nush,2014,0.7078613218461688
124,64.976,0.7068657222312179,0.7309850133515519,129.952,2014_nk_107,Nush,2014,0.7078418967998549
125,65.5,0.7085182203430717,0.7343445513673896,131,2014_nk_107,Nush,2014,0.7078232277490785
126,66.024,0.7075654361395356,0.7165168485972535,132.048,2014_nk_107,Nush,2014,0.7078418298751725
127,66.548,0.7081178649951184,0.7076039673609624,133.096,2014_nk_107,Nush,2014,0.7078387021591652
128,67.072,0.7065607202256337,0.7095495197287831,134.144,2014_nk_107,Nush,2014,0.707842863767567
129,67.596,0.708192302501448,0.7221767578002557,135.192,2014_nk_107,Nush,2014,0.7078718815347816
130,68.12,0.7086883737335927,0.7238980277865196,136.24,2014_nk_107,Nush,2014,0.7078596485554843
131,68.644,0.7071336094384681,0.7389946299030781,137.288,2014_nk_107,Nush,2014,0.7078378765965013
132,69.168,0.7061675800360898,0.7366625601989368,138.336,2014_nk_107,Nush,2014,0.7078302460543674
133,69.69200000000001,0.7082662027526098,0.7278790620376772,139.384,2014_nk_107,Nush,2014,0.7078034026198405
134,70.21600000000001,0.7066760717050862,0.7384865981648551,140.43200000000002,2014_nk_107,Nush,2014,0.7077298735647748
135,70.74000000000001,0.708431548219591,0.7294683473593202,141.48000000000002,2014_nk_107,Nush,2014,0.7077307570949855
136,71.26400000000001,0.7056834125954736,0.7287620206903593,142.52800000000002,2014_nk_107,Nush,2014,0.7076807705531569
137,71.78800000000001,0.7083952995495814,0.7340095549446638,143.57600000000002,2014_nk_107,Nush,2014,0.7076909131512329
138,72.312,0.7064860108271659,0.7424298340174562,144.624,2014_nk_107,Nush,2014,0.707693971109134
139,72.836,0.7070619239999641,0.7307287288043854,145.672,2014_nk_107,Nush,2014,0.7076399236550056
140,73.36,0.7072530117127813,0.7238754135483293,146.72,2014_nk_107,Nush,2014,0.7076021892778482
141,73.884,0.7070967063868608,0.7257252108454227,147.768,2014_nk_107,Nush,2014,0.7075906735404439
142,74.408,0.7059537530159703,0.7093386642076559,148.816,2014_nk_107,Nush,2014,0.7075435855986265
143,74.932,0.7096468052457483,0.7186534841866234,149.864,2014_nk_107,Nush,2014,0.7075304876631553
144,75.456,0.7069500032927772,0.7144437678290116,150.912,2014_nk_107,Nush,2014,0.7075329269075189
145,75.98,0.7075882820224335,0.7054533254980745,151.96,2014_nk_107,Nush,2014,0.7074867223332176
146,76.504,0.707821747972882,0.7005979585949479,153.008,2014_nk_107,Nush,2014,0.7075157242434333
147,77.028,0.7069876690500769,0.7060429973153483,154.056,2014_nk_107,Nush,2014,0.7074846852808625
148,77.552,0.7099357042172094,0.6996117666416372,155.104,2014_nk_107,Nush,2014,0.7075119598753518
149,78.07600000000001,0.7061625150426969,0.6876375542567501,156.15200000000002,2014_nk_107,Nush,2014,0.7075299343276934
150,78.60000000000001,0.7084858532643813,0.6902200574021361,157.20000000000002,2014_nk_107,Nush,2014,0.7074886950442973
151,79.12400000000001,0.7075759261422747,0.6816014341082113,158.24800000000002,2014_nk_107,Nush,2014,0.707552723574577
152,79.64800000000001,0.7062270716171629,0.674429314176187,159.29600000000002,2014_nk_107,Nush,2014,0.7074910829109343
153,80.172,0.7093750091039868,0.6803551385120932,160.344,2014_nk_107,Nush,2014,0.7074953989106396
154,80.696,0.7080098653720308,0.6936906448086759,161.392,2014_nk_107,Nush,2014,0.7075071534370841
155,81.22,0.7071469440228224,0.6781575446937861,162.44,2014_nk_107,Nush,2014,0.7074998408712757
156,81.744,0.7076178506104902,0.6769975207966701,163.488,2014_nk_107,Nush,2014,0.7074777959229702
157,82.268,0.7081230186461696,0.6791754763379948,164.536,2014_nk_107,Nush,2014,0.707461104765475
158,82.792,0.7079146696487468,0.6677313031100228,165.584,2014_nk_107,Nush,2014,0.7074886762531508
159,83.316,0.7092570403635052,0.6661341427838312,166.632,2014_nk_107,Nush,2014,0.707485149606373
160,83.84,0.7078952011820974,0.6793928882251287,167.68,2014_nk_107,Nush,2014,0.7074351561063549
