"Cycle","Time","Iso","Sr88","Fish_id","Watershed","Year","Microns","Iso_MA","natal_iso"
529,277.196,0.711856154629519,0.374306098834282,"2015_yk_333_1","Yukon",2015,554.392,0.710040696914177,0.710304683864174
530,277.72,0.711211755740674,0.372570320715321,"2015_yk_333_1","Yukon",2015,555.44,0.710056166392888,0.710304683864174
531,278.244,0.709854789005524,0.36829323015411,"2015_yk_333_1","Yukon",2015,556.488,0.710035842454635,0.710304683864174
532,278.768,0.712720374099695,0.377469825814362,"2015_yk_333_1","Yukon",2015,557.536,0.710057992302525,0.710304683864174
533,279.292,0.707412359056065,0.377383601915679,"2015_yk_333_1","Yukon",2015,558.584,0.71002717420424,0.710304683864174
534,279.816,0.710955431308375,0.363809347188745,"2015_yk_333_1","Yukon",2015,559.632,0.710049140511242,0.710304683864174
535,280.34,0.710162742834917,0.362866648202446,"2015_yk_333_1","Yukon",2015,560.68,0.710036155516203,0.710304683864174
536,280.864,0.709087199943686,0.370042591936544,"2015_yk_333_1","Yukon",2015,561.728,0.710028176425741,0.710304683864174
537,281.388,0.708430238845521,0.378223848118611,"2015_yk_333_1","Yukon",2015,562.776,0.710053755126685,0.710304683864174
538,281.912,0.709256486621127,0.371259618525834,"2015_yk_333_1","Yukon",2015,563.824,0.710071963237037,0.710304683864174
539,282.436,0.712438291976119,0.379018980945949,"2015_yk_333_1","Yukon",2015,564.872,0.710076129169644,0.710304683864174
540,282.96,0.709094309091772,0.387360724129274,"2015_yk_333_1","Yukon",2015,565.92,0.710081580459934,0.710304683864174
541,283.484,0.71006916105156,0.377220188236464,"2015_yk_333_1","Yukon",2015,566.968,0.710077513027458,0.710304683864174
542,284.008,0.712200387221033,0.366798911410558,"2015_yk_333_1","Yukon",2015,568.016,0.710082057634429,0.710304683864174
543,284.532,0.711579451738232,0.370596422284862,"2015_yk_333_1","Yukon",2015,569.064,0.710154576281662,0.710304683864174
544,285.056,0.707875470321352,0.382199891744647,"2015_yk_333_1","Yukon",2015,570.112,0.710187195749473,0.710304683864174
545,285.58,0.708022225259676,0.373032495634254,"2015_yk_333_1","Yukon",2015,571.16,0.710220591506509,0.710304683864174
546,286.104,0.710673459637937,0.365427279058125,"2015_yk_333_1","Yukon",2015,572.208,0.71020356785863,0.710304683864174
