"Cycle","Time","Iso","Sr88","Microns","Fish_id","Watershed","Year","Iso_MA","natal_iso"
419,219.556,0.707839627018492,0.450287706203743,439.112,"2016_yk_190_redo","Yukon",2016,0.709618812898951,0.709807271564507
420,220.08,0.70940088545464,0.444891344087539,440.16,"2016_yk_190_redo","Yukon",2016,0.709671897264832,0.709807271564507
421,220.604,0.713072767428737,0.443854199164005,441.208,"2016_yk_190_redo","Yukon",2016,0.709687159107903,0.709807271564507
422,221.128,0.709836140474582,0.437806379096695,442.256,"2016_yk_190_redo","Yukon",2016,0.709622254208119,0.709807271564507
423,221.652,0.707848679785616,0.439839060224244,443.304,"2016_yk_190_redo","Yukon",2016,0.709589078116238,0.709807271564507
424,222.176,0.711872376773948,0.446247823292167,444.352,"2016_yk_190_redo","Yukon",2016,0.709592376847293,0.709807271564507
425,222.7,0.708893207187496,0.445059662439802,445.4,"2016_yk_190_redo","Yukon",2016,0.709585579906783,0.709807271564507
426,223.224,0.708877080895265,0.441626118298002,446.448,"2016_yk_190_redo","Yukon",2016,0.709604103572471,0.709807271564507
427,223.748,0.709553592542674,0.441098152476293,447.496,"2016_yk_190_redo","Yukon",2016,0.709698125699988,0.709807271564507
428,224.272,0.708018355329734,0.447799191213185,448.544,"2016_yk_190_redo","Yukon",2016,0.709749454535046,0.709807271564507
429,224.796,0.707049245660996,0.454847690008295,449.592,"2016_yk_190_redo","Yukon",2016,0.709728685556187,0.709807271564507
430,225.32,0.710701350060883,0.449798573146714,450.64,"2016_yk_190_redo","Yukon",2016,0.709767573496327,0.709807271564507
431,225.844,0.709293161934342,0.449717263629452,451.688,"2016_yk_190_redo","Yukon",2016,0.709744695236528,0.709807271564507
432,226.368,0.710303791991379,0.445341017545527,452.736,"2016_yk_190_redo","Yukon",2016,0.709795709595269,0.709807271564507
433,226.892,0.708152613137378,0.451552984063845,453.784,"2016_yk_190_redo","Yukon",2016,0.709780666233623,0.709807271564507
434,227.416,0.707536109221108,0.456889459867331,454.832,"2016_yk_190_redo","Yukon",2016,0.709759458033536,0.709807271564507
435,227.94,0.709407901117472,0.454744918017974,455.88,"2016_yk_190_redo","Yukon",2016,0.709760366535512,0.709807271564507
436,228.464,0.707953378324057,0.45478742323201,456.928,"2016_yk_190_redo","Yukon",2016,0.70981222007402,0.709807271564507
437,228.988,0.713392214793077,0.456052192888158,457.976,"2016_yk_190_redo","Yukon",2016,0.709820880467011,0.709807271564507
438,229.512,0.710006434353815,0.461435048323496,459.024,"2016_yk_190_redo","Yukon",2016,0.709842190506262,0.709807271564507
439,230.036,0.711467822610172,0.462906387505665,460.072,"2016_yk_190_redo","Yukon",2016,0.709809455594205,0.709807271564507
440,230.56,0.71054702150327,0.46137610309304,461.12,"2016_yk_190_redo","Yukon",2016,0.709882838383995,0.709807271564507
441,231.084,0.710063764400249,0.453728726893114,462.168,"2016_yk_190_redo","Yukon",2016,0.709903286805636,0.709807271564507
442,231.608,0.708866975444647,0.449892666641078,463.216,"2016_yk_190_redo","Yukon",2016,0.70992023982708,0.709807271564507
443,232.132,0.710339854236386,0.459015208347479,464.264,"2016_yk_190_redo","Yukon",2016,0.709934144190235,0.709807271564507
444,232.656,0.710709262035115,0.4629537192527,465.312,"2016_yk_190_redo","Yukon",2016,0.709899442836549,0.709807271564507
445,233.18,0.711301680553373,0.466719719881087,466.36,"2016_yk_190_redo","Yukon",2016,0.709900281490856,0.709807271564507
446,233.704,0.707694333394136,0.479860233266317,467.408,"2016_yk_190_redo","Yukon",2016,0.709867315774816,0.709807271564507
447,234.228,0.709617134759218,0.475773590349346,468.456,"2016_yk_190_redo","Yukon",2016,0.709847953441756,0.709807271564507
448,234.752,0.708852697556565,0.473541598070467,469.504,"2016_yk_190_redo","Yukon",2016,0.709862206088933,0.709807271564507
449,235.276,0.710443950805281,0.472241316111627,470.552,"2016_yk_190_redo","Yukon",2016,0.709896053175255,0.709807271564507
450,235.8,0.712586244718076,0.463704843963688,471.6,"2016_yk_190_redo","Yukon",2016,0.709882467504555,0.709807271564507
451,236.324,0.710846879657917,0.46712506751102,472.648,"2016_yk_190_redo","Yukon",2016,0.709790527154336,0.709807271564507
452,236.848,0.708229168303539,0.47733557695392,473.696,"2016_yk_190_redo","Yukon",2016,0.709786811010723,0.709807271564507
453,237.372,0.708356716248845,0.49146828244655,474.744,"2016_yk_190_redo","Yukon",2016,0.709799906098487,0.709807271564507
454,237.896,0.710694953717651,0.486543592376783,475.792,"2016_yk_190_redo","Yukon",2016,0.709782900082167,0.709807271564507
455,238.42,0.708499457309545,0.487527351813541,476.84,"2016_yk_190_redo","Yukon",2016,0.709763118166572,0.709807271564507
456,238.944,0.709662472337628,0.48554101790388,477.888,"2016_yk_190_redo","Yukon",2016,0.709769278113966,0.709807271564507
457,239.468,0.71246802727959,0.49647986759208,478.936,"2016_yk_190_redo","Yukon",2016,0.709802309767328,0.709807271564507
