Watershed,Train_Count,Test_Count,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,Overall_Accuracy,Model_Landmarks,Data_Type,Model_Method
Kusko,515,128,0.8203125,0.85198556,0.719178082,0.911196911,0.719178082,0.8203125,0.766423358,0.316049383,0.259259259,0.360493827,0.83614903,0.841975309,"Core,Fw",RAW,rf
Nush,401,100,0.76,0.950819672,0.835164835,0.923566879,0.835164835,0.76,0.795811518,0.24691358,0.187654321,0.224691358,0.855409836,0.841975309,"Core,Fw",RAW,rf
Yukon,710,177,0.903954802,0.964912281,0.952380952,0.928270042,0.952380952,0.903954802,0.927536232,0.437037037,0.395061728,0.414814815,0.934433541,0.841975309,"Core,Fw",RAW,rf
Kusko,515,128,0.78125,0.884476534,0.757575758,0.897435897,0.757575758,0.78125,0.769230769,0.316049383,0.24691358,0.325925926,0.832863267,0.84691358,"Core,Fw",RAW,svmRadial
Nush,401,100,0.78,0.944262295,0.821052632,0.929032258,0.821052632,0.78,0.8,0.24691358,0.192592593,0.234567901,0.862131148,0.84691358,"Core,Fw",RAW,svmRadial
Yukon,710,177,0.93220339,0.942982456,0.926966292,0.947136564,0.926966292,0.93220339,0.929577465,0.437037037,0.407407407,0.439506173,0.937592923,0.84691358,"Core,Fw",RAW,svmRadial
Kusko,515,128,0.453125,0.761732852,0.467741935,0.75088968,0.467741935,0.453125,0.46031746,0.316049383,0.143209877,0.30617284,0.607428926,0.575308642,"Core,Fw",RAW,knn
Nush,401,100,0.55,0.86557377,0.572916667,0.854368932,0.572916667,0.55,0.56122449,0.24691358,0.135802469,0.237037037,0.707786885,0.575308642,"Core,Fw",RAW,knn
Yukon,710,177,0.677966102,0.714912281,0.648648649,0.740909091,0.648648649,0.677966102,0.662983425,0.437037037,0.296296296,0.456790123,0.696439191,0.575308642,"Core,Fw",RAW,knn
Kusko,515,128,0.8203125,0.85198556,0.719178082,0.911196911,0.719178082,0.8203125,0.766423358,0.316049383,0.259259259,0.360493827,0.83614903,0.841975309,"Core,Fw",GAM,rf
Nush,401,100,0.76,0.950819672,0.835164835,0.923566879,0.835164835,0.76,0.795811518,0.24691358,0.187654321,0.224691358,0.855409836,0.841975309,"Core,Fw",GAM,rf
Yukon,710,177,0.903954802,0.964912281,0.952380952,0.928270042,0.952380952,0.903954802,0.927536232,0.437037037,0.395061728,0.414814815,0.934433541,0.841975309,"Core,Fw",GAM,rf
Kusko,515,128,0.78125,0.884476534,0.757575758,0.897435897,0.757575758,0.78125,0.769230769,0.316049383,0.24691358,0.325925926,0.832863267,0.84691358,"Core,Fw",GAM,svmRadial
Nush,401,100,0.78,0.944262295,0.821052632,0.929032258,0.821052632,0.78,0.8,0.24691358,0.192592593,0.234567901,0.862131148,0.84691358,"Core,Fw",GAM,svmRadial
Yukon,710,177,0.93220339,0.942982456,0.926966292,0.947136564,0.926966292,0.93220339,0.929577465,0.437037037,0.407407407,0.439506173,0.937592923,0.84691358,"Core,Fw",GAM,svmRadial
Kusko,515,128,0.453125,0.761732852,0.467741935,0.75088968,0.467741935,0.453125,0.46031746,0.316049383,0.143209877,0.30617284,0.607428926,0.575308642,"Core,Fw",GAM,knn
Nush,401,100,0.55,0.86557377,0.572916667,0.854368932,0.572916667,0.55,0.56122449,0.24691358,0.135802469,0.237037037,0.707786885,0.575308642,"Core,Fw",GAM,knn
Yukon,710,177,0.677966102,0.714912281,0.648648649,0.740909091,0.648648649,0.677966102,0.662983425,0.437037037,0.296296296,0.456790123,0.696439191,0.575308642,"Core,Fw",GAM,knn
Kusko,515,128,0.8203125,0.85198556,0.719178082,0.911196911,0.719178082,0.8203125,0.766423358,0.316049383,0.259259259,0.360493827,0.83614903,0.841975309,"Core,Fw",MA,rf
Nush,401,100,0.76,0.950819672,0.835164835,0.923566879,0.835164835,0.76,0.795811518,0.24691358,0.187654321,0.224691358,0.855409836,0.841975309,"Core,Fw",MA,rf
Yukon,710,177,0.903954802,0.964912281,0.952380952,0.928270042,0.952380952,0.903954802,0.927536232,0.437037037,0.395061728,0.414814815,0.934433541,0.841975309,"Core,Fw",MA,rf
Kusko,515,128,0.78125,0.884476534,0.757575758,0.897435897,0.757575758,0.78125,0.769230769,0.316049383,0.24691358,0.325925926,0.832863267,0.84691358,"Core,Fw",MA,svmRadial
Nush,401,100,0.78,0.944262295,0.821052632,0.929032258,0.821052632,0.78,0.8,0.24691358,0.192592593,0.234567901,0.862131148,0.84691358,"Core,Fw",MA,svmRadial
Yukon,710,177,0.93220339,0.942982456,0.926966292,0.947136564,0.926966292,0.93220339,0.929577465,0.437037037,0.407407407,0.439506173,0.937592923,0.84691358,"Core,Fw",MA,svmRadial
Kusko,515,128,0.453125,0.761732852,0.467741935,0.75088968,0.467741935,0.453125,0.46031746,0.316049383,0.143209877,0.30617284,0.607428926,0.575308642,"Core,Fw",MA,knn
Nush,401,100,0.55,0.86557377,0.572916667,0.854368932,0.572916667,0.55,0.56122449,0.24691358,0.135802469,0.237037037,0.707786885,0.575308642,"Core,Fw",MA,knn
Yukon,710,177,0.677966102,0.714912281,0.648648649,0.740909091,0.648648649,0.677966102,0.662983425,0.437037037,0.296296296,0.456790123,0.696439191,0.575308642,"Core,Fw",MA,knn
