Cycle,time,Iso,Sr88,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core,Landmark
1,0.524,0.7075295,0.9249125,0.524,1.048,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
2,1.048,0.7087303,0.9150246,1.048,2.096,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
3,1.524,0.7082404,0.9242635,1.572,3.144,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
4,2.048,0.7096053,0.9253826,2.096,4.192,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
5,2.524,0.7092487,0.9169584,2.62,5.24,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
6,3.048,0.709779,0.9391631,3.144,6.288,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
7,3.524,0.7094035,0.9422351,3.668,7.336,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
8,4.048,0.7091261,0.9426902,4.192,8.384,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
9,4.524,0.7090719,0.948301,4.716,9.432,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
10,5.048,0.7094446,0.9525118,5.24,10.48,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
11,5.524,0.709302,0.9580994,5.764,11.528,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
12,6.048,0.7090998,0.9666285,6.288,12.576,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
13,6.524,0.708535,0.9541266,6.812,13.624,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
14,7.048,0.7094839,0.9484602,7.336,14.672,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
15,7.524,0.7087517,0.9668965,7.86,15.72,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
16,8.048,0.7079416,0.9739543,8.384,16.768,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
17,8.524,0.7092434,0.9798058,8.908,17.816,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
18,9.048,0.7085111,1.0031972,9.432,18.864,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
19,9.524,0.7094244,0.9760344,9.956,19.912,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
20,10.048,0.7080086,0.9770149,10.48,20.96,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
21,10.524,0.7093397,0.9726453,11.004,22.008,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
22,11.048,0.7086273,0.9799271,11.528,23.056,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
23,11.524,0.7098672,0.9847742,12.052,24.104,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
24,12.048,0.7088413,0.9929944,12.576,25.152,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
25,12.524,0.7093766,0.9943793,13.1,26.2,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
26,13.048,0.708602,1.0035406,13.624,27.248,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
27,13.524,0.7097964,1.0075877,14.148,28.296,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
28,14.048,0.7084611,1.0284597,14.672,29.344,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
29,14.524,0.7093875,1.0444031,15.196,30.392,2011_nk_182,Nush,2011,NA,NA,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
30,15.048,0.7094752,1.0421537,15.72,31.44,2011_nk_182,Nush,2011,0.708918488333333,0.992072403333333,NA,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
31,15.524,0.70867,1.0415641,16.244,32.488,2011_nk_182,Nush,2011,0.708952386666667,0.992553291666667,4.8088833333337e-4,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
32,16.048,0.7081732,1.049486,16.768,33.536,2011_nk_182,Nush,2011,0.708943023333333,0.99337886500000006,8.2557333333332e-4,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
33,16.524,0.708186,1.0436679,17.292,34.584,2011_nk_182,Nush,2011,0.708952196666667,0.993863535,4.8466999999996e-4,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
34,17.048,0.709104,1.0400243,17.816,35.632,2011_nk_182,Nush,2011,0.708941016666667,0.993713298333333,-1.5023666666669e-4,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
35,17.524,0.7090207,1.0394612,18.34,36.68,2011_nk_182,Nush,2011,0.708916851666667,0.993437835,-2.7546333333328e-4,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
36,18.048,0.706962,1.0543238,18.864,37.728,2011_nk_182,Nush,2011,0.708902595,0.993008951666666,-4.2888333333335e-4,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
37,18.524,0.7081557,1.0548055,19.388,38.776,2011_nk_182,Nush,2011,0.708907393333333,0.992380831666666,-6.2812000000001e-4,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
38,19.048,0.707859,1.0493405,19.912,39.824,2011_nk_182,Nush,2011,0.708936596666667,0.991521286666666,-8.5954500000007e-4,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
39,19.524,0.7094273,1.0528259,20.436,40.872,2011_nk_182,Nush,2011,0.708943506666667,0.990593605,-9.2768166666668e-4,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
40,20.048,0.7089412,1.0537309,20.96,41.92,2011_nk_182,Nush,2011,0.70894453,0.98980039,-7.9321499999995e-4,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
41,20.524,0.708681,1.0420106,21.484,42.968,2011_nk_182,Nush,2011,0.70894331,0.98855211,-0.00124827999999988,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
42,21.048,0.709102,1.0285211,22.008,44.016,2011_nk_182,Nush,2011,0.708917411666667,0.987250303333333,-0.00130180666666668,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
43,21.524,0.7084993,1.0412402,22.532,45.064,2011_nk_182,Nush,2011,0.70893185,0.986366146666667,-8.8415666666663e-4,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
44,22.048,0.710442,1.0361053,23.056,46.112,2011_nk_182,Nush,2011,0.708937638333333,0.985496485,-8.6966166666657e-4,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
45,22.524,0.7089056,1.0272734,23.58,47.16,2011_nk_182,Nush,2011,0.708958623333333,0.984161536666667,-0.00133494833333336,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
46,23.048,0.7093854,1.0209527,24.104,48.208,2011_nk_182,Nush,2011,0.708978456666667,0.98293259,-0.00122894666666662,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
47,23.524,0.7088384,1.022939,24.628,49.256,2011_nk_182,Nush,2011,0.708972275,0.98156048,-0.00137211000000004,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
48,24.048,0.7093804,1.016661,25.152,50.304,2011_nk_182,Nush,2011,0.708990731666667,0.97974282,-0.00181766000000005,751.625854784494,919.151195459416,1401.176,0.708815825,353.48526835427805,NA
