Cycle,Sr88,Iso,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core,Landmark
33,0.460714882715842,0.705387285872453,17.292,34.584,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
34,0.902552286965545,0.705959382044888,17.816,35.632,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
35,1.05135062830972,0.706760330473582,18.34,36.68,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
36,1.0281679507163899,0.706686373348508,18.864,37.728,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
37,1.02807556905255,0.70621541877356,19.388,38.776,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
38,1.01436096825855,0.70528283333421,19.912,39.824,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
39,1.022779316648,0.705198479726923,20.436,40.872,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
40,1.19371567113961,0.705372667937741,20.96,41.92,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
41,1.11594376658649,0.705950889023807,21.484,42.968,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
42,1.07831198846033,0.70542997044547,22.008,44.016,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
43,1.04878113841595,0.705429144587007,22.532,45.064,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
44,1.04696763657873,0.705757763479222,23.056,46.112,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
45,1.03295095569532,0.706819089210215,23.58,47.16,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
46,1.01285492622853,0.705877622811125,24.104,48.208,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
47,1.006209580441,0.70536471953003,24.628,49.256,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
48,0.993252928054441,0.705971343948621,25.152,50.304,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
49,1.00237597495416,0.705257760978924,25.676,51.352,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
50,1.01048831979526,0.706918188243586,26.2,52.4,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
51,1.03004304652151,0.705057602839004,26.724,53.448,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
52,1.03893833570759,0.705934855267754,27.248,54.496,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
53,1.05602889226552,0.706317785040685,27.772,55.544,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
54,1.06263413141299,0.706516051048389,28.296,56.592,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
55,1.06990947566905,0.707352782373997,28.82,57.64,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
56,1.04666095600164,0.707369957713145,29.344,58.688,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
57,1.02746965682766,0.705617875954648,29.868,59.736,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
58,1.03698958161537,0.705999500180694,30.392,60.784,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
59,1.02451901582315,0.706017745954543,30.916,61.832,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
60,0.981381601671951,0.706038424728945,31.44,62.88,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
61,0.954105078348279,0.707604733798157,31.964,63.928,2015_nk_78_2,Nush,2015,NA,NA,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
62,0.971217999332522,0.70537700713927,32.488,64.976,2015_nk_78_2,Nush,2015,0.70626865199743,1.00583297740565,NA,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
63,0.969256269214827,0.706193637089321,33.012,66.024,2015_nk_78_2,Nush,2015,0.70629324040066,1.0153450467281,0.00951206932245019,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
64,0.977419797684911,0.707058501380621,33.536,67.072,2015_nk_78_2,Nush,2015,0.706313381216887,1.01712699801893,0.00178195129082881,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
65,0.979614857948798,0.70663259498876,34.06,68.12,2015_nk_78_2,Nush,2015,0.70632801682263,1.01672654465075,-4.0045336817318e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
66,0.978618564945174,0.70588205012445,34.584,69.168,2015_nk_78_2,Nush,2015,0.70632760573013,1.01739308015289,6.6653550213824e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
67,1.01911089884336,0.706344009291016,35.108,70.216,2015_nk_78_2,Nush,2015,0.706335767659441,1.01823109707338,8.3801692048801e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
68,1.04239928790545,0.707431234612328,35.632,71.264,2015_nk_78_2,Nush,2015,0.706371815518338,1.01885887289267,6.2777581928585e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
69,1.0169786226213,0.706569510190032,36.156,72.312,2015_nk_78_2,Nush,2015,0.706397702484292,1.01923866330871,3.7979041604674e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
70,1.039848245566,0.706602857599437,36.68,73.36,2015_nk_78_2,Nush,2015,0.706408368785063,1.01686201838748,-0.00237664492123391,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
71,1.04560757521706,0.706215645266541,37.204,74.408,2015_nk_78_2,Nush,2015,0.70643078221365,1.01618371743842,-6.7830094906051e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
72,1.03092749401621,0.706724783488302,37.728,75.456,2015_nk_78_2,Nush,2015,0.706459228724948,1.01617514100792,-8.57643050267143e-6,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
73,1.0090042561777,0.706478192664362,38.252,76.504,2015_nk_78_2,Nush,2015,0.706495535351946,1.01653943685807,3.6429585015374e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
74,1.00048310546285,0.706934419091118,38.776,77.552,2015_nk_78_2,Nush,2015,0.706519784662644,1.01671465680521,1.7521994714075e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
75,0.99450492418844,0.706636056316859,39.3,78.6,2015_nk_78_2,Nush,2015,0.706522401084643,1.01756899055758,8.5433375236587e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
76,1.00242303328081,0.706410632354722,39.824,79.648,2015_nk_78_2,Nush,2015,0.70653880521947,1.01943842915326,0.00186943859568345,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
77,1.00787173900488,0.705701916218626,40.348,80.696,2015_nk_78_2,Nush,2015,0.706571326162599,1.02126469325127,0.0018262640980089,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
78,0.995371950908249,0.706124242943742,40.872,81.744,2015_nk_78_2,Nush,2015,0.706576799043288,1.02330881912332,0.00204412587205183,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
79,0.971375309756342,0.706197425125641,41.396,82.792,2015_nk_78_2,Nush,2015,0.706606576500081,1.02655163180643,0.00324281268310789,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
80,1.00167170297173,0.706611140381106,41.92,83.84,2015_nk_78_2,Nush,2015,0.706609505935818,1.02978359053571,0.00323195872928217,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
81,0.974910108711454,0.706843920661593,42.444,84.888,2015_nk_78_2,Nush,2015,0.706636033222021,1.03232399617061,0.00254040563489921,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
82,0.969848059924447,0.70579224489918,42.968,85.936,2015_nk_78_2,Nush,2015,0.706654185411943,1.03407120834537,0.00174721217475637,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
83,0.941906481897664,0.707230349338016,43.492,86.984,2015_nk_78_2,Nush,2015,0.706686232255715,1.03532468844033,0.00125348009496085,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
84,1.00192792550244,0.707050813711053,44.016,88.032,2015_nk_78_2,Nush,2015,0.706706727914753,1.03618353986456,8.5885142422825e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
85,0.99159315697437,0.705997292968724,44.54,89.08,2015_nk_78_2,Nush,2015,0.70670560999286,1.03611320674369,-7.03331208680158e-5,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
86,1.0073269170788,0.706165062084386,45.064,90.128,2015_nk_78_2,Nush,2015,0.706699571175146,1.0356136186798,-4.9958806388961e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
87,0.991732080305815,0.707347518989258,45.588,91.176,2015_nk_78_2,Nush,2015,0.706699313800395,1.03428160650514,-0.00133201217465984,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
88,1.02597353557025,0.706454694861169,46.112,92.224,2015_nk_78_2,Nush,2015,0.706725485492371,1.0329258939457,-0.001355712559439,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
89,1.01595247199085,0.707264971520991,46.636,93.272,2015_nk_78_2,Nush,2015,0.706741752143748,1.03050227071427,-0.00242362323142875,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
90,0.992496482754919,0.705958773571978,47.16,94.32,2015_nk_78_2,Nush,2015,0.706741027494681,1.02986917245895,-6.3309825531665e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
91,0.984802645361055,0.705768100125443,47.684,95.368,2015_nk_78_2,Nush,2015,0.706749480838265,1.02898472177118,-8.8445068777032e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
92,1.01926888233913,0.706652942177912,48.208,96.416,2015_nk_78_2,Nush,2015,0.706806273989152,1.02754539202256,-0.00143932974862349,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
93,1.03143904206285,0.706862590066252,48.732,97.464,2015_nk_78_2,Nush,2015,0.706831809549596,1.02687049048572,-6.7490153683835e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
94,1.00946936441528,0.707167831018504,49.256,98.512,2015_nk_78_2,Nush,2015,0.706827056026298,1.0278557232664,9.8523278067452e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
95,1.02732342621933,0.707638466818126,49.78,99.56,2015_nk_78_2,Nush,2015,0.706824742898892,1.02794028601361,8.45627472179089e-5,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
96,1.06816008084467,0.706661707798559,50.304,100.608,2015_nk_78_2,Nush,2015,0.706844013598967,1.02831147268433,3.7118667071234e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
97,1.07835658428183,0.70670513453218,50.828,101.656,2015_nk_78_2,Nush,2015,0.706868078174102,1.02831332952887,1.85684454390156e-6,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
98,1.05202751741571,0.707445704868042,51.352,102.704,2015_nk_78_2,Nush,2015,0.706863010545267,1.02855009727482,2.3676774594738e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
99,1.0455667416108,0.706751697684143,51.876,103.752,2015_nk_78_2,Nush,2015,0.706869782193447,1.02800529646604,-5.4480080877694e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
100,1.05111697586558,0.706012645984036,52.4,104.8,2015_nk_78_2,Nush,2015,0.706857979361768,1.02737986739627,-6.2542906976892e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
101,1.07524570964286,0.707295694738989,52.924,105.848,2015_nk_78_2,Nush,2015,0.706879161857776,1.02769271236,3.1284496372974e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
102,1.07779740263018,0.707136761123389,53.448,106.896,2015_nk_78_2,Nush,2015,0.70690328348275,1.02838712461732,6.9441225731736e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
103,1.07063888942517,0.707607542206902,53.972,107.944,2015_nk_78_2,Nush,2015,0.706926722271576,1.02824985316975,-1.3727144756425e-4,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
104,1.05748083340718,0.70721272212106,54.496,108.992,2015_nk_78_2,Nush,2015,0.706936150546237,1.0293604050765,0.00111055190674181,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
105,1.08421098083727,0.706976074530154,55.02,110.04,2015_nk_78_2,Nush,2015,0.706950562973277,1.03119066737452,0.00183026229801997,285.731787362605,491.490776831731,969.4,0.705123408789217,154.44045598157436,NA
