Cycle,Sr88,Iso,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core,Landmark
19,0.263938339460129,0.708484568215377,9.956,19.912,2015_nk_275_redo,Nush,2015,NA,NA,NA,482.057282136862,640.719568922136,1022.848,0.705728102786204,140.69291198928337,NA
20,1.01096467528043,0.707958648622677,10.48,20.96,2015_nk_275_redo,Nush,2015,NA,NA,NA,482.057282136862,640.719568922136,1022.848,0.705728102786204,140.69291198928337,NA
21,1.27110399694045,0.708384674516059,11.004,22.008,2015_nk_275_redo,Nush,2015,NA,NA,NA,482.057282136862,640.719568922136,1022.848,0.705728102786204,140.69291198928337,NA
22,1.30105013770265,0.707985563538213,11.528,23.056,2015_nk_275_redo,Nush,2015,NA,NA,NA,482.057282136862,640.719568922136,1022.848,0.705728102786204,140.69291198928337,NA
23,1.33019274059547,0.707244356752298,12.052,24.104,2015_nk_275_redo,Nush,2015,NA,NA,NA,482.057282136862,640.719568922136,1022.848,0.705728102786204,140.69291198928337,NA
24,1.32351726531179,0.708578947497153,12.576,25.152,2015_nk_275_redo,Nush,2015,NA,NA,NA,482.057282136862,640.719568922136,1022.848,0.705728102786204,140.69291198928337,NA
25,1.3367050311671,0.708132377325641,13.1,26.2,2015_nk_275_redo,Nush,2015,NA,NA,NA,482.057282136862,640.719568922136,1022.848,0.705728102786204,140.69291198928337,NA
26,1.35955269179099,0.708051182198396,13.624,27.248,2015_nk_275_redo,Nush,2015,NA,NA,NA,482.057282136862,640.719568922136,1022.848,0.705728102786204,140.69291198928337,NA
27,1.39896767325948,0.708396652408628,14.148,28.296,2015_nk_275_redo,Nush,2015,NA,NA,NA,482.057282136862,640.719568922136,1022.848,0.705728102786204,140.69291198928337,NA
28,1.38861894185195,0.707172067467749,14.672,29.344,2015_nk_275_redo,Nush,2015,NA,NA,NA,482.057282136862,640.719568922136,1022.848,0.705728102786204,140.69291198928337,NA
29,1.40763998120691,0.707682550211336,15.196,30.392,2015_nk_275_redo,Nush,2015,NA,NA,NA,482.057282136862,640.719568922136,1022.848,0.705728102786204,140.69291198928337,NA
30,1.4607017836817,0.708732932544785,15.72,31.44,2015_nk_275_redo,Nush,2015,NA,NA,NA,482.057282136862,640.719568922136,1022.848,0.705728102786204,140.69291198928337,NA
31,1.43280125863234,0.708475494621417,16.244,32.488,2015_nk_275_redo,Nush,2015,NA,NA,NA,482.057282136862,640.719568922136,1022.848,0.705728102786204,140.69291198928337,NA
32,1.42096542364531,0.708792637840522,16.768,33.536,2015_nk_275_redo,Nush,2015,NA,NA,NA,482.057282136862,640.719568922136,1022.848,0.705728102786204,140.69291198928337,NA
33,1.40782162810956,0.708353340593322,17.292,34.584,2015_nk_275_redo,Nush,2015,NA,NA,NA,482.057282136862,640.719568922136,1022.848,0.705728102786204,140.69291198928337,NA
34,1.41073872850565,0.708150827208272,17.816,35.632,2015_nk_275_redo,Nush,2015,NA,NA,NA,482.057282136862,640.719568922136,1022.848,0.705728102786204,140.69291198928337,NA
35,1.41865443128854,0.708628946687786,18.34,36.68,2015_nk_275_redo,Nush,2015,NA,NA,NA,482.057282136862,640.719568922136,1022.848,0.705728102786204,140.69291198928337,NA
