Cycle,Time,Iso,Sr88,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core,Landmark
30,15.72,0.70871044083615,0.430649729678432,31.44,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
31,16.244,0.706068351592597,0.554368223265608,32.488,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
32,16.768,0.709005117097885,0.65480735225063,33.536,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
33,17.292,0.708997621807137,0.702640195771752,34.584,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
34,17.816,0.709294460295173,0.698528162513662,35.632,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
35,18.34,0.708481872192208,0.695137028966463,36.68,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
36,18.864,0.710506075673701,0.68487916937981,37.728,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
37,19.388,0.708062921987936,0.684685428199598,38.776,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
38,19.912,0.707936664598513,0.678039014959749,39.824,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
39,20.436,0.709236876668624,0.684648148989539,40.872,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
40,20.96,0.708649223191656,0.687848999628074,41.92,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
41,21.484,0.707711958767915,0.681616508022899,42.968,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
42,22.008,0.708865468034161,0.677607626508154,44.016,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
43,22.532,0.70880443940917,0.684047364270143,45.064,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
44,23.056,0.707472503373948,0.681762320615242,46.112,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
45,23.58,0.709564604882227,0.670832176003249,47.16,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
46,24.104,0.707953807126269,0.664416193513039,48.208,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
47,24.628,0.707307204092764,0.669335821425475,49.256,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
48,25.152,0.708788381267734,0.680788098120815,50.304,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
49,25.676,0.706653961630836,0.667890191940818,51.352,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
50,26.2,0.711349633849182,0.663373292129684,52.4,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
51,26.724,0.708118882315903,0.656588503665975,53.448,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
52,27.248,0.708057988585266,0.652201634014618,54.496,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
53,27.772,0.70854226274089,0.655027642910165,55.544,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
54,28.296,0.70898335502731,0.640751165595924,56.592,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
55,28.82,0.709982505840751,0.638077819242556,57.64,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
56,29.344,0.708293667351642,0.632383955121036,58.688,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
57,29.868,0.709279820917072,0.629415205433476,59.736,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
58,30.392,0.708382624429434,0.633762174382461,60.784,2014_nk_157,Nush,2014,NA,NA,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
59,30.916,0.707000679274813,0.639827097166641,61.832,2014_nk_157,Nush,2014,0.708692480191157,0.65436287763577194,NA,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
60,31.44,0.708289102651182,0.631352823358596,62.88,2014_nk_157,Nush,2014,0.70871193747412,0.658951999622816,0.00458912198704409,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
61,31.964,0.709181805415345,0.627162097506421,63.928,2014_nk_157,Nush,2014,0.708734393703705,0.661475942317485,0.00252394269466827,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
62,32.488,0.708887994753698,0.631138639665945,64.976,2014_nk_157,Nush,2014,0.70873918911594,0.662376487281076,9.0054496359159e-4,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
63,33.012,0.708247351832964,0.646026590291585,66.024,2014_nk_157,Nush,2014,0.708743316445141,0.662720959523121,3.4447224204536e-4,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
64,33.536,0.710278428530612,0.646956168904786,67.072,2014_nk_157,Nush,2014,0.708720700073251,0.663027521594546,3.0656207142409e-4,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
65,34.06,0.709872577895037,0.642396758296559,68.12,2014_nk_157,Nush,2014,0.708746781660563,0.66362303076132,5.9550916677464e-4,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
66,34.584,0.707767577621141,0.638818457205382,69.168,2014_nk_157,Nush,2014,0.70871182366192,0.664355255384782,7.3222462346134e-4,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
67,35.108,0.70954590255751,0.629362514818426,70.216,2014_nk_157,Nush,2014,0.708715801295722,0.665201192332999,8.4593694821777e-4,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
68,35.632,0.710282946808731,0.625617602050844,71.264,2014_nk_157,Nush,2014,0.708723875924492,0.666171396472653,9.7020413965365e-4,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
69,36.156,0.706727835618122,0.63167916174028,72.312,2014_nk_157,Nush,2014,0.708744245463754,0.667504199317749,0.00133280284509585,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
70,36.68,0.708849711742407,0.635139507602799,73.36,2014_nk_157,Nush,2014,0.708756985768819,0.668451276831825,9.4707751407607e-4,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
71,37.204,0.707958321150616,0.627118148568414,74.408,2014_nk_157,Nush,2014,0.708770613451484,0.669690303902946,0.00123902707112145,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
72,37.728,0.708973270638842,0.636796931912735,75.456,2014_nk_157,Nush,2014,0.70878557739247,0.670962464622953,0.00127216072000669,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
73,38.252,0.710991671051906,0.63886448695207,76.504,2014_nk_157,Nush,2014,0.708751408111691,0.672300177771279,0.00133771314832587,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
74,38.776,0.709415977681145,0.63349543835531,77.552,2014_nk_157,Nush,2014,0.708761828147431,0.673408443310542,0.00110826553926313,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
75,39.3,0.710672568983077,0.629732952963001,78.6,2014_nk_157,Nush,2014,0.708745562769082,0.675038909413062,0.00163046610251982,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
76,39.824,0.71140063856893,0.641233475667681,79.648,2014_nk_157,Nush,2014,0.708786700471652,0.677028011505745,0.00198910209268355,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
77,40.348,0.709008786747497,0.659826212469563,80.696,2014_nk_157,Nush,2014,0.708791114258595,0.679159904840356,0.00213189333461083,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
78,40.872,0.70765366453277,0.65060470838184,81.744,2014_nk_157,Nush,2014,0.708777087637429,0.680812150214111,0.00165224537375475,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
79,41.396,0.708161593306021,0.649528356462078,82.792,2014_nk_157,Nush,2014,0.708831358395269,0.682812730283902,0.00200058006979054,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
80,41.92,0.70706344214961,0.662329835979014,83.84,2014_nk_157,Nush,2014,0.708815320721866,0.685049011326241,0.00223628104233942,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
81,42.444,0.707761737514607,0.666967787066021,84.888,2014_nk_157,Nush,2014,0.70881492603133,0.687770101050448,0.00272108972420737,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
82,42.968,0.709820662724817,0.675857755157487,85.936,2014_nk_157,Nush,2014,0.70881973109075,0.690535319801106,0.00276521875065761,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
83,43.492,0.708224887592942,0.677358457570344,86.984,2014_nk_157,Nush,2014,0.708837176879594,0.692923219208834,0.00238789940772766,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
84,44.016,0.706860121032586,0.683983033238946,88.032,2014_nk_157,Nush,2014,0.708834928042551,0.695551634209893,0.00262841500105915,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
85,44.54,0.708694736826663,0.689777175596543,89.08,2014_nk_157,Nush,2014,0.708820902599225,0.69835147603853,0.00279984182863702,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
86,45.064,0.708862619101302,0.688303555203463,90.128,2014_nk_157,Nush,2014,0.7088249265498,0.701185100062023,0.00283362402349274,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
87,45.588,0.708969036895263,0.686493267868353,91.176,2014_nk_157,Nush,2014,0.708805940157888,0.703943439398141,0.00275833933611835,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
88,46.112,0.708570034309464,0.695241916082559,92.224,2014_nk_157,Nush,2014,0.708850694617206,0.706638112419139,0.00269467302099835,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
89,46.636,0.708490430375735,0.70667259752361,93.272,2014_nk_157,Nush,2014,0.708855466273544,0.709630959725379,0.00299284730623972,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
90,47.16,0.709877877813912,0.705997048901076,94.32,2014_nk_157,Nush,2014,0.708863608031505,0.71243057918172,0.00279961945634144,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
91,47.684,0.707415725367695,0.705804784945709,95.368,2014_nk_157,Nush,2014,0.708860010887601,0.715239494197564,0.00280891501584346,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
92,48.208,0.709292841831975,0.708840050066123,96.416,2014_nk_157,Nush,2014,0.708852289911242,0.717820881365819,0.00258138716825473,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
93,48.732,0.709245261559223,0.723308530294475,97.464,2014_nk_157,Nush,2014,0.708878634214094,0.720387922173096,0.00256704080727732,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
94,49.256,0.707937477981763,0.716921886799105,98.512,2014_nk_157,Nush,2014,0.70885740632804,0.722917028858573,0.00252910668547757,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
95,49.78,0.710046767430961,0.73086757897294,99.56,2014_nk_157,Nush,2014,0.708858451934827,0.725634625688556,0.00271759682998285,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
96,50.304,0.708408595755099,0.728812646787488,100.608,2014_nk_157,Nush,2014,0.708897120665543,0.728298624436472,0.00266399874791612,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
97,50.828,0.708301580016085,0.73544164509267,101.656,2014_nk_157,Nush,2014,0.708864430992693,0.731233902595804,0.00293527815933148,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
98,51.352,0.708421142324712,0.73625126333897,102.704,2014_nk_157,Nush,2014,0.70884120618601,0.734390915267678,0.00315701267187418,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
99,51.876,0.71045904902435,0.764616319695284,103.752,2014_nk_157,Nush,2014,0.708900860314374,0.737424503131884,0.0030335878642056,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
100,52.4,0.709413641495566,0.744673650472644,104.8,2014_nk_157,Nush,2014,0.708902997632149,0.740422060597001,0.00299755746511732,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
101,52.924,0.708529619727774,0.755958132290183,105.848,2014_nk_157,Nush,2014,0.708935410824463,0.743758374101701,0.00333631350470021,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
102,53.448,0.709763304493351,0.753937269708553,106.896,2014_nk_157,Nush,2014,0.7089330022679,0.746816250080405,0.00305787597870377,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
103,53.972,0.706754282562408,0.764310153169698,107.944,2014_nk_157,Nush,2014,0.708900363460038,0.749770339573191,0.00295408949278619,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
104,54.496,0.708097705518342,0.748258252971027,108.992,2014_nk_157,Nush,2014,0.708880821967102,0.752797846861088,0.00302750728789725,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
105,55.02,0.708588682181274,0.768660142154444,110.04,2014_nk_157,Nush,2014,0.70885927499776,0.755964153735695,0.00316630687460695,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
106,55.544,0.71042206928051,0.783762319074048,111.088,2014_nk_157,Nush,2014,0.708835475996246,0.758810351770354,0.00284619803465835,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
107,56.068,0.707572031309355,0.79724942150213,112.136,2014_nk_157,Nush,2014,0.708831471979471,0.761431323751652,0.00262097198129807,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
108,56.592,0.707946783997722,0.7799228205461,113.184,2014_nk_157,Nush,2014,0.708845148567882,0.763773547844248,0.00234222409259588,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
109,57.116,0.709910207101251,0.787924996128253,114.232,2014_nk_157,Nush,2014,0.708838460773268,0.76590665375917,0.00213310591492266,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
110,57.64,0.710387373445028,0.79755015467005,115.28,2014_nk_157,Nush,2014,0.70888876408269,0.767969879180984,0.0020632254218137,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
111,58.164,0.708095200883756,0.819853887118417,116.328,2014_nk_157,Nush,2014,0.708904528781477,0.77020958617154,0.00223970699055631,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
112,58.688,0.70834629215046,0.818114759054077,117.376,2014_nk_157,Nush,2014,0.708887201581122,0.772367113698489,0.00215752752694875,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
113,59.212,0.709589010071517,0.798301607373823,118.424,2014_nk_157,Nush,2014,0.708880212181379,0.774385246610261,0.00201813291177178,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
114,59.736,0.708848424804752,0.798456065659467,119.472,2014_nk_157,Nush,2014,0.70892426610959,0.77645904861344,0.0020738020031793,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
115,60.26,0.70914097924115,0.806068328960779,120.52,2014_nk_157,Nush,2014,0.708924766277918,0.778336606890951,0.00187755827751124,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
116,60.784,0.708535104386185,0.802401396530599,121.568,2014_nk_157,Nush,2014,0.708934925504298,0.780268306967283,0.00193170007633181,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
117,61.308,0.708140637402344,0.794915565600574,122.616,2014_nk_157,Nush,2014,0.708939659908496,0.781971552819612,0.00170324585232828,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
118,61.832,0.711067891988507,0.79544255564237,123.664,2014_nk_157,Nush,2014,0.70897219259359,0.783346642995536,0.00137509017592441,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
119,62.356,0.707286978655047,0.819397935541024,124.712,2014_nk_157,Nush,2014,0.708970373577659,0.784575077474711,0.00122843447917542,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
120,62.88,0.708777608128877,0.799329990739079,125.76,2014_nk_157,Nush,2014,0.708956082829161,0.785823513397381,0.00124843592266954,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
121,63.404,0.708965976781099,0.795696998457029,126.808,2014_nk_157,Nush,2014,0.708972436697656,0.786991886037901,0.00116837264051994,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
122,63.928,0.708424736172173,0.786021869761225,127.856,2014_nk_157,Nush,2014,0.708969183970795,0.787860507276806,8.6862123890552e-4,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
123,64.452,0.709828010004076,0.800049038728224,128.904,2014_nk_157,Nush,2014,0.708964540515722,0.78824340774213,3.8290046532385e-4,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
124,64.976,0.709004755367356,0.798702570033443,129.952,2014_nk_157,Nush,2014,0.708987506215438,0.788767533913091,5.2412617096098e-4,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
125,65.5,0.709935314302248,0.80545256809553,131,2014_nk_157,Nush,2014,0.708970939597775,0.788967099864093,1.9956595100212e-4,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
126,66.024,0.710087701464136,0.798658382080345,132.048,2014_nk_157,Nush,2014,0.708994871222759,0.78910456222653,1.3746236243672e-4,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
127,66.548,0.707584522186477,0.805479204378314,133.096,2014_nk_157,Nush,2014,0.708986101154175,0.789184503606766,7.99413802360371e-5,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
128,67.072,0.708889458407765,0.815038362363293,134.144,2014_nk_157,Nush,2014,0.709015544707097,0.7891598526773,-2.46509294663522e-5,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
129,67.596,0.710307083319979,0.813694433592618,135.192,2014_nk_157,Nush,2014,0.70900985815125706,0.78844652943812,-7.1332323917983e-4,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
130,68.12,0.708977950808899,0.814992955509834,136.24,2014_nk_157,Nush,2014,0.709003817895713,0.787962313365868,-4.8421607225146e-4,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
131,68.644,0.709903112689477,0.827296958850435,137.288,2014_nk_157,Nush,2014,0.709005629861433,0.787490371083263,-4.7194228260516e-4,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
132,69.168,0.708828757245039,0.820269490634954,138.336,2014_nk_157,Nush,2014,0.708985327630927,0.786966801595486,-5.235694877772e-4,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
133,69.692,0.709033342580174,0.816109856519247,139.384,2014_nk_157,Nush,2014,0.709006988842311,0.786205765183913,-7.6103641157332e-4,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
134,70.216,0.70824348810499,0.815145875629138,140.432,2014_nk_157,Nush,2014,0.709044369818863,0.785635825545709,-5.6993963820362e-4,540.776995864461,649.121985951112,1165.376,0.708081948142527,273.8242698158656,NA
