Cycle,Time,Iso,Sr88,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core,Landmark
514,269.336,0.704991604779486,0.118975970354734,538.672,2020_kk_311,Kusko,2020,NA,NA,NA,1482.35823258801,1741.58577745379,2105.432,0.707513259275862,1127.3098743469525,NA
515,269.86,0.70970228913225,0.144533269199611,539.72,2020_kk_311,Kusko,2020,NA,NA,NA,1482.35823258801,1741.58577745379,2105.432,0.707513259275862,1127.3098743469525,NA
516,270.384,0.716575815792366,0.150485007188214,540.768,2020_kk_311,Kusko,2020,NA,NA,NA,1482.35823258801,1741.58577745379,2105.432,0.707513259275862,1127.3098743469525,NA
517,270.908,0.709824867605816,0.151546538959197,541.816,2020_kk_311,Kusko,2020,NA,NA,NA,1482.35823258801,1741.58577745379,2105.432,0.707513259275862,1127.3098743469525,NA
518,271.432,0.704426162163728,0.156789212308905,542.864,2020_kk_311,Kusko,2020,NA,NA,NA,1482.35823258801,1741.58577745379,2105.432,0.707513259275862,1127.3098743469525,NA
519,271.956,0.709258531115597,0.168546940343319,543.912,2020_kk_311,Kusko,2020,NA,NA,NA,1482.35823258801,1741.58577745379,2105.432,0.707513259275862,1127.3098743469525,NA
520,272.48,0.708805173347412,0.188566665372096,544.96,2020_kk_311,Kusko,2020,NA,NA,NA,1482.35823258801,1741.58577745379,2105.432,0.707513259275862,1127.3098743469525,NA
521,273.004,0.70559907460171,0.20870410510319,546.008,2020_kk_311,Kusko,2020,NA,NA,NA,1482.35823258801,1741.58577745379,2105.432,0.707513259275862,1127.3098743469525,NA
522,273.528,0.707879218903375,0.224698186752542,547.056,2020_kk_311,Kusko,2020,NA,NA,NA,1482.35823258801,1741.58577745379,2105.432,0.707513259275862,1127.3098743469525,NA
523,274.052,0.706573908021556,0.231730438852257,548.104,2020_kk_311,Kusko,2020,NA,NA,NA,1482.35823258801,1741.58577745379,2105.432,0.707513259275862,1127.3098743469525,NA
