Cycle,Sr88,Iso,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core,Landmark
7,0.655252170245034,0.708614591747744,3.668,7.336,2015_nk_258,Nush,2015,NA,NA,NA,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,NA
8,0.85174782189508,0.708708082982872,4.192,8.384,2015_nk_258,Nush,2015,NA,NA,NA,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,NA
9,0.885843978983703,0.708765511297251,4.716,9.432,2015_nk_258,Nush,2015,NA,NA,NA,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,NA
10,0.896692191462907,0.708634523867524,5.24,10.48,2015_nk_258,Nush,2015,NA,NA,NA,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,NA
11,0.882701358545564,0.708287975940441,5.764,11.528,2015_nk_258,Nush,2015,NA,NA,NA,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,NA
12,0.869283133831848,0.708155091736271,6.288,12.576,2015_nk_258,Nush,2015,NA,NA,NA,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,NA
13,0.874128831015263,0.708905887984664,6.812,13.624,2015_nk_258,Nush,2015,NA,NA,NA,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,NA
14,0.903696958673769,0.706734207078095,7.336,14.672,2015_nk_258,Nush,2015,NA,NA,NA,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,NA
15,0.893627886936718,0.709274102358357,7.86,15.72,2015_nk_258,Nush,2015,NA,NA,NA,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,NA
16,0.885566745821112,0.709598501363195,8.384,16.768,2015_nk_258,Nush,2015,NA,NA,NA,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,NA
17,0.884331224043427,0.708606066125033,8.908,17.816,2015_nk_258,Nush,2015,NA,NA,NA,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,NA
18,0.88545777716225,0.707585895627062,9.432,18.864,2015_nk_258,Nush,2015,NA,NA,NA,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,NA
19,0.869608456195976,0.708406932245494,9.956,19.912,2015_nk_258,Nush,2015,NA,NA,NA,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,NA
20,0.860686191239535,0.708342575762227,10.48,20.96,2015_nk_258,Nush,2015,NA,NA,NA,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,NA
21,0.900017605776973,0.707969592679581,11.004,22.008,2015_nk_258,Nush,2015,NA,NA,NA,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,NA
22,0.86625861674843,0.707092786785945,11.528,23.056,2015_nk_258,Nush,2015,NA,NA,NA,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,NA
23,0.849610176086211,0.707402048752471,12.052,24.104,2015_nk_258,Nush,2015,NA,NA,NA,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,NA
24,0.879802666436969,0.707022206477988,12.576,25.152,2015_nk_258,Nush,2015,NA,NA,NA,463.123254422392,652.460043043303,1025.992,0.705704034800763,178.28845545880773,NA
