Cycle,Time,Iso,Sr88,Microns,Fish_id,Watershed,Year
171,89.604,0.7031773087065357,0.2101082647657836,179.208,2021_kk_180_r1,Kusko,2021
172,90.128,0.7067280610975584,0.24347141874109793,180.256,2021_kk_180_r1,Kusko,2021
173,90.652,0.7106440493610056,0.28445172921735173,181.304,2021_kk_180_r1,Kusko,2021
174,91.176,0.7057076293998436,0.3229300350397529,182.352,2021_kk_180_r1,Kusko,2021
175,91.7,0.7074671996185212,0.3454005271671547,183.4,2021_kk_180_r1,Kusko,2021
176,92.224,0.7077090109208625,0.35840804324809566,184.448,2021_kk_180_r1,Kusko,2021
177,92.748,0.7054170217962471,0.36319595911649566,185.496,2021_kk_180_r1,Kusko,2021
178,93.272,0.7101056494696394,0.3621809355845704,186.544,2021_kk_180_r1,Kusko,2021
179,93.796,0.7103140422050873,0.3661638483256655,187.592,2021_kk_180_r1,Kusko,2021
180,94.32000000000001,0.7054429030570759,0.3674201994197798,188.64000000000001,2021_kk_180_r1,Kusko,2021
181,94.84400000000001,0.7079553129404138,0.37139442436587944,189.68800000000002,2021_kk_180_r1,Kusko,2021
182,95.36800000000001,0.708103347695792,0.3790713717879592,190.73600000000002,2021_kk_180_r1,Kusko,2021
183,95.89200000000001,0.7078574083598166,0.3836664508979624,191.78400000000002,2021_kk_180_r1,Kusko,2021
184,96.41600000000001,0.7078634019278496,0.3927553808500256,192.83200000000002,2021_kk_180_r1,Kusko,2021
185,96.94,0.7067698064679834,0.38963448351338525,193.88,2021_kk_180_r1,Kusko,2021
186,97.464,0.7083720479337364,0.39038179405258133,194.928,2021_kk_180_r1,Kusko,2021
187,97.988,0.7073808457153712,0.39234861932121246,195.976,2021_kk_180_r1,Kusko,2021
188,98.512,0.7067089786793932,0.3876480037691111,197.024,2021_kk_180_r1,Kusko,2021
189,99.036,0.7074293236045813,0.3886534301489813,198.072,2021_kk_180_r1,Kusko,2021
190,99.56,0.7089739957757385,0.39647103660675137,199.12,2021_kk_180_r1,Kusko,2021
191,100.084,0.7042786829331811,0.40543471921567936,200.168,2021_kk_180_r1,Kusko,2021
192,100.608,0.7078701839992158,0.41225591429907055,201.216,2021_kk_180_r1,Kusko,2021
193,101.132,0.706579386770671,0.41950267527358215,202.264,2021_kk_180_r1,Kusko,2021
194,101.656,0.7071493390197328,0.4242729244405524,203.312,2021_kk_180_r1,Kusko,2021
195,102.18,0.7052399390715859,0.4241127464364296,204.36,2021_kk_180_r1,Kusko,2021
196,102.70400000000001,0.7091697039216052,0.42985332459368586,205.40800000000002,2021_kk_180_r1,Kusko,2021
197,103.22800000000001,0.7091320817046737,0.435371905922636,206.45600000000002,2021_kk_180_r1,Kusko,2021
198,103.75200000000001,0.7056273314203123,0.43913594927091054,207.50400000000002,2021_kk_180_r1,Kusko,2021
199,104.27600000000001,0.7082637257561417,0.4405125211866392,208.55200000000002,2021_kk_180_r1,Kusko,2021
200,104.80000000000001,0.7083896793930974,0.45025651358857377,209.60000000000002,2021_kk_180_r1,Kusko,2021
201,105.32400000000001,0.7081944466110064,0.45256571405126333,210.64800000000002,2021_kk_180_r1,Kusko,2021
202,105.848,0.7091751434419724,0.4535801378014941,211.696,2021_kk_180_r1,Kusko,2021
203,106.372,0.7062735858106092,0.45372562312809,212.744,2021_kk_180_r1,Kusko,2021
204,106.896,0.7071934348146086,0.4514061431931096,213.792,2021_kk_180_r1,Kusko,2021
205,107.42,0.7080483609324033,0.4615403399137984,214.84,2021_kk_180_r1,Kusko,2021
206,107.944,0.7091023434730097,0.45741787159020014,215.888,2021_kk_180_r1,Kusko,2021
207,108.468,0.7077656188250744,0.46147407027879767,216.936,2021_kk_180_r1,Kusko,2021
208,108.992,0.7080580684782413,0.4712996048075179,217.984,2021_kk_180_r1,Kusko,2021
209,109.516,0.7058389296418455,0.4605840107492293,219.032,2021_kk_180_r1,Kusko,2021
210,110.04,0.7079902039641003,0.46622030913230605,220.08,2021_kk_180_r1,Kusko,2021
211,110.56400000000001,0.7094978541388849,0.46556650652621606,221.12800000000001,2021_kk_180_r1,Kusko,2021
212,111.08800000000001,0.7079875872133734,0.4760551124972513,222.17600000000002,2021_kk_180_r1,Kusko,2021
213,111.61200000000001,0.7098761687731596,0.48149015805136713,223.22400000000002,2021_kk_180_r1,Kusko,2021
214,112.13600000000001,0.704444113256251,0.4822860762754981,224.27200000000002,2021_kk_180_r1,Kusko,2021
215,112.66000000000001,0.7049872667800393,0.4766829727593177,225.32000000000002,2021_kk_180_r1,Kusko,2021
216,113.18400000000001,0.7087926263427321,0.4806948517433928,226.36800000000002,2021_kk_180_r1,Kusko,2021
217,113.708,0.7078303205113315,0.476939436104197,227.416,2021_kk_180_r1,Kusko,2021
218,114.232,0.7078580496108279,0.4756561850911004,228.464,2021_kk_180_r1,Kusko,2021
219,114.756,0.7085457030519277,0.4749901262219802,229.512,2021_kk_180_r1,Kusko,2021
220,115.28,0.7065283973784422,0.4714724350523661,230.56,2021_kk_180_r1,Kusko,2021
221,115.804,0.7067196821168025,0.4775521675608705,231.608,2021_kk_180_r1,Kusko,2021
222,116.328,0.7066709625849036,0.47324871980113387,232.656,2021_kk_180_r1,Kusko,2021
223,116.852,0.7070361978727483,0.47097217272269576,233.704,2021_kk_180_r1,Kusko,2021
224,117.376,0.7081892166588718,0.46500103612440047,234.752,2021_kk_180_r1,Kusko,2021
225,117.9,0.7078776399604244,0.4696836510836981,235.8,2021_kk_180_r1,Kusko,2021
226,118.424,0.7096678573699943,0.4560268646164677,236.848,2021_kk_180_r1,Kusko,2021
227,118.94800000000001,0.7062338941691957,0.4683621450099208,237.89600000000002,2021_kk_180_r1,Kusko,2021
228,119.47200000000001,0.706510894850408,0.45788393302209274,238.94400000000002,2021_kk_180_r1,Kusko,2021
229,119.99600000000001,0.7061221996291104,0.4520190077416164,239.99200000000002,2021_kk_180_r1,Kusko,2021
