"Cycle","Time","Iso","Sr88","Microns","Fish_id","Watershed","Year","Iso_MA","natal_iso","marine_start_index","natal_start_index","natal_end_index"
787,412.388,0.708945140152768,2.225700280071,824.776,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
788,412.912,0.709362141367942,2.23917848480897,825.824,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
789,413.436,0.708383509855518,2.27492014714454,826.872,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
790,413.96,0.709407338734439,2.2953245495298,827.92,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
791,414.484,0.70912578927174,2.28321686106426,828.968,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
792,415.008,0.709182645167422,2.27319709660275,830.016,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
793,415.532,0.708752033323742,2.29057210309908,831.064,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
794,416.056,0.709395478351445,2.30415711750555,832.112,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
795,416.58,0.708193189927438,2.31055537592583,833.16,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
796,417.104,0.708870737322298,2.3019785972267,834.208,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
797,417.628,0.709140842380144,2.30406348305239,835.256,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
798,418.152,0.709068277837814,2.32360075457726,836.304,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
799,418.676,0.708935275382063,2.31171039673738,837.352,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
800,419.2,0.709565320987951,2.30623369329161,838.4,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
801,419.724,0.709456118021132,2.32463268839251,839.448,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
802,420.248,0.70931173464209,2.32356682791694,840.496,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
803,420.772,0.709535281205506,2.34568208976588,841.544,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
804,421.296,0.708824074960436,2.35189507818068,842.592,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
805,421.82,0.709299754578836,2.36115312985526,843.64,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
806,422.344,0.709219735538256,2.38751154351878,844.688,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
807,422.868,0.70897721310831,2.39037052676966,845.736,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
808,423.392,0.70921548120607,2.42598772671307,846.784,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
809,423.916,0.708680953547757,2.42444171333333,847.832,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
810,424.44,0.70926865674931,2.44049036803845,848.88,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
811,424.964,0.709222916793421,2.44723037934286,849.928,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
812,425.488,0.708467672521254,2.48678522604294,850.976,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
813,426.012,0.709266676117858,2.46875551504541,852.024,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
814,426.536,0.709501698369935,2.49654139612334,853.072,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
815,427.06,0.709571332112612,2.48447401217324,854.12,"2019_kk_052_sld32","Kusko",2019,NA,0.709171094,30,823.8445574,1037.633553
816,427.584,0.708795273066965,2.45557838344122,855.168,"2019_kk_052_sld32","Kusko",2019,0.709131709927991,0.709171094,30,823.8445574,1037.633553
