"Cycle","Time","Iso","Sr88","Fish_id","Watershed","Year","Microns","Iso_MA","natal_iso"
576,301.824,0.708617808993913,1.8035392718554,"2015_yk_554","Yukon",2015,603.648,0.707757837354877,0.707734887346583
577,302.348,0.70740469169893,1.79008120055525,"2015_yk_554","Yukon",2015,604.696,0.707752887737532,0.707734887346583
578,302.872,0.707958162955002,1.78703800660391,"2015_yk_554","Yukon",2015,605.744,0.70775964703544,0.707734887346583
579,303.396,0.707567098580144,1.782876522033,"2015_yk_554","Yukon",2015,606.792,0.707748687692349,0.707734887346583
580,303.92,0.707896858656235,1.80529931321062,"2015_yk_554","Yukon",2015,607.84,0.707743987095803,0.707734887346583
581,304.444,0.707744546423295,1.87784030023919,"2015_yk_554","Yukon",2015,608.888,0.707736684660669,0.707734887346583
582,304.968,0.707783079413691,1.84969330300584,"2015_yk_554","Yukon",2015,609.936,0.707747362734269,0.707734887346583
583,305.492,0.708065644372198,1.83308197978218,"2015_yk_554","Yukon",2015,610.984,0.707765191692211,0.707734887346583
584,306.016,0.707150696045731,1.81553395114137,"2015_yk_554","Yukon",2015,612.032,0.707766625660115,0.707734887346583
585,306.54,0.70706184236163,1.86872862286248,"2015_yk_554","Yukon",2015,613.08,0.707743417272204,0.707734887346583
586,307.064,0.708511758520403,1.82345117179774,"2015_yk_554","Yukon",2015,614.128,0.707758093932065,0.707734887346583
587,307.588,0.707221788646828,1.82496581806196,"2015_yk_554","Yukon",2015,615.176,0.707746563307045,0.707734887346583
588,308.112,0.707767748064563,1.8681868144195,"2015_yk_554","Yukon",2015,616.224,0.707747473241594,0.707734887346583
589,308.636,0.708835843088114,1.91716342671582,"2015_yk_554","Yukon",2015,617.272,0.707745675779166,0.707734887346583
590,309.16,0.707833979375763,1.8837710640214,"2015_yk_554","Yukon",2015,618.32,0.707735483678509,0.707734887346583
591,309.684,0.707640334874553,1.84316843987217,"2015_yk_554","Yukon",2015,619.368,0.707745843431399,0.707734887346583
592,310.208,0.708082530476463,1.84396736245757,"2015_yk_554","Yukon",2015,620.416,0.7077583841616,0.707734887346583
593,310.732,0.707674986196209,1.87776425665781,"2015_yk_554","Yukon",2015,621.464,0.707750118728119,0.707734887346583
594,311.256,0.707925363824182,1.86468498946803,"2015_yk_554","Yukon",2015,622.512,0.707731222788626,0.707734887346583
595,311.78,0.707548045531222,1.84440780976064,"2015_yk_554","Yukon",2015,623.56,0.707741238778421,0.707734887346583
596,312.304,0.70763293687236,1.8657168701421,"2015_yk_554","Yukon",2015,624.608,0.70773915666183,0.707734887346583
597,312.828,0.707104971351727,1.82436399633822,"2015_yk_554","Yukon",2015,625.656,0.707743513840267,0.707734887346583
598,313.352,0.707279186784679,1.90171164196334,"2015_yk_554","Yukon",2015,626.704,0.707735838770873,0.707734887346583
599,313.876,0.707935926921097,1.89785884649093,"2015_yk_554","Yukon",2015,627.752,0.707727047208119,0.707734887346583
600,314.4,0.707411403960432,1.89306822081109,"2015_yk_554","Yukon",2015,628.8,0.707718947192413,0.707734887346583
601,314.924,0.707113544229207,1.9409981726595,"2015_yk_554","Yukon",2015,629.848,0.707732652005817,0.707734887346583
602,315.448,0.707821022379439,1.92125013588095,"2015_yk_554","Yukon",2015,630.896,0.707738414825197,0.707734887346583
603,315.972,0.708158055345523,1.86431728305046,"2015_yk_554","Yukon",2015,631.944,0.70773372086207,0.707734887346583
604,316.496,0.707756040955608,1.89460560648222,"2015_yk_554","Yukon",2015,632.992,0.707723500671355,0.707734887346583
605,317.02,0.707143245994943,1.88952113979177,"2015_yk_554","Yukon",2015,634.04,0.707715726764078,0.707734887346583
606,317.544,0.707657497927072,1.85772050494974,"2015_yk_554","Yukon",2015,635.088,0.707701744150953,0.707734887346583
607,318.068,0.707815101707055,1.96669610618507,"2015_yk_554","Yukon",2015,636.136,0.707711877416744,0.707734887346583
608,318.592,0.707915543313218,1.94864998293111,"2015_yk_554","Yukon",2015,637.184,0.707708654697802,0.707734887346583
609,319.116,0.707450285903406,1.92411030790957,"2015_yk_554","Yukon",2015,638.232,0.707727714063443,0.707734887346583
610,319.64,0.707245858492007,1.90387227368402,"2015_yk_554","Yukon",2015,639.28,0.707734890035525,0.707734887346583
611,320.164,0.70736859682411,1.9142641779186,"2015_yk_554","Yukon",2015,640.328,0.707728917965517,0.707734887346583
612,320.688,0.708468759522738,1.92382158386273,"2015_yk_554","Yukon",2015,641.376,0.707711602223502,0.707734887346583
613,321.212,0.707948502578886,1.89191459871533,"2015_yk_554","Yukon",2015,642.424,0.707694586283746,0.707734887346583
614,321.736,0.707613582653636,1.90701790336684,"2015_yk_554","Yukon",2015,643.472,0.707712706103578,0.707734887346583
615,322.26,0.707222742534409,1.90693434752993,"2015_yk_554","Yukon",2015,644.52,0.707727781044594,0.707734887346583
616,322.784,0.70797096931436,1.92079511295362,"2015_yk_554","Yukon",2015,645.568,0.70771034161192,0.707734887346583
617,323.308,0.707504359803824,1.88185937615476,"2015_yk_554","Yukon",2015,646.616,0.707722919154868,0.707734887346583
618,323.832,0.708529978874188,1.98119868078228,"2015_yk_554","Yukon",2015,647.664,0.707721659884596,0.707734887346583
619,324.356,0.707402564280845,1.97542364432434,"2015_yk_554","Yukon",2015,648.712,0.707707569689245,0.707734887346583
620,324.88,0.707315841996312,1.98347485291167,"2015_yk_554","Yukon",2015,649.76,0.707704112165627,0.707734887346583
621,325.404,0.707740349597815,1.94678720026452,"2015_yk_554","Yukon",2015,650.808,0.707699031551065,0.707734887346583
