"Cycle","Time","Iso","Sr88","Fish_id","Watershed","Year","Microns","Iso_MA","natal_iso"
611,320.164,0.712382812191912,0.742018385810821,"2015_yk_065a","Yukon",2015,640.328,0.712933615211013,0.713038833586993
612,320.688,0.713434237998076,0.766374345369985,"2015_yk_065a","Yukon",2015,641.376,0.712927109865509,0.713038833586993
613,321.212,0.71283477437011,0.770928711915651,"2015_yk_065a","Yukon",2015,642.424,0.712892559443903,0.713038833586993
614,321.736,0.71319345378394,0.75780347542795,"2015_yk_065a","Yukon",2015,643.472,0.712896713076248,0.713038833586993
615,322.26,0.713593308572826,0.768057086258443,"2015_yk_065a","Yukon",2015,644.52,0.712923001249117,0.713038833586993
616,322.784,0.713821790553895,0.800098292186277,"2015_yk_065a","Yukon",2015,645.568,0.712897085363124,0.713038833586993
617,323.308,0.712890111231932,0.769892282332951,"2015_yk_065a","Yukon",2015,646.616,0.712901300082062,0.713038833586993
618,323.832,0.712762598362195,0.76650136590711,"2015_yk_065a","Yukon",2015,647.664,0.71288091770366,0.713038833586993
619,324.356,0.71442761502148,0.768068258851282,"2015_yk_065a","Yukon",2015,648.712,0.712904805388115,0.713038833586993
620,324.88,0.712710300835207,0.773414434104804,"2015_yk_065a","Yukon",2015,649.76,0.712908721370578,0.713038833586993
621,325.404,0.713332853013786,0.75864723974077,"2015_yk_065a","Yukon",2015,650.808,0.712918984851402,0.713038833586993
622,325.928,0.713959776601704,0.76004800497331,"2015_yk_065a","Yukon",2015,651.856,0.712913870589359,0.713038833586993
623,326.452,0.713493833137666,0.783500228484378,"2015_yk_065a","Yukon",2015,652.904,0.712911794519503,0.713038833586993
624,326.976,0.712913733613948,0.773543727413973,"2015_yk_065a","Yukon",2015,653.952,0.712924699459557,0.713038833586993
625,327.5,0.711825533479357,0.744448193539454,"2015_yk_065a","Yukon",2015,655,0.712946357193679,0.713038833586993
626,328.024,0.713072487952821,0.74663712742474,"2015_yk_065a","Yukon",2015,656.048,0.712922338595916,0.713038833586993
627,328.548,0.71303052490512,0.760288157884277,"2015_yk_065a","Yukon",2015,657.096,0.712927678102384,0.713038833586993
628,329.072,0.712652579388208,0.753874607692254,"2015_yk_065a","Yukon",2015,658.144,0.712951401610486,0.713038833586993
629,329.596,0.713149761520653,0.731534596606208,"2015_yk_065a","Yukon",2015,659.192,0.71295014313262,0.713038833586993
630,330.12,0.712582070036034,0.768475806711407,"2015_yk_065a","Yukon",2015,660.24,0.712968273337958,0.713038833586993
631,330.644,0.713389747065516,0.756289530568044,"2015_yk_065a","Yukon",2015,661.288,0.712984559349158,0.713038833586993
632,331.168,0.713098825967199,0.743793376423379,"2015_yk_065a","Yukon",2015,662.336,0.712977441466544,0.713038833586993
633,331.692,0.712490271195679,0.735222330280047,"2015_yk_065a","Yukon",2015,663.384,0.712988047249692,0.713038833586993
634,332.216,0.713046970080809,0.761689479647725,"2015_yk_065a","Yukon",2015,664.432,0.71295841789734,0.713038833586993
635,332.74,0.713893085642824,0.75051690660444,"2015_yk_065a","Yukon",2015,665.48,0.712961220614891,0.713038833586993
636,333.264,0.711943047069541,0.721844978071402,"2015_yk_065a","Yukon",2015,666.528,0.71293944714224,0.713038833586993
637,333.788,0.712950288627086,0.740800601192603,"2015_yk_065a","Yukon",2015,667.576,0.712963139267382,0.713038833586993
638,334.312,0.712067065040297,0.750386092162072,"2015_yk_065a","Yukon",2015,668.624,0.712990702498052,0.713038833586993
639,334.836,0.712743929589749,0.728095070786787,"2015_yk_065a","Yukon",2015,669.672,0.712992908053914,0.713038833586993
640,335.36,0.712359653972713,0.725418996335823,"2015_yk_065a","Yukon",2015,670.72,0.712980067264787,0.713038833586993
641,335.884,0.714784047987521,0.734940128870737,"2015_yk_065a","Yukon",2015,671.768,0.7129946249223,0.713038833586993
642,336.408,0.71307096198886,0.729552746327366,"2015_yk_065a","Yukon",2015,672.816,0.712990852957629,0.713038833586993
643,336.932,0.712259781574714,0.723337087227834,"2015_yk_065a","Yukon",2015,673.864,0.713009035053015,0.713038833586993
644,337.456,0.713101763325835,0.721052502195327,"2015_yk_065a","Yukon",2015,674.912,0.712992541055445,0.713038833586993
645,337.98,0.71355737172531,0.751555710005692,"2015_yk_065a","Yukon",2015,675.96,0.712999573764047,0.713038833586993
646,338.504,0.712794463918248,0.72090013127798,"2015_yk_065a","Yukon",2015,677.008,0.712995521520428,0.713038833586993
647,339.028,0.711648199571566,0.706573499745828,"2015_yk_065a","Yukon",2015,678.056,0.713002139581768,0.713038833586993
648,339.552,0.711726019064221,0.722747223247977,"2015_yk_065a","Yukon",2015,679.104,0.713008412393557,0.713038833586993
649,340.076,0.713426153633155,0.733355918797577,"2015_yk_065a","Yukon",2015,680.152,0.712987440741424,0.713038833586993
650,340.6,0.71235667111771,0.697874947871106,"2015_yk_065a","Yukon",2015,681.2,0.712993757030841,0.713038833586993
651,341.124,0.71301214684687,0.69705495596082,"2015_yk_065a","Yukon",2015,682.248,0.712986765529838,0.713038833586993
652,341.648,0.71253298827249,0.724235774941469,"2015_yk_065a","Yukon",2015,683.296,0.712963494539366,0.713038833586993
653,342.172,0.7132503759352,0.720039815477134,"2015_yk_065a","Yukon",2015,684.344,0.71294791202952,0.713038833586993
