Cycle,Sr88,Iso,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
24,0.856208909140588,0.708927705350105,12.576,25.152,2015_nk_134_1,Nush,2015,NA,NA,NA,470.077612535667,628.087183317197,1086.776,0.704621008884582,230.92486965840587
25,1.32499923073352,0.707155423162998,13.1,26.2,2015_nk_134_1,Nush,2015,NA,NA,NA,470.077612535667,628.087183317197,1086.776,0.704621008884582,230.92486965840587
26,1.46606410598029,0.708063899132256,13.624,27.248,2015_nk_134_1,Nush,2015,NA,NA,NA,470.077612535667,628.087183317197,1086.776,0.704621008884582,230.92486965840587
27,1.49824025103718,0.70706429776385,14.148,28.296,2015_nk_134_1,Nush,2015,NA,NA,NA,470.077612535667,628.087183317197,1086.776,0.704621008884582,230.92486965840587
28,1.41457556727682,0.708148022474768,14.672,29.344,2015_nk_134_1,Nush,2015,NA,NA,NA,470.077612535667,628.087183317197,1086.776,0.704621008884582,230.92486965840587
29,1.32268285441677,0.707037675051499,15.196,30.392,2015_nk_134_1,Nush,2015,NA,NA,NA,470.077612535667,628.087183317197,1086.776,0.704621008884582,230.92486965840587
30,1.3855006888224,0.706638078793847,15.72,31.44,2015_nk_134_1,Nush,2015,NA,NA,NA,470.077612535667,628.087183317197,1086.776,0.704621008884582,230.92486965840587
31,1.47638319185673,0.707252659321142,16.244,32.488,2015_nk_134_1,Nush,2015,NA,NA,NA,470.077612535667,628.087183317197,1086.776,0.704621008884582,230.92486965840587
32,1.49629203551346,0.706120570920935,16.768,33.536,2015_nk_134_1,Nush,2015,NA,NA,NA,470.077612535667,628.087183317197,1086.776,0.704621008884582,230.92486965840587
33,1.50710290780563,0.707721153854147,17.292,34.584,2015_nk_134_1,Nush,2015,NA,NA,NA,470.077612535667,628.087183317197,1086.776,0.704621008884582,230.92486965840587
34,1.49758644828243,0.706700414169715,17.816,35.632,2015_nk_134_1,Nush,2015,NA,NA,NA,470.077612535667,628.087183317197,1086.776,0.704621008884582,230.92486965840587
35,1.57954293848679,0.707766032617919,18.34,36.68,2015_nk_134_1,Nush,2015,NA,NA,NA,470.077612535667,628.087183317197,1086.776,0.704621008884582,230.92486965840587
36,1.55761435065657,0.707423387982769,18.864,37.728,2015_nk_134_1,Nush,2015,NA,NA,NA,470.077612535667,628.087183317197,1086.776,0.704621008884582,230.92486965840587
37,1.47972243949787,0.707854523552192,19.388,38.776,2015_nk_134_1,Nush,2015,NA,NA,NA,470.077612535667,628.087183317197,1086.776,0.704621008884582,230.92486965840587
38,1.49888408883984,0.707455429527668,19.912,39.824,2015_nk_134_1,Nush,2015,NA,NA,NA,470.077612535667,628.087183317197,1086.776,0.704621008884582,230.92486965840587
39,1.61230172382072,0.707405931407009,20.436,40.872,2015_nk_134_1,Nush,2015,NA,NA,NA,470.077612535667,628.087183317197,1086.776,0.704621008884582,230.92486965840587
40,1.50312748966847,0.706565481679928,20.96,41.92,2015_nk_134_1,Nush,2015,NA,NA,NA,470.077612535667,628.087183317197,1086.776,0.704621008884582,230.92486965840587
