Cycle,time,Iso,Sr88,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
1,0.524,0.704588,1.169079,0.524,1.048,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
2,1.048,0.705352,1.19515,1.048,2.096,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
3,1.524,0.704982,1.204695,1.572,3.144,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
4,2.048,0.706383,1.191218,2.096,4.192,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
5,2.524,0.704787,1.199418,2.62,5.24,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
6,3.048,0.704992,1.209916,3.144,6.288,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
7,3.524,0.705086,1.206032,3.668,7.336,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
8,4.048,0.704859,1.20116,4.192,8.384,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
9,4.524,0.705911,1.203818,4.716,9.432,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
10,5.048,0.703491,1.204175,5.24,10.48,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
11,5.524,0.705162,1.202388,5.764,11.528,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
12,6.048,0.706339,1.210182,6.288,12.576,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
13,6.524,0.705322,1.221856,6.812,13.624,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
14,7.048,0.706203,1.21197,7.336,14.672,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
15,7.524,0.705637,1.210656,7.86,15.72,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
16,8.048,0.705341,1.209589,8.384,16.768,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
17,8.524,0.705499,1.199352,8.908,17.816,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
18,9.048,0.705142,1.215373,9.432,18.864,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
19,9.524,0.70478,1.221466,9.956,19.912,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
20,10.048,0.705947,1.226099,10.48,20.96,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
21,10.524,0.705053,1.229088,11.004,22.008,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
22,11.048,0.706107,1.228968,11.528,23.056,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
23,11.524,0.705469,1.234073,12.052,24.104,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
24,12.048,0.705911,1.212263,12.576,25.152,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
25,12.524,0.705721,1.210986,13.1,26.2,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
26,13.048,0.705857,1.213219,13.624,27.248,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
27,13.524,0.705009,1.203741,14.148,28.296,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
28,14.048,0.706012,1.213402,14.672,29.344,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
29,14.524,0.706234,1.216541,15.196,30.392,2011_nk_147,Nush,2011,NA,NA,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
30,15.048,0.705884,1.21752,15.72,31.44,2011_nk_147,Nush,2011,0.7055412,1.2178558,NA,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
31,15.524,0.705173,1.237518,16.244,32.488,2011_nk_147,Nush,2011,0.70555605,1.21899881666667,0.0011430166666666101,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
32,16.048,0.705511,1.242238,16.768,33.536,2011_nk_147,Nush,2011,0.705558433333333,1.21945875,4.5993333333349e-4,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
33,16.524,0.70516,1.222055,17.292,34.584,2011_nk_147,Nush,2011,0.705563766666667,1.21974296666667,2.8421666666655e-4,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
34,17.048,0.706203,1.226779,17.816,35.632,2011_nk_147,Nush,2011,0.705556083333333,1.22007605,3.3308333333348e-4,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
35,17.524,0.705998,1.216949,18.34,36.68,2011_nk_147,Nush,2011,0.70558325,1.22052103333333,4.4498333333331e-4,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
36,18.048,0.705549,1.204185,18.864,37.728,2011_nk_147,Nush,2011,0.705579366666667,1.2204974,-2.36333333334393e-5,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
37,18.524,0.704715,1.209648,19.388,38.776,2011_nk_147,Nush,2011,0.705585533333333,1.22072145,2.2404999999992e-4,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
38,19.048,0.705744,1.195718,19.912,39.824,2011_nk_147,Nush,2011,0.705581316666667,1.22089875,1.7730000000004e-4,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
39,19.524,0.705784,1.21288,20.436,40.872,2011_nk_147,Nush,2011,0.705572683333333,1.22125706666667,3.5831666666674e-4,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
40,20.048,0.705476,1.206472,20.96,41.92,2011_nk_147,Nush,2011,0.705624633333333,1.2212308,-2.62666666666078e-5,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
41,20.524,0.706545,1.219529,21.484,42.968,2011_nk_147,Nush,2011,0.705616833333333,1.22126646666667,3.56666666665451e-5,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
42,21.048,0.704907,1.237058,22.008,44.016,2011_nk_147,Nush,2011,0.705604883333333,1.22153441666667,2.6795000000001e-4,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
43,21.524,0.706215,1.222337,22.532,45.064,2011_nk_147,Nush,2011,0.705620633333333,1.22150001666667,-3.4400000000101e-5,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
44,22.048,0.706902,1.23078,23.056,46.112,2011_nk_147,Nush,2011,0.7056024,1.22185171666667,3.5169999999995e-4,457.647263302899,594.922373945486,1190.528,0.705430061068702,NA
