Cycle,time,Iso,Sr88,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
1,0.524,0.7032383,0.5363136,0.524,1.048,2011_nk_201,Nush,2011,NA,NA,NA,672.988817433257,836.446562261129,1192.624,0.705625242948718,511.5759846592877
2,1.048,0.7027905,0.545349,1.048,2.096,2011_nk_201,Nush,2011,NA,NA,NA,672.988817433257,836.446562261129,1192.624,0.705625242948718,511.5759846592877
3,1.524,0.7038568,0.5399159,1.572,3.144,2011_nk_201,Nush,2011,NA,NA,NA,672.988817433257,836.446562261129,1192.624,0.705625242948718,511.5759846592877
4,2.048,0.7087791,0.5406487,2.096,4.192,2011_nk_201,Nush,2011,NA,NA,NA,672.988817433257,836.446562261129,1192.624,0.705625242948718,511.5759846592877
5,2.524,0.7092169,0.5441243,2.62,5.24,2011_nk_201,Nush,2011,NA,NA,NA,672.988817433257,836.446562261129,1192.624,0.705625242948718,511.5759846592877
6,3.048,0.7080085,0.5497551,3.144,6.288,2011_nk_201,Nush,2011,NA,NA,NA,672.988817433257,836.446562261129,1192.624,0.705625242948718,511.5759846592877
7,3.524,0.7059607,0.5483825,3.668,7.336,2011_nk_201,Nush,2011,NA,NA,NA,672.988817433257,836.446562261129,1192.624,0.705625242948718,511.5759846592877
8,4.048,0.7054762,0.551161,4.192,8.384,2011_nk_201,Nush,2011,NA,NA,NA,672.988817433257,836.446562261129,1192.624,0.705625242948718,511.5759846592877
9,4.524,0.7078684,0.5456699,4.716,9.432,2011_nk_201,Nush,2011,NA,NA,NA,672.988817433257,836.446562261129,1192.624,0.705625242948718,511.5759846592877
10,5.048,0.7052577,0.5450859,5.24,10.48,2011_nk_201,Nush,2011,NA,NA,NA,672.988817433257,836.446562261129,1192.624,0.705625242948718,511.5759846592877
11,5.524,0.7062044,0.5524966,5.764,11.528,2011_nk_201,Nush,2011,NA,NA,NA,672.988817433257,836.446562261129,1192.624,0.705625242948718,511.5759846592877
12,6.048,0.7052407,0.55428,6.288,12.576,2011_nk_201,Nush,2011,NA,NA,NA,672.988817433257,836.446562261129,1192.624,0.705625242948718,511.5759846592877
