Cycle,Time,Iso,Sr88,Fish_id,Watershed,Year,Microns,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
106,55.544,0.708333725307719,0.101699939681112,2015_yk_333_2,Yukon,2015,111.088,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
107,56.068,0.709248116351488,0.476626773763694,2015_yk_333_2,Yukon,2015,112.136,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
108,56.592,0.710961754152468,0.721827923048193,2015_yk_333_2,Yukon,2015,113.184,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
109,57.116,0.709668475522093,0.782176993253955,2015_yk_333_2,Yukon,2015,114.232,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
110,57.64,0.709424153251852,0.778380152093171,2015_yk_333_2,Yukon,2015,115.28,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
111,58.164,0.709433930500672,0.752476769104896,2015_yk_333_2,Yukon,2015,116.328,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
112,58.688,0.709479577924652,0.71540026429147,2015_yk_333_2,Yukon,2015,117.376,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
113,59.212,0.711368997985069,0.713084164192562,2015_yk_333_2,Yukon,2015,118.424,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
114,59.736,0.710598116455311,0.710641326647057,2015_yk_333_2,Yukon,2015,119.472,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
115,60.26,0.710295271783583,0.689520217925513,2015_yk_333_2,Yukon,2015,120.52,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
116,60.784,0.710032245278527,0.667335170119798,2015_yk_333_2,Yukon,2015,121.568,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
117,61.308,0.709231232734202,0.671803220268888,2015_yk_333_2,Yukon,2015,122.616,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
118,61.832,0.711415351100623,0.660696867344247,2015_yk_333_2,Yukon,2015,123.664,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
119,62.356,0.708560538988813,0.647629337144932,2015_yk_333_2,Yukon,2015,124.712,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
120,62.88,0.711139818607825,0.645504960212081,2015_yk_333_2,Yukon,2015,125.76,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
121,63.404,0.708402363180143,0.664593072991616,2015_yk_333_2,Yukon,2015,126.808,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
122,63.928,0.709989821032015,0.674825649871416,2015_yk_333_2,Yukon,2015,127.856,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
123,64.452,0.70989175257323,0.667218109833926,2015_yk_333_2,Yukon,2015,128.904,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
124,64.976,0.709995675410701,0.659513772996857,2015_yk_333_2,Yukon,2015,129.952,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
125,65.5,0.709117434932763,0.677929829261378,2015_yk_333_2,Yukon,2015,131,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
126,66.024,0.70987045808609,0.666924555368939,2015_yk_333_2,Yukon,2015,132.048,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
127,66.548,0.710831812873486,0.661605496523496,2015_yk_333_2,Yukon,2015,133.096,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
128,67.072,0.710017328719839,0.671366142312231,2015_yk_333_2,Yukon,2015,134.144,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
129,67.596,0.710454772987721,0.681729925815548,2015_yk_333_2,Yukon,2015,135.192,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
130,68.12,0.709173867822494,0.667090304440022,2015_yk_333_2,Yukon,2015,136.24,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
131,68.644,0.711044084678628,0.647197396557446,2015_yk_333_2,Yukon,2015,137.288,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
132,69.168,0.710940409388579,0.648068642817824,2015_yk_333_2,Yukon,2015,138.336,NA,NA,NA,476.216832013487,581.409951145156,1003.984,0.71053235544575,222.02975423384368
