Cycle,time,Iso,Sr88,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
1,0.524,0.7048816,1.0247545,0.524,1.048,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
2,1.048,0.7052816,1.0475944,1.048,2.096,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
3,1.524,0.705404,1.0174844,1.572,3.144,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
4,2.048,0.7070934,1.0130138,2.096,4.192,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
5,2.524,0.7059354,1.0180962,2.62,5.24,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
6,3.048,0.7048433,1.0348081,3.144,6.288,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
7,3.524,0.7052772,1.0206447,3.668,7.336,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
8,4.048,0.7058799,1.0065897,4.192,8.384,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
9,4.524,0.7045025,1.0267364,4.716,9.432,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
10,5.048,0.7049318,1.0120031,5.24,10.48,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
11,5.524,0.7054989,1.0214305,5.764,11.528,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
12,6.048,0.7060189,1.0307643,6.288,12.576,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
13,6.524,0.7054915,1.0281802,6.812,13.624,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
14,7.048,0.7056515,1.0455119,7.336,14.672,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
15,7.524,0.704717,1.0319123,7.86,15.72,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
16,8.048,0.7056989,1.0622628,8.384,16.768,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
17,8.524,0.7055989,1.0792531,8.908,17.816,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
18,9.048,0.7048551,1.0640093,9.432,18.864,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
19,9.524,0.7060607,1.0712304,9.956,19.912,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
20,10.048,0.7057601,1.0599001,10.48,20.96,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
21,10.524,0.7048082,1.0693361,11.004,22.008,2011_nk_252,Nush,2011,NA,NA,NA,730.140868838735,900.021033237607,1314.192,0.705708960493827,450.3928097996105
