Cycle,Time,Iso,Sr88,Fish_id,Watershed,Year,Microns,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
58,30.392,0.717642710244162,0.16994306261094,2015_yk_062a,Yukon,2015,60.784,NA,NA,NA,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
59,30.916,0.713105252060572,0.487314389332077,2015_yk_062a,Yukon,2015,61.832,NA,NA,NA,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
60,31.44,0.716029592053136,0.640397481436094,2015_yk_062a,Yukon,2015,62.88,NA,NA,NA,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
61,31.964,0.714914375957037,0.648375697163511,2015_yk_062a,Yukon,2015,63.928,NA,NA,NA,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
62,32.488,0.714464009120089,0.633918276206548,2015_yk_062a,Yukon,2015,64.976,NA,NA,NA,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
63,33.012,0.716871245316133,0.606112242171826,2015_yk_062a,Yukon,2015,66.024,NA,NA,NA,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
64,33.536,0.715681621797257,0.602810704595924,2015_yk_062a,Yukon,2015,67.072,NA,NA,NA,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
65,34.06,0.714622757979364,0.605939798648521,2015_yk_062a,Yukon,2015,68.12,NA,NA,NA,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
66,34.584,0.714579799487639,0.602288138199783,2015_yk_062a,Yukon,2015,69.168,NA,NA,NA,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
67,35.108,0.714883441782894,0.603422124723466,2015_yk_062a,Yukon,2015,70.216,NA,NA,NA,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
68,35.632,0.715427269785603,0.599991237037223,2015_yk_062a,Yukon,2015,71.264,NA,NA,NA,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
69,36.156,0.713190789667791,0.60918667444696,2015_yk_062a,Yukon,2015,72.312,NA,NA,NA,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
70,36.68,0.714674641537695,0.608265697252506,2015_yk_062a,Yukon,2015,73.36,NA,NA,NA,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
71,37.204,0.714864966380409,0.59885396591884,2015_yk_062a,Yukon,2015,74.408,NA,NA,NA,272.214872357682,466.967797288469,1056.384,0.715026156217734,NA
