Cycle,Time,Iso,Sr88,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
80,41.92,0.709118635099932,0.562173017328109,83.84,2016_yk_239_redo,Yukon,2016,NA,NA,NA,513.70227760948,763.281632535266,1193.672,0.706506754587124,254.5196806430007
81,42.444,0.710098376521348,0.91391822329733,84.888,2016_yk_239_redo,Yukon,2016,NA,NA,NA,513.70227760948,763.281632535266,1193.672,0.706506754587124,254.5196806430007
82,42.968,0.710238787397762,0.953407417534655,85.936,2016_yk_239_redo,Yukon,2016,NA,NA,NA,513.70227760948,763.281632535266,1193.672,0.706506754587124,254.5196806430007
83,43.492,0.710015076593053,0.927193681138397,86.984,2016_yk_239_redo,Yukon,2016,NA,NA,NA,513.70227760948,763.281632535266,1193.672,0.706506754587124,254.5196806430007
84,44.016,0.710168925281314,0.896571286388426,88.032,2016_yk_239_redo,Yukon,2016,NA,NA,NA,513.70227760948,763.281632535266,1193.672,0.706506754587124,254.5196806430007
85,44.54,0.710431105903791,0.848514748846263,89.08,2016_yk_239_redo,Yukon,2016,NA,NA,NA,513.70227760948,763.281632535266,1193.672,0.706506754587124,254.5196806430007
86,45.064,0.709607418716696,0.830274056196092,90.128,2016_yk_239_redo,Yukon,2016,NA,NA,NA,513.70227760948,763.281632535266,1193.672,0.706506754587124,254.5196806430007
87,45.588,0.708464834870376,0.837693503463899,91.176,2016_yk_239_redo,Yukon,2016,NA,NA,NA,513.70227760948,763.281632535266,1193.672,0.706506754587124,254.5196806430007
88,46.112,0.71035632001767,0.836673442681877,92.224,2016_yk_239_redo,Yukon,2016,NA,NA,NA,513.70227760948,763.281632535266,1193.672,0.706506754587124,254.5196806430007
89,46.636,0.709834221826285,0.824807382883518,93.272,2016_yk_239_redo,Yukon,2016,NA,NA,NA,513.70227760948,763.281632535266,1193.672,0.706506754587124,254.5196806430007
90,47.16,0.709955476569477,0.823076082365564,94.32,2016_yk_239_redo,Yukon,2016,NA,NA,NA,513.70227760948,763.281632535266,1193.672,0.706506754587124,254.5196806430007
