Cycle,Sr88,Iso,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
20,0.740020084148795,0.705867928782561,10.48,20.96,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
21,1.19456428346543,0.705932468422327,11.004,22.008,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
22,1.32808930708319,0.705292971980477,11.528,23.056,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
23,1.37604323093956,0.706547180737793,12.052,24.104,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
24,1.38205014679468,0.705432186828735,12.576,25.152,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
25,1.39724621084347,0.706418771306795,13.1,26.2,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
26,1.44911759537806,0.705263509820799,13.624,27.248,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
27,1.48946524580455,0.706319528777159,14.148,28.296,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
28,1.38617124822312,0.707047655973365,14.672,29.344,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
29,1.41330962103258,0.706224849863766,15.196,30.392,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
30,1.48962650227653,0.706651063148036,15.72,31.44,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
31,1.47025382835701,0.705729246384423,16.244,32.488,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
32,1.47010914927362,0.705663955704673,16.768,33.536,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
33,1.44227607315533,0.705826306951712,17.292,34.584,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
34,1.3613901785469,0.70616227065494,17.816,35.632,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
35,1.29478706279196,0.705789634572428,18.34,36.68,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
36,1.36336730188854,0.705972272910405,18.864,37.728,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
37,1.31088626436629,0.704996715735662,19.388,38.776,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
38,1.13186593407716,0.707305286011454,19.912,39.824,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
39,1.18730115507279,0.70707246794278,20.436,40.872,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
40,1.32683215573948,0.706421221515934,20.96,41.92,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
41,1.22881931695306,0.706549254052227,21.484,42.968,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
42,1.15221459527555,0.706552112606756,22.008,44.016,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
43,1.19272483714855,0.707126318779562,22.532,45.064,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
44,1.25144784422369,0.705344677957108,23.056,46.112,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
45,1.24670349172187,0.707187558781116,23.58,47.16,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
46,1.20651879827019,0.705441676620838,24.104,48.208,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
47,1.23024778609574,0.706325766885308,24.628,49.256,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
48,1.25763810362902,0.706407896204138,25.152,50.304,2015_nk_152_redo_1,Nush,2015,NA,NA,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
49,1.23480380315603,0.706684145571208,25.676,51.352,2015_nk_152_redo_1,Nush,2015,0.706279686658513,1.25794826688,NA,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
50,1.23706432203558,0.706256912203887,26.2,52.4,2015_nk_152_redo_1,Nush,2015,0.706298460812003,1.26508767740938,0.00713941052938383,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
51,1.25413427504287,0.705785081897932,26.724,53.448,2015_nk_152_redo_1,Nush,2015,0.706310731460615,1.26518132259069,9.36451813129402e-5,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
52,1.25189282899142,0.706069939353777,27.248,54.496,2015_nk_152_redo_1,Nush,2015,0.706332429506425,1.26224299472232,-0.00293832786837633,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
53,1.22306658058053,0.706500126021897,27.772,55.544,2015_nk_152_redo_1,Nush,2015,0.706325378020887,1.25867932303465,-0.0035636716876688,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
54,1.23653143105666,0.705630912102509,28.296,56.592,2015_nk_152_redo_1,Nush,2015,0.706333998649341,1.25531388212235,-0.00336544091229762,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
55,1.26731783744703,0.706406399724009,28.82,57.64,2015_nk_152_redo_1,Nush,2015,0.706332519270732,1.25078147490021,-0.0045324072221377704,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
56,1.2554539442866,0.705992096534762,29.344,58.688,2015_nk_152_redo_1,Nush,2015,0.706364345207908,1.24473028396466,-0.00605119093555473,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
57,1.23729912656288,0.70732647240757,29.868,59.736,2015_nk_152_redo_1,Nush,2015,0.706361273986191,1.23921728385061,-0.00551300011404421,619.692537500166,788.572018006031,1283.8,0.706077917922131,404.02793623576696
